,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
72,high,678,781,14,macd,56,245,6,30,0.9,1179,212,172,171,184,138,121,714,68,82,781,60,31,530,229,241,235,200,487,289,218,200,63,422,270,573,939,710,703,816,270,654,856,30,995,6,106,206,27,992,11,13,0.05,0.31,30,30,0.97,0.96,0.95,0.92,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,False,False,-1,True,False
73,HLCC/4,143,1479,33,macd,10,97,6,23,0.12,369,706,197,227,317,243,59,455,146,232,621,91,36,878,226,919,447,325,46,234,197,59,441,89,580,899,397,797,824,208,12,1314,2129,28,653,22,54,111,46,875,7,33,0.6,0.31,40,14,0.9,0.9,0.86,0.81,False,False,False,True,False,False,True,False,False,True,True,True,True,True,False,True,False,-1,True,False
74,low,554,1377,7,macdh,80,105,6,16,0.32,2164,314,24,131,76,130,142,31,116,174,311,14,246,910,869,516,491,469,494,407,400,114,278,795,6,170,281,51,172,652,439,1069,2094,11,63,5,110,161,11,961,46,46,0.94,0.32,42,20,0.95,0.83,0.81,0.9,False,False,True,True,True,False,True,False,False,True,True,True,False,True,False,True,True,-1,True,False
75,HL/2,511,528,4,macdh,37,193,6,2,0.02,801,48,142,109,530,182,28,990,84,31,198,202,70,476,705,510,362,53,158,936,104,25,173,132,547,174,543,705,397,510,35,357,2079,17,556,7,53,83,47,466,18,47,0.13,0.78,12,32,0.84,0.84,0.91,0.92,True,False,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,-1,True,False
76,high,148,1102,17,macdh,191,45,6,27,0.37,2711,62,117,167,375,108,214,750,165,117,525,15,142,736,919,755,484,459,687,585,222,5,820,723,976,312,517,807,352,656,455,560,652,22,799,6,777,138,36,120,7,21,0.7,0.39,16,18,0.82,0.88,0.9,0.81,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,False,True,-1,True,False
77,OHLC/4,126,372,17,macds,160,136,6,49,0.89,2428,133,81,215,517,143,177,405,150,139,523,206,60,993,773,730,238,224,206,73,121,120,283,937,816,26,780,963,372,729,240,788,734,6,410,54,581,197,10,200,16,48,0.2,0.73,33,35,0.89,0.91,0.81,0.95,False,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,-1,True,False
78,high,723,1313,33,macd,125,141,6,12,0.36,592,749,11,121,395,28,50,11,139,77,755,115,5,993,476,215,417,109,380,293,482,254,825,667,161,645,963,735,809,314,333,891,1122,27,236,30,34,153,27,128,39,22,0.97,0.56,34,15,0.8,0.89,0.83,0.98,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,-1,True,False
79,high,85,102,45,macdh,200,203,6,22,0.4,2264,846,94,18,938,53,91,550,41,2,751,250,76,430,822,377,304,72,595,213,191,55,865,169,251,29,392,192,729,904,300,415,1502,45,988,36,89,47,33,425,47,29,0.45,0.74,4,3,0.94,0.82,0.89,0.91,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,-1,True,False
80,low,653,1184,13,macds,245,243,6,1,0.99,532,896,56,246,352,206,158,38,189,37,130,17,144,228,750,728,314,88,56,984,497,106,470,693,384,652,453,819,392,764,14,293,89,1,299,44,70,35,1,411,4,47,0.84,0.72,36,10,0.88,0.88,0.96,0.96,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,True,False,-1,True,False
81,high,722,937,49,macds,89,231,6,1,0.62,1680,854,108,246,399,199,82,490,41,199,40,40,190,456,177,726,346,141,880,396,468,224,192,842,830,411,92,672,811,482,14,990,1258,28,947,36,70,81,17,306,20,33,0.45,0.73,6,22,0.96,0.8,0.98,0.85,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,-1,True,False
82,open,132,733,36,macds,68,24,6,8,0.89,2019,166,9,21,523,73,175,771,163,93,727,9,7,346,786,524,442,74,88,617,261,64,659,543,672,257,162,975,309,414,354,735,2013,36,73,247,1321,82,37,608,6,3,0.1,0.4,24,27,0.98,0.96,0.97,0.85,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,-1,True,False
