,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
1217,high,12,211,37,macdh,195,117,4,8,0.49,2297,227,63,85,876,198,41,353,153,234,860,198,85,635,939,687,379,303,743,129,334,274,547,701,470,619,774,139,70,8,20,72,391,21,203,17,99,149,33,319,8,11,0.42,0.58,0.82,0.92,0.94,0.85,True,True,True,False,False,True,True,True,False,True,False,True,True,False,False,True,True,19.343889697313465,True,False
1218,close,38,62,24,macdh,86,177,3,21,0.3,875,398,45,69,687,84,192,944,79,15,765,186,36,129,654,462,434,372,620,347,342,84,615,961,62,711,238,262,113,99,84,165,329,36,242,32,92,104,34,986,3,32,0.38,0.35,0.81,0.91,0.99,1.0,False,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,19.311266860651138,True,False
1219,OHLC/4,141,205,25,macd,216,174,3,10,0.42,1564,331,185,165,877,200,31,983,235,198,120,153,194,264,938,666,104,61,982,299,475,305,511,458,991,124,935,807,772,703,50,241,438,30,348,30,84,195,48,400,46,30,0.88,0.62,6.540063059917439,15.870675428917384,11.2880474081142,16.73364858180665,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,30.757430466834208,True,False
1220,high,94,223,9,macdh,247,243,5,10,0.62,1560,484,188,146,910,188,76,845,39,144,885,85,246,992,647,495,463,250,643,185,474,125,371,266,277,355,17,560,996,124,34,128,193,45,89,14,59,196,47,641,25,32,0.91,0.86,2.77,20.21,2.06,17.35,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,3.9225333115160015,True,False
1221,OHLC/4,48,156,32,macd,97,183,5,41,0.84,1206,481,180,154,574,115,130,729,113,103,284,174,22,939,283,327,108,80,115,199,196,129,954,347,29,182,268,500,994,222,17,124,570,36,704,19,101,156,1,37,20,8,0.26,0.02,11.634914103102233,20.43067312081602,11.35886374034441,24.16664873212826,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,12.47830713485958,True,False
1222,close,132,225,19,macd,158,161,3,45,0.09,581,665,45,114,821,22,170,236,173,157,108,186,200,674,905,547,303,140,125,912,348,122,700,956,4,164,619,763,696,353,106,107,568,19,351,47,79,207,36,102,40,7,0.98,0.6,4.771949851962551,16.281493844919908,13.295853602980534,18.50468785158261,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True,True,31.16232532976285,True,False
1223,close,13,92,20,macd,43,247,4,29,0.02,2679,876,35,66,177,216,226,930,135,205,645,225,204,191,308,598,477,283,904,387,343,51,88,597,673,234,203,650,7,635,30,134,345,47,679,33,59,41,43,433,22,30,0.77,0.46,17.879869013600267,17.879869013600267,1.0586073040426254,1.0586073040426254,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,31.62277660168379,True,False
1224,open,94,124,15,macd,147,87,6,3,0.18,2396,639,128,245,85,109,216,106,93,143,721,157,16,597,208,953,454,28,943,776,389,321,468,977,454,500,45,257,486,331,37,70,28,40,896,28,92,50,44,193,6,28,0.18,0.8,0.53,0.8,0.92,0.86,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,True,12.314068410055906,True,False
1225,low,83,186,16,macd,63,156,5,26,0.81,799,637,131,225,917,137,187,196,140,70,631,91,147,312,688,673,408,352,694,379,202,123,864,379,493,717,579,66,578,728,20,63,78,17,400,12,53,46,32,718,36,2,0.99,0.77,4.53,13.77,1.8,10.51,False,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,31.62277660168379,True,False
1226,open,20,184,21,macds,26,78,3,37,0.43,2142,956,195,12,556,177,106,670,15,136,16,75,245,24,912,200,131,24,814,602,191,187,939,509,470,310,407,516,744,470,75,156,254,3,895,39,93,117,3,660,22,6,0.25,0.7,6.46,18.27,2.4,14.36,True,True,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,2.3355942586139986,True,False
