,XAUUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XAUUSD_i,1865.35,1866.13,1863.29,1867.23,1865.26,1865.55,1865.695,1865.5,3256,2020-11-23 13:00:00
1,XAUUSD_i,1866.12,1868.32,1865.48,1868.8,1867.1399999999999,1867.533333333333,1867.7299999999998,1867.1799999999998,3599,2020-11-23 14:00:00
2,XAUUSD_i,1868.31,1866.85,1862.34,1868.97,1865.655,1866.0533333333333,1866.2525,1866.6174999999998,5051,2020-11-23 15:00:00
3,XAUUSD_i,1866.87,1841.42,1840.81,1868.03,1854.42,1850.0866666666668,1847.92,1854.2825,8422,2020-11-23 16:00:00
4,XAUUSD_i,1841.46,1834.44,1833.54,1843.13,1838.335,1837.0366666666669,1836.3875000000003,1838.1425000000002,10940,2020-11-23 17:00:00
5,XAUUSD_i,1834.45,1838.91,1830.76,1838.99,1834.875,1836.22,1836.8925,1835.7775,7671,2020-11-23 18:00:00
6,XAUUSD_i,1838.85,1839.59,1836.92,1840.47,1838.6950000000002,1838.9933333333336,1839.1425000000002,1838.9575,3543,2020-11-23 19:00:00
7,XAUUSD_i,1839.56,1839.31,1838.57,1840.95,1839.76,1839.61,1839.5349999999999,1839.5974999999999,3955,2020-11-23 20:00:00
8,XAUUSD_i,1839.31,1837.88,1837.17,1839.32,1838.245,1838.1233333333332,1838.0625,1838.42,2773,2020-11-23 21:00:00
9,XAUUSD_i,1837.88,1835.96,1835.29,1840.2,1837.745,1837.1499999999999,1836.8525,1837.3325,3239,2020-11-23 22:00:00
10,XAUUSD_i,1835.96,1837.32,1835.32,1837.33,1836.3249999999998,1836.6566666666665,1836.8224999999998,1836.4824999999998,826,2020-11-23 23:00:00
11,XAUUSD_i,1838.66,1835.49,1834.79,1838.82,1836.8049999999998,1836.3666666666666,1836.1474999999998,1836.9399999999998,2061,2020-11-24 01:00:00
12,XAUUSD_i,1835.5,1834.64,1830.71,1835.87,1833.29,1833.74,1833.9650000000001,1834.18,3026,2020-11-24 02:00:00
13,XAUUSD_i,1834.64,1827.69,1826.03,1836.17,1831.1,1829.9633333333331,1829.395,1831.1325,5719,2020-11-24 03:00:00
14,XAUUSD_i,1827.54,1822.24,1821.25,1828.86,1825.0549999999998,1824.1166666666666,1823.6474999999998,1824.9724999999999,3480,2020-11-24 04:00:00
15,XAUUSD_i,1822.33,1825.39,1821.16,1827.32,1824.24,1824.6233333333332,1824.815,1824.05,3272,2020-11-24 05:00:00
16,XAUUSD_i,1825.41,1824.27,1823.4,1826.0,1824.7,1824.5566666666666,1824.4850000000001,1824.77,2296,2020-11-24 06:00:00
17,XAUUSD_i,1824.27,1826.36,1822.4,1828.94,1825.67,1825.8999999999999,1826.0149999999999,1825.4924999999998,2837,2020-11-24 07:00:00
18,XAUUSD_i,1826.34,1828.38,1825.67,1829.46,1827.565,1827.8366666666668,1827.9725,1827.4625,2291,2020-11-24 08:00:00
19,XAUUSD_i,1828.33,1827.34,1827.25,1832.75,1830.0,1829.1133333333335,1828.67,1828.9175,3358,2020-11-24 09:00:00
20,XAUUSD_i,1827.41,1824.62,1823.39,1830.54,1826.9650000000001,1826.1833333333334,1825.7925,1826.49,4852,2020-11-24 10:00:00
21,XAUUSD_i,1824.64,1825.39,1824.38,1826.94,1825.66,1825.57,1825.525,1825.3375,3570,2020-11-24 11:00:00
22,XAUUSD_i,1825.38,1812.62,1811.56,1825.85,1818.705,1816.6766666666665,1815.6625,1818.8525,5538,2020-11-24 12:00:00
23,XAUUSD_i,1812.72,1810.03,1805.49,1815.25,1810.37,1810.2566666666664,1810.1999999999998,1810.8725,4752,2020-11-24 13:00:00
24,XAUUSD_i,1810.03,1809.97,1809.14,1815.77,1812.455,1811.6266666666668,1811.2125,1811.2275,4516,2020-11-24 14:00:00
25,XAUUSD_i,1809.97,1805.57,1804.23,1812.63,1808.43,1807.4766666666667,1807.0,1808.1000000000001,7362,2020-11-24 15:00:00
26,XAUUSD_i,1805.51,1805.2,1801.45,1808.55,1805.0,1805.0666666666666,1805.1,1805.1775,8872,2020-11-24 16:00:00
27,XAUUSD_i,1805.07,1805.4,1800.11,1806.53,1803.32,1804.0133333333333,1804.3600000000001,1804.2775,7988,2020-11-24 17:00:00
28,XAUUSD_i,1805.33,1803.26,1802.64,1807.86,1805.25,1804.5866666666668,1804.255,1804.7725,5558,2020-11-24 18:00:00
29,XAUUSD_i,1803.26,1804.82,1802.73,1806.52,1804.625,1804.6899999999998,1804.7224999999999,1804.3325,3777,2020-11-24 19:00:00
30,XAUUSD_i,1804.82,1805.57,1804.48,1808.12,1806.3,1806.0566666666666,1805.935,1805.7475,4489,2020-11-24 20:00:00
31,XAUUSD_i,1805.65,1803.74,1803.25,1806.03,1804.6399999999999,1804.34,1804.1899999999998,1804.6675,2338,2020-11-24 21:00:00
32,XAUUSD_i,1803.64,1807.26,1803.29,1808.03,1805.6599999999999,1806.1933333333334,1806.46,1805.555,3000,2020-11-24 22:00:00
33,XAUUSD_i,1807.21,1807.57,1805.88,1808.45,1807.165,1807.3,1807.3674999999998,1807.2775,987,2020-11-24 23:00:00
34,XAUUSD_i,1807.56,1808.94,1805.44,1810.82,1808.13,1808.4000000000003,1808.5350000000003,1808.19,1676,2020-11-25 01:00:00
