,CADCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CADCHF_i,0.69137,0.69056,0.69056,0.69138,0.69097,0.6908333333333333,0.690765,0.6909675,911,2020-12-18 23:00:00
1,CADCHF_i,0.69131,0.69144,0.69096,0.69171,0.691335,0.69137,0.6913875,0.691355,271,2020-12-21 00:00:00
2,CADCHF_i,0.69142,0.69117,0.69046,0.69164,0.6910499999999999,0.69109,0.69111,0.6911725,806,2020-12-21 01:00:00
3,CADCHF_i,0.69117,0.69022,0.69022,0.69132,0.69077,0.6905866666666666,0.690495,0.6907325,968,2020-12-21 02:00:00
4,CADCHF_i,0.69022,0.69044,0.68976,0.69048,0.6901200000000001,0.6902266666666668,0.6902800000000001,0.6902250000000001,1347,2020-12-21 03:00:00
5,CADCHF_i,0.69046,0.68924,0.68918,0.69054,0.68986,0.6896533333333333,0.68955,0.689855,1139,2020-12-21 04:00:00
6,CADCHF_i,0.68926,0.68967,0.68926,0.68976,0.6895100000000001,0.6895633333333334,0.68959,0.6894875,780,2020-12-21 05:00:00
7,CADCHF_i,0.68967,0.69019,0.68959,0.69032,0.6899550000000001,0.6900333333333334,0.6900725,0.6899425,594,2020-12-21 06:00:00
8,CADCHF_i,0.69021,0.69003,0.68988,0.6903,0.6900900000000001,0.6900700000000001,0.6900600000000001,0.6901050000000001,820,2020-12-21 07:00:00
9,CADCHF_i,0.69003,0.68962,0.68958,0.69015,0.689865,0.6897833333333333,0.6897425,0.689845,948,2020-12-21 08:00:00
10,CADCHF_i,0.68967,0.68945,0.68936,0.6904,0.68988,0.6897366666666667,0.689665,0.68972,2224,2020-12-21 09:00:00
11,CADCHF_i,0.68942,0.68707,0.68668,0.68946,0.68807,0.6877366666666666,0.6875699999999999,0.6881575,3139,2020-12-21 10:00:00
12,CADCHF_i,0.68707,0.68798,0.68678,0.68855,0.687665,0.68777,0.6878225,0.687595,2544,2020-12-21 11:00:00
13,CADCHF_i,0.68798,0.68865,0.68748,0.68898,0.68823,0.6883699999999999,0.6884399999999999,0.6882725,4040,2020-12-21 12:00:00
14,CADCHF_i,0.68867,0.68846,0.68776,0.68954,0.68865,0.6885866666666667,0.688555,0.6886075,3198,2020-12-21 13:00:00
15,CADCHF_i,0.6885,0.68865,0.68831,0.68896,0.688635,0.68864,0.6886425,0.688605,2997,2020-12-21 14:00:00
16,CADCHF_i,0.68864,0.68845,0.68744,0.68914,0.6882900000000001,0.6883433333333334,0.68837,0.6884175,3269,2020-12-21 15:00:00
17,CADCHF_i,0.68847,0.68994,0.68811,0.69024,0.689175,0.6894300000000001,0.6895575,0.6891900000000001,3460,2020-12-21 16:00:00
18,CADCHF_i,0.68994,0.68948,0.68907,0.69048,0.689775,0.6896766666666667,0.6896275000000001,0.6897425,3037,2020-12-21 17:00:00
19,CADCHF_i,0.68949,0.68988,0.68908,0.68988,0.6894800000000001,0.6896133333333334,0.6896800000000001,0.6895825000000001,2415,2020-12-21 18:00:00
