,CHNA50_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CHNA50_m_i,7600.0,7635.0,7520.0,7740.0,7630.0,7631.666666666667,7632.5,7623.75,4051,2013-12-02 00:00:00
1,CHNA50_m_i,7620.0,7640.0,7590.0,7675.0,7632.5,7635.0,7636.25,7631.25,1501,2013-12-03 00:00:00
2,CHNA50_m_i,7650.0,7700.0,7570.0,7770.0,7670.0,7680.0,7685.0,7672.5,3501,2013-12-04 00:00:00
3,CHNA50_m_i,7700.0,7685.0,7660.0,7735.0,7697.5,7693.333333333333,7691.25,7695.0,1351,2013-12-05 00:00:00
4,CHNA50_m_i,7685.0,7610.0,7595.0,7710.0,7652.5,7638.333333333333,7631.25,7650.0,1551,2013-12-06 00:00:00
5,CHNA50_m_i,7630.0,7620.0,7595.0,7725.0,7660.0,7646.666666666667,7640.0,7642.5,2501,2013-12-09 00:00:00
6,CHNA50_m_i,7620.0,7595.0,7575.0,7650.0,7612.5,7606.666666666667,7603.75,7610.0,1251,2013-12-10 00:00:00
7,CHNA50_m_i,7595.0,7435.0,7400.0,7605.0,7502.5,7480.0,7468.75,7508.75,2501,2013-12-11 00:00:00
8,CHNA50_m_i,7440.0,7385.0,7370.0,7465.0,7417.5,7406.666666666667,7401.25,7415.0,1351,2013-12-12 00:00:00
9,CHNA50_m_i,7380.0,7380.0,7285.0,7430.0,7357.5,7365.0,7368.75,7368.75,2901,2013-12-13 00:00:00
10,CHNA50_m_i,7385.0,7285.0,7270.0,7445.0,7357.5,7333.333333333333,7321.25,7346.25,2501,2013-12-16 00:00:00
11,CHNA50_m_i,7300.0,7270.0,7245.0,7320.0,7282.5,7278.333333333333,7276.25,7283.75,1201,2013-12-17 00:00:00
12,CHNA50_m_i,7265.0,7285.0,7205.0,7305.0,7255.0,7265.0,7270.0,7265.0,1801,2013-12-18 00:00:00
13,CHNA50_m_i,7290.0,7145.0,7130.0,7315.0,7222.5,7196.666666666667,7183.75,7220.0,2251,2013-12-19 00:00:00
14,CHNA50_m_i,7155.0,6990.0,6970.0,7200.0,7085.0,7053.333333333333,7037.5,7078.75,2951,2013-12-20 00:00:00
15,CHNA50_m_i,6990.0,6960.0,6940.0,7060.0,7000.0,6986.666666666667,6980.0,6987.5,2101,2013-12-23 00:00:00
16,CHNA50_m_i,6965.0,6980.0,6950.0,7080.0,7015.0,7003.333333333333,6997.5,6993.75,2451,2013-12-24 00:00:00
17,CHNA50_m_i,7000.0,7040.0,6985.0,7050.0,7017.5,7025.0,7028.75,7018.75,901,2013-12-25 00:00:00
18,CHNA50_m_i,7040.0,6940.0,6895.0,7045.0,6970.0,6960.0,6955.0,6980.0,2001,2013-12-26 00:00:00
