,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPAUD_i,1.77074,1.7708300000000001,1.76913,1.77157,1.77035,1.77051,1.77059,1.7705675,1759,2020-12-18 23:00:00
1,GBPAUD_i,1.76681,1.76621,1.76258,1.76875,1.765665,1.7658466666666666,1.7659375,1.7660874999999998,1188,2020-12-21 00:00:00
2,GBPAUD_i,1.76607,1.7658800000000001,1.76468,1.76823,1.766455,1.7662633333333335,1.7661675000000001,1.766215,2659,2020-12-21 01:00:00
3,GBPAUD_i,1.7659099999999999,1.76597,1.76436,1.76703,1.765695,1.7657866666666668,1.7658325000000001,1.7658175,3759,2020-12-21 02:00:00
4,GBPAUD_i,1.76597,1.7622900000000001,1.76118,1.76597,1.763575,1.7631466666666666,1.7629325,1.7638525,3951,2020-12-21 03:00:00
5,GBPAUD_i,1.7622499999999999,1.76302,1.7607,1.76437,1.762535,1.7626966666666668,1.7627775,1.762585,4115,2020-12-21 04:00:00
6,GBPAUD_i,1.76302,1.76325,1.7607,1.7637800000000001,1.76224,1.7625766666666667,1.762745,1.7626875,3001,2020-12-21 05:00:00
7,GBPAUD_i,1.76325,1.76504,1.7623199999999999,1.76576,1.76404,1.7643733333333333,1.76454,1.7640925,2510,2020-12-21 06:00:00
8,GBPAUD_i,1.76505,1.7668,1.76465,1.76722,1.765935,1.7662233333333333,1.7663674999999999,1.76593,3135,2020-12-21 07:00:00
9,GBPAUD_i,1.76681,1.76677,1.76413,1.76705,1.76559,1.7659833333333335,1.76618,1.76619,3555,2020-12-21 08:00:00
10,GBPAUD_i,1.76698,1.76449,1.76112,1.767,1.76406,1.7642033333333333,1.764275,1.7648975,5787,2020-12-21 09:00:00
11,GBPAUD_i,1.7644600000000001,1.75912,1.7587199999999998,1.7652999999999999,1.7620099999999999,1.7610466666666664,1.760565,1.7618999999999998,7074,2020-12-21 10:00:00
12,GBPAUD_i,1.7591,1.76285,1.75876,1.76375,1.761255,1.7617866666666666,1.7620525,1.761115,5815,2020-12-21 11:00:00
13,GBPAUD_i,1.7629000000000001,1.76775,1.76196,1.76913,1.765545,1.76628,1.7666475,1.765435,8644,2020-12-21 12:00:00
14,GBPAUD_i,1.76777,1.7679200000000002,1.76396,1.76809,1.766025,1.7666566666666668,1.7669725,1.7669350000000001,6823,2020-12-21 13:00:00
15,GBPAUD_i,1.7679,1.76689,1.76501,1.76823,1.76662,1.76671,1.766755,1.7670075,5644,2020-12-21 14:00:00
16,GBPAUD_i,1.7668300000000001,1.7699099999999999,1.76646,1.7711299999999999,1.768795,1.7691666666666663,1.7693524999999997,1.7685825,6586,2020-12-21 15:00:00
17,GBPAUD_i,1.76986,1.7647599999999999,1.76389,1.76994,1.766915,1.7661966666666666,1.7658375,1.7671125,7057,2020-12-21 16:00:00
18,GBPAUD_i,1.7647599999999999,1.76119,1.76098,1.76637,1.763675,1.7628466666666667,1.7624325,1.763325,7579,2020-12-21 17:00:00
19,GBPAUD_i,1.7612,1.76239,1.75911,1.7635100000000001,1.76131,1.7616699999999998,1.76185,1.7615525,5668,2020-12-21 18:00:00
20,GBPAUD_i,1.7623600000000001,1.76226,1.75971,1.76326,1.761485,1.7617433333333334,1.7618725,1.7618975000000001,5030,2020-12-21 19:00:00
21,GBPAUD_i,1.76223,1.76285,1.7621799999999999,1.76423,1.763205,1.7630866666666665,1.7630275,1.7628724999999998,3869,2020-12-21 20:00:00
22,GBPAUD_i,1.76285,1.77168,1.7626,1.77694,1.7697699999999998,1.7704066666666665,1.7707249999999999,1.7685175,5833,2020-12-21 21:00:00
23,GBPAUD_i,1.77172,1.7736800000000001,1.77125,1.77569,1.77347,1.77354,1.7735750000000001,1.773085,4579,2020-12-21 22:00:00
24,GBPAUD_i,1.7736800000000001,1.77458,1.7707899999999999,1.77538,1.773085,1.7735833333333335,1.7738325000000001,1.7736075000000002,1907,2020-12-21 23:00:00
25,GBPAUD_i,1.7732700000000001,1.77346,1.77241,1.77543,1.77392,1.7737666666666667,1.77369,1.7736425,1295,2020-12-22 00:00:00
26,GBPAUD_i,1.77335,1.77455,1.7722,1.77582,1.77401,1.7741900000000002,1.77428,1.7739800000000001,1919,2020-12-22 01:00:00
27,GBPAUD_i,1.77458,1.77349,1.77114,1.775,1.77307,1.77321,1.77328,1.7735525,3041,2020-12-22 02:00:00
28,GBPAUD_i,1.77349,1.77094,1.7704499999999999,1.77401,1.77223,1.7718,1.771585,1.7722225,3606,2020-12-22 03:00:00
29,GBPAUD_i,1.77096,1.77168,1.77021,1.7723499999999999,1.77128,1.7714133333333333,1.77148,1.7713,3497,2020-12-22 04:00:00
30,GBPAUD_i,1.77168,1.77297,1.7713700000000001,1.77511,1.77324,1.77315,1.773105,1.7727825,2999,2020-12-22 05:00:00
31,GBPAUD_i,1.77297,1.7713700000000001,1.77068,1.77298,1.77183,1.7716766666666668,1.7716,1.772,2432,2020-12-22 06:00:00
32,GBPAUD_i,1.77136,1.77066,1.7698800000000001,1.77197,1.770925,1.7708366666666666,1.7707924999999998,1.7709674999999998,2881,2020-12-22 07:00:00
33,GBPAUD_i,1.7706499999999998,1.7738,1.77048,1.77444,1.7724600000000001,1.7729066666666669,1.77313,1.7723425000000002,3656,2020-12-22 08:00:00
34,GBPAUD_i,1.77386,1.7783799999999998,1.77386,1.77877,1.7763149999999999,1.777003333333333,1.7773474999999999,1.7762174999999998,5008,2020-12-22 09:00:00
35,GBPAUD_i,1.7783,1.77762,1.77615,1.77921,1.77768,1.77766,1.77765,1.77782,5388,2020-12-22 10:00:00
36,GBPAUD_i,1.7776399999999999,1.78056,1.7758500000000002,1.7835299999999998,1.77969,1.7799800000000001,1.780125,1.779395,5114,2020-12-22 11:00:00
37,GBPAUD_i,1.78056,1.7804600000000002,1.77355,1.78199,1.7777699999999999,1.7786666666666668,1.779115,1.77914,5895,2020-12-22 12:00:00
38,GBPAUD_i,1.7804799999999998,1.77573,1.7753999999999999,1.7808199999999998,1.7781099999999999,1.7773166666666667,1.77692,1.7781075,3900,2020-12-22 13:00:00
39,GBPAUD_i,1.7757399999999999,1.77488,1.77329,1.77599,1.77464,1.77472,1.7747600000000001,1.774975,4159,2020-12-22 14:00:00
