,XRPUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XRPUSD_i,0.50919,0.51122,0.50757,0.51287,0.51022,0.5105533333333333,0.5107200000000001,0.5102125,5963,2021-03-22 07:00:00
1,XRPUSD_i,0.51122,0.51371,0.51122,0.51664,0.51393,0.5138566666666667,0.51382,0.5131975,5549,2021-03-22 08:00:00
2,XRPUSD_i,0.51362,0.51764,0.51184,0.51993,0.5158849999999999,0.51647,0.5167625,0.5157575,5080,2021-03-22 09:00:00
3,XRPUSD_i,0.51764,0.51569,0.51535,0.52729,0.52132,0.5194433333333334,0.518505,0.5189925,9550,2021-03-22 10:00:00
4,XRPUSD_i,0.51569,0.54094,0.51342,0.54122,0.52732,0.53186,0.53413,0.5278175,12380,2021-03-22 11:00:00
5,XRPUSD_i,0.54094,0.55962,0.53383,0.56089,0.5473600000000001,0.5514466666666668,0.55349,0.5488200000000001,23756,2021-03-22 12:00:00
6,XRPUSD_i,0.55935,0.55359,0.54635,0.56441,0.55538,0.5547833333333333,0.554485,0.555925,20391,2021-03-22 13:00:00
7,XRPUSD_i,0.55359,0.57561,0.55359,0.58802,0.570805,0.5724066666666666,0.5732075,0.5677025,34806,2021-03-22 14:00:00
8,XRPUSD_i,0.5756,0.56259,0.55435,0.5756,0.564975,0.56418,0.5637825000000001,0.5670350000000001,21726,2021-03-22 15:00:00
9,XRPUSD_i,0.56259,0.57739,0.56019,0.57955,0.56987,0.5723766666666666,0.57363,0.56993,17112,2021-03-22 16:00:00
10,XRPUSD_i,0.57732,0.57115,0.56739,0.58175,0.57457,0.57343,0.57286,0.5744025,16045,2021-03-22 17:00:00
11,XRPUSD_i,0.57114,0.58837,0.56255,0.59635,0.57945,0.5824233333333333,0.5839099999999999,0.5796025,30053,2021-03-22 18:00:00
12,XRPUSD_i,0.58837,0.58642,0.57987,0.59151,0.58569,0.5859333333333333,0.586055,0.5865425,17304,2021-03-22 19:00:00
13,XRPUSD_i,0.58642,0.58707,0.58295,0.59874,0.5908450000000001,0.5895866666666667,0.5889575,0.5887950000000001,17296,2021-03-22 20:00:00
14,XRPUSD_i,0.58707,0.56116,0.55677,0.58839,0.57258,0.5687733333333332,0.56687,0.5733474999999999,23186,2021-03-22 21:00:00
15,XRPUSD_i,0.56116,0.53855,0.53855,0.56907,0.5538099999999999,0.5487233333333332,0.5461799999999999,0.5518325,20986,2021-03-22 22:00:00
16,XRPUSD_i,0.55882,0.5547,0.54248,0.55886,0.55067,0.5520133333333334,0.552685,0.553715,20622,2021-03-23 00:00:00
17,XRPUSD_i,0.5547,0.54216,0.54135,0.55681,0.54908,0.5467733333333333,0.54562,0.548755,12707,2021-03-23 01:00:00
18,XRPUSD_i,0.54216,0.5662,0.54035,0.5706,0.5554749999999999,0.5590499999999999,0.5608375,0.5548275,18397,2021-03-23 02:00:00
19,XRPUSD_i,0.5662,0.59044,0.56243,0.59158,0.577005,0.5814833333333334,0.5837225,0.5776625,19098,2021-03-23 03:00:00
20,XRPUSD_i,0.59044,0.57337,0.56978,0.59423,0.582005,0.5791266666666667,0.5776875,0.581955,18705,2021-03-23 04:00:00
21,XRPUSD_i,0.57337,0.5771,0.56958,0.582,0.57579,0.5762266666666667,0.576445,0.5755125,13910,2021-03-23 05:00:00
22,XRPUSD_i,0.57713,0.57142,0.56036,0.57737,0.568865,0.5697166666666666,0.5701425,0.57157,15385,2021-03-23 06:00:00
23,XRPUSD_i,0.57142,0.56184,0.55535,0.57162,0.563485,0.5629366666666668,0.5626625000000001,0.5650575,17855,2021-03-23 07:00:00
24,XRPUSD_i,0.56182,0.55182,0.54415,0.5635,0.553825,0.5531566666666666,0.5528225,0.5553224999999999,19396,2021-03-23 08:00:00
25,XRPUSD_i,0.55182,0.56697,0.55175,0.56905,0.5604,0.56259,0.563685,0.5598974999999999,14444,2021-03-23 09:00:00
