,NZDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDCAD_i,0.91165,0.91222,0.91151,0.91271,0.91211,0.9121466666666667,0.912165,0.9120225,917,2020-12-18 23:00:00
1,NZDCAD_i,0.91,0.91068,0.9095,0.91095,0.9102250000000001,0.9103766666666667,0.9104525000000001,0.9102825000000001,179,2020-12-21 00:00:00
2,NZDCAD_i,0.91068,0.9098,0.90922,0.91101,0.910115,0.9100100000000001,0.9099575000000001,0.9101775000000001,950,2020-12-21 01:00:00
3,NZDCAD_i,0.90978,0.9095,0.90878,0.91014,0.9094599999999999,0.9094733333333332,0.90948,0.90955,1344,2020-12-21 02:00:00
4,NZDCAD_i,0.90948,0.91008,0.90936,0.91052,0.90994,0.9099866666666667,0.91001,0.90986,1645,2020-12-21 03:00:00
5,NZDCAD_i,0.91008,0.91076,0.90973,0.91098,0.910355,0.9104899999999999,0.9105574999999999,0.9103874999999999,1527,2020-12-21 04:00:00
6,NZDCAD_i,0.91073,0.91149,0.91064,0.91149,0.911065,0.9112066666666667,0.9112775000000001,0.9110875,993,2020-12-21 05:00:00
7,NZDCAD_i,0.91146,0.91095,0.91081,0.91178,0.911295,0.91118,0.9111225000000001,0.91125,887,2020-12-21 06:00:00
8,NZDCAD_i,0.91095,0.91019,0.90981,0.91102,0.910415,0.91034,0.9103025,0.9104925,1177,2020-12-21 07:00:00
9,NZDCAD_i,0.91019,0.91058,0.91003,0.91086,0.910445,0.9104899999999999,0.9105125,0.910415,1270,2020-12-21 08:00:00
10,NZDCAD_i,0.91059,0.90782,0.90736,0.9108,0.9090800000000001,0.9086600000000001,0.9084500000000001,0.9091425000000001,2307,2020-12-21 09:00:00
11,NZDCAD_i,0.90782,0.90775,0.90691,0.90862,0.9077649999999999,0.90776,0.9077575,0.907775,2971,2020-12-21 10:00:00
12,NZDCAD_i,0.90773,0.90635,0.90583,0.90788,0.906855,0.9066866666666668,0.9066025,0.9069475,2332,2020-12-21 11:00:00
13,NZDCAD_i,0.90642,0.90674,0.90618,0.90735,0.906765,0.9067566666666668,0.9067525000000001,0.9066725,4019,2020-12-21 12:00:00
