,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NIKK225_i,23283.0,23248.0,23243.0,23308.0,23275.5,23266.333333333332,23261.75,23270.5,716,2020-11-02 05:00:00
1,NIKK225_i,23248.0,23293.0,23243.0,23303.0,23273.0,23279.666666666668,23283.0,23271.75,567,2020-11-02 06:00:00
2,NIKK225_i,23293.0,23293.0,23253.0,23314.0,23283.5,23286.666666666668,23288.25,23288.25,671,2020-11-02 07:00:00
3,NIKK225_i,23288.0,23243.0,23218.0,23298.0,23258.0,23253.0,23250.5,23261.75,735,2020-11-02 08:00:00
4,NIKK225_i,23243.0,23303.0,23228.0,23303.0,23265.5,23278.0,23284.25,23269.25,760,2020-11-02 09:00:00
5,NIKK225_i,23299.0,23308.0,23243.0,23308.0,23275.5,23286.333333333332,23291.75,23289.5,913,2020-11-02 10:00:00
6,NIKK225_i,23304.0,23348.0,23298.0,23378.0,23338.0,23341.333333333332,23343.0,23332.0,748,2020-11-02 11:00:00
7,NIKK225_i,23348.0,23413.0,23348.0,23428.0,23388.0,23396.333333333332,23400.5,23384.25,593,2020-11-02 12:00:00
8,NIKK225_i,23413.0,23408.0,23398.0,23423.0,23410.5,23409.666666666668,23409.25,23410.5,468,2020-11-02 13:00:00
9,NIKK225_i,23408.0,23373.0,23358.0,23408.0,23383.0,23379.666666666668,23378.0,23386.75,478,2020-11-02 14:00:00
10,NIKK225_i,23373.0,23388.0,23373.0,23403.0,23388.0,23388.0,23388.0,23384.25,428,2020-11-02 15:00:00
11,NIKK225_i,23388.0,23363.0,23338.0,23393.0,23365.5,23364.666666666668,23364.25,23370.5,775,2020-11-02 16:00:00
12,NIKK225_i,23398.0,23378.0,23353.0,23413.0,23383.0,23381.333333333332,23380.5,23385.5,880,2020-11-02 17:00:00
13,NIKK225_i,23378.0,23383.0,23358.0,23403.0,23380.5,23381.333333333332,23381.75,23380.5,627,2020-11-02 18:00:00
14,NIKK225_i,23383.0,23358.0,23348.0,23388.0,23368.0,23364.666666666668,23363.0,23369.25,496,2020-11-02 19:00:00
15,NIKK225_i,23358.0,23333.0,23323.0,23359.0,23341.0,23338.333333333332,23337.0,23343.25,560,2020-11-02 20:00:00
16,NIKK225_i,23333.0,23383.0,23328.0,23418.0,23373.0,23376.333333333332,23378.0,23365.5,551,2020-11-02 21:00:00
17,NIKK225_i,23383.0,23418.0,23373.0,23418.0,23395.5,23403.0,23406.75,23398.0,732,2020-11-02 22:00:00
18,NIKK225_i,23478.0,23469.0,23453.0,23489.0,23471.0,23470.333333333332,23470.0,23472.25,248,2020-11-03 01:00:00
19,NIKK225_i,23469.0,23569.0,23463.0,23574.0,23518.5,23535.333333333332,23543.75,23518.75,747,2020-11-03 02:00:00
20,NIKK225_i,23569.0,23604.0,23523.0,23609.0,23566.0,23578.666666666668,23585.0,23576.25,840,2020-11-03 03:00:00
21,NIKK225_i,23604.0,23624.0,23583.0,23629.0,23606.0,23612.0,23615.0,23610.0,513,2020-11-03 04:00:00
22,NIKK225_i,23624.0,23599.0,23564.0,23624.0,23594.0,23595.666666666668,23596.5,23602.75,450,2020-11-03 05:00:00
23,NIKK225_i,23599.0,23584.0,23573.0,23604.0,23588.5,23587.0,23586.25,23590.0,413,2020-11-03 06:00:00
24,NIKK225_i,23584.0,23589.0,23583.0,23629.0,23606.0,23600.333333333332,23597.5,23596.25,436,2020-11-03 07:00:00
25,NIKK225_i,23589.0,23579.0,23578.0,23609.0,23593.5,23588.666666666668,23586.25,23588.75,410,2020-11-03 08:00:00
