,GBPSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPSGD_i,1.78983,1.78937,1.7880500000000001,1.79082,1.789435,1.7894133333333333,1.7894025,1.7895175,761,2020-12-18 23:00:00
1,GBPSGD_i,1.7806199999999999,1.78228,1.77832,1.7851,1.78171,1.7819,1.781995,1.78158,641,2020-12-21 00:00:00
2,GBPSGD_i,1.78225,1.78225,1.77945,1.78422,1.781835,1.7819733333333332,1.7820424999999998,1.7820424999999998,1650,2020-12-21 01:00:00
3,GBPSGD_i,1.78234,1.78288,1.78132,1.7836699999999999,1.782495,1.7826233333333334,1.7826875000000002,1.7825525,3538,2020-12-21 02:00:00
4,GBPSGD_i,1.78289,1.7780200000000002,1.77701,1.7829000000000002,1.7799550000000002,1.77931,1.7789875,1.780205,3321,2020-12-21 03:00:00
5,GBPSGD_i,1.7780200000000002,1.7759399999999999,1.7753,1.77854,1.77692,1.7765933333333332,1.77643,1.7769499999999998,3426,2020-12-21 04:00:00
6,GBPSGD_i,1.77593,1.77799,1.77464,1.77867,1.7766549999999999,1.7771,1.7773225,1.7768074999999999,2409,2020-12-21 05:00:00
7,GBPSGD_i,1.778,1.77882,1.77719,1.78043,1.77881,1.7788133333333331,1.7788149999999998,1.77861,1672,2020-12-21 06:00:00
8,GBPSGD_i,1.77882,1.78166,1.77834,1.78167,1.780005,1.7805566666666668,1.7808325000000003,1.7801225,2416,2020-12-21 07:00:00
9,GBPSGD_i,1.78166,1.77975,1.77813,1.78166,1.779895,1.7798466666666666,1.7798224999999999,1.7803,2778,2020-12-21 08:00:00
10,GBPSGD_i,1.77984,1.7725,1.77005,1.77992,1.774985,1.7741566666666666,1.7737425,1.7755775,5393,2020-12-21 09:00:00
11,GBPSGD_i,1.7725,1.7695400000000001,1.7691400000000002,1.7738399999999999,1.77149,1.77084,1.770515,1.771255,6715,2020-12-21 10:00:00
12,GBPSGD_i,1.7695400000000001,1.76662,1.7649599999999999,1.77103,1.767995,1.7675366666666665,1.7673074999999998,1.7680375,5563,2020-12-21 11:00:00
13,GBPSGD_i,1.76662,1.77027,1.7650700000000001,1.77155,1.76831,1.7689633333333334,1.76929,1.7683775000000002,8399,2020-12-21 12:00:00
14,GBPSGD_i,1.77027,1.7740200000000002,1.76879,1.7745600000000001,1.771675,1.7724566666666668,1.7728475000000001,1.77191,6463,2020-12-21 13:00:00
15,GBPSGD_i,1.7740200000000002,1.7754400000000001,1.77238,1.77654,1.77446,1.7747866666666667,1.77495,1.7745950000000001,5427,2020-12-21 14:00:00
16,GBPSGD_i,1.7754400000000001,1.77787,1.7751000000000001,1.77878,1.7769400000000002,1.7772500000000002,1.7774050000000001,1.7767975000000003,5471,2020-12-21 15:00:00
17,GBPSGD_i,1.77787,1.77442,1.77349,1.77819,1.77584,1.7753666666666668,1.77513,1.7759925,4682,2020-12-21 16:00:00
18,GBPSGD_i,1.77442,1.77464,1.77231,1.7766,1.7744550000000001,1.7745166666666667,1.7745475,1.7744925,5547,2020-12-21 17:00:00
19,GBPSGD_i,1.77466,1.77746,1.77446,1.77841,1.776435,1.7767766666666667,1.7769475,1.7762475,3803,2020-12-21 18:00:00
20,GBPSGD_i,1.77746,1.77797,1.77484,1.77929,1.777065,1.7773666666666665,1.7775174999999999,1.77739,3777,2020-12-21 19:00:00
21,GBPSGD_i,1.77796,1.77942,1.77787,1.7800799999999999,1.778975,1.7791233333333334,1.7791975,1.7788325,2852,2020-12-21 20:00:00
22,GBPSGD_i,1.7793999999999999,1.79084,1.77925,1.7959100000000001,1.7875800000000002,1.7886666666666668,1.7892100000000002,1.78635,5344,2020-12-21 21:00:00
23,GBPSGD_i,1.79086,1.79132,1.79013,1.79452,1.792325,1.79199,1.7918224999999999,1.7917074999999998,3186,2020-12-21 22:00:00
24,GBPSGD_i,1.79132,1.79251,1.78845,1.79358,1.791015,1.7915133333333333,1.7917625,1.7914649999999999,1154,2020-12-21 23:00:00
25,GBPSGD_i,1.78982,1.78908,1.7873299999999999,1.7922099999999999,1.7897699999999999,1.78954,1.789425,1.78961,266,2020-12-22 00:00:00
26,GBPSGD_i,1.78908,1.79014,1.78811,1.79165,1.7898800000000001,1.7899666666666667,1.79001,1.7897450000000001,1110,2020-12-22 01:00:00
27,GBPSGD_i,1.79023,1.78768,1.7864499999999999,1.7911899999999998,1.7888199999999999,1.7884399999999998,1.78825,1.7888875,2403,2020-12-22 02:00:00
28,GBPSGD_i,1.78772,1.7855400000000001,1.78515,1.7883200000000001,1.7867350000000002,1.786336666666667,1.7861375000000002,1.7866825000000002,3109,2020-12-22 03:00:00
29,GBPSGD_i,1.7855400000000001,1.78765,1.7855400000000001,1.78797,1.786755,1.7870533333333334,1.7872025,1.786675,2955,2020-12-22 04:00:00
30,GBPSGD_i,1.78765,1.7884,1.7871899999999998,1.7891,1.7881449999999999,1.7882299999999998,1.7882725,1.788085,2099,2020-12-22 05:00:00
31,GBPSGD_i,1.78843,1.7880099999999999,1.78681,1.79005,1.78843,1.78829,1.78822,1.788325,1923,2020-12-22 06:00:00
