,GBPUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPUSD_i,1.34935,1.34976,1.34832,1.34985,1.349085,1.34931,1.3494225,1.34932,808,2020-12-18 23:00:00
1,GBPUSD_i,1.3408,1.34269,1.33987,1.34422,1.342045,1.3422599999999998,1.3423675,1.3418949999999998,872,2020-12-21 00:00:00
2,GBPUSD_i,1.3427,1.33997,1.33937,1.34378,1.341575,1.3410400000000002,1.3407725000000001,1.341455,1586,2020-12-21 01:00:00
3,GBPUSD_i,1.33997,1.34083,1.33975,1.34123,1.34049,1.3406033333333334,1.3406600000000002,1.340445,2001,2020-12-21 02:00:00
4,GBPUSD_i,1.34083,1.33737,1.33621,1.34101,1.33861,1.3381966666666667,1.33799,1.3388550000000001,2150,2020-12-21 03:00:00
5,GBPUSD_i,1.33732,1.3345099999999999,1.33385,1.33778,1.335815,1.33538,1.3351625,1.335865,2252,2020-12-21 04:00:00
6,GBPUSD_i,1.33452,1.33521,1.33349,1.33575,1.3346200000000001,1.3348166666666668,1.334915,1.3347425,1566,2020-12-21 05:00:00
7,GBPUSD_i,1.33521,1.33612,1.3347,1.33682,1.33576,1.3358800000000002,1.3359400000000001,1.3357125,1333,2020-12-21 06:00:00
8,GBPUSD_i,1.33612,1.33651,1.33467,1.33651,1.33559,1.3358966666666667,1.3360500000000002,1.3359525,1731,2020-12-21 07:00:00
9,GBPUSD_i,1.33651,1.3361,1.33418,1.33651,1.335345,1.3355966666666668,1.3357225000000001,1.3358250000000003,2154,2020-12-21 08:00:00
10,GBPUSD_i,1.33621,1.32832,1.32643,1.33621,1.3313199999999998,1.3303199999999997,1.3298199999999998,1.3317924999999997,3632,2020-12-21 09:00:00
11,GBPUSD_i,1.32832,1.32677,1.32619,1.32983,1.32801,1.3275966666666665,1.3273899999999998,1.3277774999999998,4505,2020-12-21 10:00:00
12,GBPUSD_i,1.32677,1.3219,1.3213,1.32739,1.324345,1.32353,1.3231225000000002,1.32434,3819,2020-12-21 11:00:00
13,GBPUSD_i,1.32191,1.32339,1.31868,1.3242099999999999,1.321445,1.3220933333333333,1.3224175,1.3220475,5464,2020-12-21 12:00:00
14,GBPUSD_i,1.32348,1.32721,1.32234,1.32843,1.325385,1.3259933333333334,1.3262975,1.3253650000000001,4334,2020-12-21 13:00:00
15,GBPUSD_i,1.32722,1.32803,1.32609,1.32941,1.32775,1.3278433333333333,1.32789,1.3276875000000001,3775,2020-12-21 14:00:00
16,GBPUSD_i,1.32803,1.33148,1.32793,1.33233,1.33013,1.33058,1.330805,1.3299425,3650,2020-12-21 15:00:00
17,GBPUSD_i,1.33148,1.32983,1.32917,1.3329,1.331035,1.3306333333333333,1.3304325000000001,1.330845,3264,2020-12-21 16:00:00
18,GBPUSD_i,1.32988,1.33112,1.32886,1.33202,1.3304399999999998,1.3306666666666667,1.33078,1.33047,3980,2020-12-21 17:00:00
