,GBPCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPCAD_i,1.7244199999999998,1.72525,1.72278,1.7262,1.7244899999999999,1.7247433333333333,1.72487,1.7246625,1858,2020-12-18 23:00:00
1,GBPCAD_i,1.7165,1.71739,1.71397,1.7191100000000001,1.7165400000000002,1.7168233333333334,1.716965,1.7167425,563,2020-12-21 00:00:00
2,GBPCAD_i,1.71729,1.71639,1.71478,1.71949,1.7171349999999999,1.7168866666666667,1.7167625000000002,1.7169875,2655,2020-12-21 01:00:00
3,GBPCAD_i,1.71639,1.718,1.71607,1.71803,1.71705,1.7173666666666667,1.717525,1.7171224999999999,3938,2020-12-21 02:00:00
4,GBPCAD_i,1.7179600000000002,1.71433,1.71312,1.7179799999999998,1.71555,1.715143333333333,1.71494,1.7158474999999997,4242,2020-12-21 03:00:00
5,GBPCAD_i,1.71444,1.7152500000000002,1.7128999999999999,1.71673,1.714815,1.7149600000000003,1.7150325000000002,1.71483,3815,2020-12-21 04:00:00
6,GBPCAD_i,1.7152500000000002,1.7156799999999999,1.71334,1.7162600000000001,1.7148,1.7150933333333331,1.7152399999999999,1.7151325,2944,2020-12-21 05:00:00
7,GBPCAD_i,1.71569,1.71551,1.7149100000000002,1.71722,1.716065,1.71588,1.7157875,1.7158324999999999,2316,2020-12-21 06:00:00
8,GBPCAD_i,1.71551,1.71591,1.71427,1.7159200000000001,1.715095,1.715366666666667,1.7155025000000002,1.7154025000000002,2864,2020-12-21 07:00:00
9,GBPCAD_i,1.7158799999999998,1.7162899999999999,1.71387,1.71678,1.715325,1.7156466666666665,1.7158075,1.7157049999999998,3178,2020-12-21 08:00:00
10,GBPCAD_i,1.71645,1.7107999999999999,1.70763,1.71645,1.71204,1.7116266666666666,1.71142,1.7128325,5458,2020-12-21 09:00:00
11,GBPCAD_i,1.7107999999999999,1.7083300000000001,1.70747,1.71282,1.710145,1.7095399999999998,1.7092375,1.709855,7387,2020-12-21 10:00:00
12,GBPCAD_i,1.7083300000000001,1.70638,1.70452,1.7096900000000002,1.707105,1.7068633333333334,1.7067425,1.70723,5827,2020-12-21 11:00:00
13,GBPCAD_i,1.70638,1.71065,1.70537,1.71156,1.708465,1.7091933333333333,1.7095575,1.70849,8050,2020-12-21 12:00:00
14,GBPCAD_i,1.71069,1.71189,1.70783,1.71198,1.709905,1.7105666666666668,1.7108975000000002,1.7105975,6719,2020-12-21 13:00:00
15,GBPCAD_i,1.71189,1.71159,1.70934,1.71262,1.7109800000000002,1.7111833333333335,1.7112850000000002,1.71136,5360,2020-12-21 14:00:00
16,GBPCAD_i,1.7115200000000002,1.7149999999999999,1.71097,1.71637,1.71367,1.7141133333333334,1.714335,1.713465,5599,2020-12-21 15:00:00
17,GBPCAD_i,1.7149,1.71067,1.70902,1.71521,1.7121149999999998,1.7116333333333333,1.7113925,1.71245,6067,2020-12-21 16:00:00
18,GBPCAD_i,1.71069,1.71299,1.7089699999999999,1.71404,1.7115049999999998,1.7119999999999997,1.7122474999999997,1.7116724999999997,5869,2020-12-21 17:00:00
19,GBPCAD_i,1.713,1.71365,1.71201,1.7160600000000001,1.714035,1.7139066666666665,1.7138424999999997,1.7136799999999999,4505,2020-12-21 18:00:00
20,GBPCAD_i,1.71364,1.71293,1.71075,1.71481,1.71278,1.71283,1.712855,1.7130325,4447,2020-12-21 19:00:00
21,GBPCAD_i,1.71311,1.71488,1.71289,1.71537,1.71413,1.71438,1.714505,1.7140624999999998,3745,2020-12-21 20:00:00
22,GBPCAD_i,1.71489,1.7264599999999999,1.71469,1.73074,1.722715,1.723963333333333,1.7245874999999997,1.721695,6193,2020-12-21 21:00:00
23,GBPCAD_i,1.72638,1.72873,1.7260499999999999,1.7301199999999999,1.7280849999999999,1.7283,1.7284074999999999,1.72782,4436,2020-12-21 22:00:00
24,GBPCAD_i,1.72865,1.73126,1.72633,1.73135,1.72884,1.7296466666666666,1.7300499999999999,1.7293975,1719,2020-12-21 23:00:00
25,GBPCAD_i,1.7294,1.72836,1.7273,1.73044,1.7288700000000001,1.7287,1.728615,1.728875,365,2020-12-22 00:00:00
26,GBPCAD_i,1.72839,1.72834,1.72685,1.7297799999999999,1.7283149999999998,1.7283233333333332,1.7283275,1.72834,2967,2020-12-22 01:00:00
27,GBPCAD_i,1.72834,1.72588,1.7248299999999999,1.7286700000000002,1.72675,1.72646,1.726315,1.72693,3267,2020-12-22 02:00:00
28,GBPCAD_i,1.72588,1.7240199999999999,1.72342,1.7263199999999999,1.72487,1.7245866666666665,1.7244449999999998,1.72491,4042,2020-12-22 03:00:00
29,GBPCAD_i,1.72397,1.72451,1.72315,1.72485,1.724,1.72417,1.7242549999999999,1.72412,3193,2020-12-22 04:00:00
30,GBPCAD_i,1.72451,1.725,1.7240199999999999,1.72573,1.724875,1.7249166666666664,1.7249374999999998,1.724815,2721,2020-12-22 05:00:00
31,GBPCAD_i,1.725,1.72314,1.7224300000000001,1.725,1.723715,1.7235233333333333,1.7234275,1.7238924999999998,1909,2020-12-22 06:00:00
32,GBPCAD_i,1.72314,1.7239499999999999,1.72292,1.72477,1.7238449999999998,1.72388,1.7238975,1.723695,1954,2020-12-22 07:00:00
