,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDCHF_i,0.67329,0.67284,0.67269,0.67334,0.673015,0.6729566666666668,0.6729275,0.6730400000000001,565,2020-12-18 23:00:00
1,AUDCHF_i,0.67152,0.67237,0.67115,0.67253,0.67184,0.6720166666666666,0.672105,0.6718925,292,2020-12-21 00:00:00
2,AUDCHF_i,0.67237,0.67182,0.67147,0.67246,0.6719649999999999,0.6719166666666666,0.6718924999999999,0.6720299999999999,1073,2020-12-21 01:00:00
3,AUDCHF_i,0.67183,0.67151,0.67141,0.67239,0.6718999999999999,0.67177,0.671705,0.671785,1384,2020-12-21 02:00:00
4,AUDCHF_i,0.67151,0.67159,0.67107,0.67221,0.67164,0.6716233333333333,0.6716150000000001,0.671595,1794,2020-12-21 03:00:00
5,AUDCHF_i,0.67164,0.67045,0.67033,0.67204,0.6711849999999999,0.6709399999999999,0.6708174999999998,0.6711149999999999,1744,2020-12-21 04:00:00
6,AUDCHF_i,0.67045,0.67108,0.67045,0.67121,0.67083,0.6709133333333334,0.670955,0.6707974999999999,1068,2020-12-21 05:00:00
7,AUDCHF_i,0.6711,0.67084,0.67063,0.67143,0.67103,0.6709666666666667,0.6709350000000001,0.671,905,2020-12-21 06:00:00
8,AUDCHF_i,0.67085,0.67019,0.66983,0.67095,0.67039,0.6703233333333333,0.6702899999999999,0.670455,1310,2020-12-21 07:00:00
9,AUDCHF_i,0.67019,0.66995,0.66979,0.67048,0.6701349999999999,0.6700733333333333,0.6700425,0.6701024999999999,1444,2020-12-21 08:00:00
10,AUDCHF_i,0.66996,0.66848,0.66814,0.67005,0.669095,0.6688899999999999,0.6687874999999999,0.6691575,2474,2020-12-21 09:00:00
11,AUDCHF_i,0.66849,0.66726,0.66685,0.66888,0.667865,0.6676633333333334,0.6675625000000001,0.66787,2988,2020-12-21 10:00:00
