,EURRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURRUB_i,71.678,71.758,71.634,71.898,71.76599999999999,71.76333333333332,71.76199999999999,71.74199999999999,3223,2019-04-24 15:00:00
1,EURRUB_i,71.762,71.756,71.641,71.789,71.715,71.72866666666667,71.7355,71.737,4148,2019-04-24 16:00:00
2,EURRUB_i,71.753,71.875,71.752,71.891,71.8215,71.83933333333333,71.84825000000001,71.81775,5174,2019-04-24 17:00:00
3,EURRUB_i,71.872,71.834,71.76,71.872,71.816,71.822,71.825,71.8345,2924,2019-04-24 18:00:00
4,EURRUB_i,71.834,71.752,71.629,71.841,71.735,71.74066666666666,71.7435,71.764,3469,2019-04-24 19:00:00
5,EURRUB_i,71.752,71.78,71.748,71.844,71.79599999999999,71.79066666666667,71.788,71.78099999999999,2408,2019-04-24 20:00:00
6,EURRUB_i,71.804,71.973,71.719,71.999,71.859,71.89699999999999,71.916,71.87375,5199,2019-04-25 10:00:00
7,EURRUB_i,71.972,71.996,71.961,72.103,72.032,72.02,72.014,72.008,4221,2019-04-25 11:00:00
8,EURRUB_i,71.996,72.122,71.952,72.16,72.056,72.07799999999999,72.089,72.05749999999999,3422,2019-04-25 12:00:00
9,EURRUB_i,72.122,72.009,71.992,72.156,72.07400000000001,72.05233333333335,72.04150000000001,72.06975000000001,2771,2019-04-25 13:00:00
10,EURRUB_i,72.01,72.022,71.904,72.074,71.989,72.0,72.0055,72.0025,2985,2019-04-25 14:00:00
11,EURRUB_i,72.022,72.075,71.996,72.143,72.0695,72.07133333333333,72.07225,72.059,4641,2019-04-25 15:00:00
12,EURRUB_i,72.075,72.068,72.014,72.176,72.095,72.086,72.08149999999999,72.08324999999999,4606,2019-04-25 16:00:00
13,EURRUB_i,72.067,71.936,71.887,72.153,72.02000000000001,71.992,71.97800000000001,72.01075,4262,2019-04-25 17:00:00
14,EURRUB_i,71.937,71.985,71.908,72.054,71.981,71.98233333333333,71.983,71.971,3291,2019-04-25 18:00:00
15,EURRUB_i,71.983,71.975,71.895,72.025,71.96000000000001,71.965,71.9675,71.96950000000001,1892,2019-04-25 19:00:00
16,EURRUB_i,71.976,71.819,71.814,71.979,71.8965,71.87066666666668,71.85775000000001,71.897,1515,2019-04-25 20:00:00
17,EURRUB_i,71.891,71.917,71.887,72.015,71.951,71.93966666666667,71.934,71.9275,3073,2019-04-26 10:00:00
