,USDRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDRUR,76.067,76.237,76.067,76.329,76.198,76.211,76.2175,76.175,4010,2020-12-01 09:00:00
1,USDRUR,76.241,76.11,76.073,76.345,76.209,76.176,76.15950000000001,76.19225,2688,2020-12-01 10:00:00
2,USDRUR,76.103,75.985,75.835,76.135,75.985,75.985,75.985,76.0145,2511,2020-12-01 11:00:00
3,USDRUR,75.98,75.895,75.863,76.003,75.93299999999999,75.92033333333332,75.91399999999999,75.93525,2293,2020-12-01 12:00:00
4,USDRUR,75.893,75.905,75.84,76.003,75.92150000000001,75.91600000000001,75.91325,75.91025,2251,2020-12-01 13:00:00
5,USDRUR,75.906,75.755,75.745,75.966,75.8555,75.822,75.80525,75.843,2111,2020-12-01 14:00:00
6,USDRUR,75.75,75.744,75.625,75.855,75.74000000000001,75.74133333333334,75.742,75.74350000000001,2539,2020-12-01 15:00:00
7,USDRUR,75.741,75.61,75.52,75.809,75.6645,75.64633333333335,75.63725000000001,75.67,2512,2020-12-01 16:00:00
8,USDRUR,75.608,75.495,75.445,75.635,75.53999999999999,75.52499999999999,75.5175,75.54575,2625,2020-12-01 17:00:00
9,USDRUR,75.498,75.643,75.455,75.676,75.5655,75.59133333333334,75.60425000000001,75.568,4174,2020-12-01 18:00:00
10,USDRUR,75.64,75.67,75.6,75.726,75.663,75.66533333333332,75.6665,75.65899999999999,3459,2020-12-01 19:00:00
11,USDRUR,75.665,75.622,75.597,75.673,75.63499999999999,75.63066666666667,75.6285,75.63925,3073,2020-12-01 20:00:00
12,USDRUR,75.62,75.696,75.597,75.712,75.6545,75.66833333333334,75.67525,75.65625,2514,2020-12-01 21:00:00
13,USDRUR,75.697,75.745,75.697,75.825,75.761,75.75566666666667,75.753,75.741,2782,2020-12-01 22:00:00
14,USDRUR,75.747,75.839,75.587,75.922,75.75450000000001,75.78266666666667,75.79675,75.77375,622,2020-12-01 23:00:00
15,USDRUR,75.694,75.9,75.69,76.008,75.84899999999999,75.866,75.8745,75.823,47,2020-12-02 00:00:00
16,USDRUR,75.91,75.859,75.848,75.984,75.916,75.89699999999999,75.88749999999999,75.90025,85,2020-12-02 01:00:00
17,USDRUR,75.865,75.914,75.837,76.019,75.928,75.92333333333333,75.92099999999999,75.90875,266,2020-12-02 02:00:00
18,USDRUR,75.913,75.979,75.744,75.987,75.8655,75.90333333333332,75.92224999999999,75.90575,340,2020-12-02 03:00:00
19,USDRUR,75.986,75.941,75.847,76.003,75.925,75.93033333333334,75.93299999999999,75.94425,321,2020-12-02 04:00:00
20,USDRUR,75.891,75.85,75.847,75.891,75.869,75.86266666666667,75.8595,75.86975,147,2020-12-02 05:00:00
21,USDRUR,75.858,75.77,75.746,75.858,75.80199999999999,75.79133333333333,75.78599999999999,75.80799999999999,208,2020-12-02 06:00:00
22,USDRUR,75.772,75.744,75.714,75.844,75.779,75.76733333333333,75.7615,75.7685,245,2020-12-02 07:00:00
23,USDRUR,75.74,75.766,75.645,75.831,75.738,75.74733333333334,75.75200000000001,75.7455,647,2020-12-02 08:00:00
24,USDRUR,75.777,75.49,75.29,75.88,75.58500000000001,75.55333333333334,75.53750000000001,75.60925,2807,2020-12-02 09:00:00
25,USDRUR,75.495,75.594,75.495,75.715,75.605,75.60133333333333,75.5995,75.57475,2507,2020-12-02 10:00:00
26,USDRUR,75.596,75.54,75.449,75.635,75.542,75.54133333333334,75.54100000000001,75.555,2206,2020-12-02 11:00:00
27,USDRUR,75.539,75.608,75.518,75.663,75.59049999999999,75.59633333333333,75.59925,75.582,1852,2020-12-02 12:00:00
28,USDRUR,75.605,75.648,75.54,75.704,75.622,75.63066666666667,75.63499999999999,75.62425,1934,2020-12-02 13:00:00
29,USDRUR,75.655,75.689,75.655,75.811,75.733,75.71833333333333,75.711,75.7025,1977,2020-12-02 14:00:00
30,USDRUR,75.691,75.441,75.437,75.786,75.6115,75.55466666666668,75.52625,75.58875,2179,2020-12-02 15:00:00
31,USDRUR,75.44,75.32,75.213,75.535,75.374,75.356,75.347,75.377,2317,2020-12-02 16:00:00
32,USDRUR,75.325,75.221,75.055,75.365,75.21000000000001,75.21366666666667,75.2155,75.2415,2630,2020-12-02 17:00:00
33,USDRUR,75.219,75.066,75.0,75.267,75.1335,75.111,75.09975,75.138,4781,2020-12-02 18:00:00
34,USDRUR,75.067,75.037,74.97,75.103,75.03649999999999,75.03666666666666,75.03675,75.04424999999999,3817,2020-12-02 19:00:00
35,USDRUR,75.035,75.075,75.006,75.102,75.054,75.06099999999999,75.0645,75.05449999999999,3258,2020-12-02 20:00:00
36,USDRUR,75.073,75.01,75.009,75.18,75.09450000000001,75.06633333333333,75.05225,75.068,3298,2020-12-02 21:00:00
37,USDRUR,75.018,74.981,74.961,75.062,75.0115,75.00133333333333,74.99625,75.0055,2971,2020-12-02 22:00:00
38,USDRUR,74.98,74.962,74.927,75.029,74.97800000000001,74.97266666666667,74.97,74.9745,338,2020-12-02 23:00:00
39,USDRUR,74.945,75.035,74.945,75.045,74.995,75.00833333333334,75.015,74.9925,110,2020-12-03 00:00:00
40,USDRUR,75.002,75.046,74.977,75.067,75.02199999999999,75.02999999999999,75.03399999999999,75.023,173,2020-12-03 01:00:00
