,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDCAD_i,0.97364,0.97381,0.97342,0.97447,0.973945,0.9739,0.9738775,0.973835,1056,2020-12-18 23:00:00
1,AUDCAD_i,0.97085,0.97151,0.97069,0.9724,0.9715450000000001,0.9715333333333334,0.9715275,0.9713625,461,2020-12-21 00:00:00
2,AUDCAD_i,0.97159,0.97179,0.97118,0.97283,0.972005,0.9719333333333333,0.9718975,0.9718475,1508,2020-12-21 01:00:00
3,AUDCAD_i,0.97177,0.97264,0.97149,0.97292,0.972205,0.9723499999999999,0.9724225,0.972205,2014,2020-12-21 02:00:00
4,AUDCAD_i,0.97263,0.97257,0.97195,0.97377,0.9728600000000001,0.9727633333333334,0.9727150000000001,0.9727300000000001,2636,2020-12-21 03:00:00
5,AUDCAD_i,0.97257,0.97252,0.97217,0.97318,0.972675,0.9726233333333333,0.9725975,0.97261,2522,2020-12-21 04:00:00
6,AUDCAD_i,0.97249,0.97283,0.97241,0.97315,0.97278,0.9727966666666666,0.972805,0.97272,1828,2020-12-21 05:00:00
7,AUDCAD_i,0.97283,0.97173,0.9716,0.97296,0.97228,0.9720966666666667,0.972005,0.97228,1608,2020-12-21 06:00:00
8,AUDCAD_i,0.97173,0.971,0.97038,0.97188,0.97113,0.9710866666666668,0.9710650000000001,0.9712475,1959,2020-12-21 07:00:00
9,AUDCAD_i,0.971,0.97125,0.97078,0.97163,0.971205,0.9712200000000001,0.9712275,0.9711650000000001,2155,2020-12-21 08:00:00
10,AUDCAD_i,0.97121,0.96939,0.96853,0.97134,0.969935,0.9697533333333332,0.9696624999999999,0.9701175,3084,2020-12-21 09:00:00
11,AUDCAD_i,0.96942,0.97103,0.96908,0.97107,0.970075,0.9703933333333333,0.9705524999999999,0.97015,3918,2020-12-21 10:00:00
12,AUDCAD_i,0.97103,0.96778,0.96716,0.9711,0.96913,0.96868,0.968455,0.9692675,3019,2020-12-21 11:00:00
13,AUDCAD_i,0.96781,0.96757,0.96575,0.96816,0.966955,0.9671600000000001,0.9672625000000001,0.9673225000000001,5386,2020-12-21 12:00:00
14,AUDCAD_i,0.96758,0.96817,0.96688,0.96903,0.9679549999999999,0.9680266666666665,0.9680624999999998,0.9679149999999999,4142,2020-12-21 13:00:00
15,AUDCAD_i,0.96816,0.96854,0.9679,0.96888,0.96839,0.9684399999999999,0.9684649999999999,0.96837,3507,2020-12-21 14:00:00
16,AUDCAD_i,0.96854,0.96881,0.96757,0.96974,0.968655,0.9687066666666667,0.9687325,0.968665,4499,2020-12-21 15:00:00
17,AUDCAD_i,0.96878,0.96916,0.96815,0.96964,0.968895,0.9689833333333334,0.9690275,0.9689325,4841,2020-12-21 16:00:00
18,AUDCAD_i,0.96917,0.97247,0.969,0.97264,0.97082,0.97137,0.971645,0.97082,4829,2020-12-21 17:00:00
19,AUDCAD_i,0.97247,0.97221,0.97188,0.97357,0.9727250000000001,0.9725533333333334,0.9724675,0.9725325,3627,2020-12-21 18:00:00
20,AUDCAD_i,0.97221,0.97192,0.97178,0.97271,0.972245,0.9721366666666666,0.9720825,0.972155,2734,2020-12-21 19:00:00
21,AUDCAD_i,0.97192,0.97258,0.97176,0.97261,0.972185,0.9723166666666666,0.9723824999999999,0.9722175,2169,2020-12-21 20:00:00
22,AUDCAD_i,0.97259,0.97436,0.9724,0.9744,0.9734,0.97372,0.97388,0.9734375,2710,2020-12-21 21:00:00
23,AUDCAD_i,0.97436,0.97445,0.97372,0.97464,0.97418,0.9742700000000001,0.974315,0.9742925,2694,2020-12-21 22:00:00
24,AUDCAD_i,0.97442,0.97503,0.97419,0.97565,0.97492,0.9749566666666666,0.9749749999999999,0.9748224999999999,1249,2020-12-21 23:00:00
25,AUDCAD_i,0.97386,0.97447,0.97378,0.97494,0.97436,0.9743966666666667,0.974415,0.9742625,408,2020-12-22 00:00:00
26,AUDCAD_i,0.97392,0.97349,0.9734,0.97476,0.9740800000000001,0.9738833333333333,0.973785,0.9738925,1501,2020-12-22 01:00:00
