,USDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDCAD_i,1.27806,1.27817,1.27729,1.27931,1.2783,1.2782566666666666,1.278235,1.2782075,1177,2020-12-18 23:00:00
1,USDCAD_i,1.27959,1.2788300000000001,1.27851,1.27977,1.27914,1.2790366666666666,1.278985,1.279175,484,2020-12-21 00:00:00
2,USDCAD_i,1.2788300000000001,1.28094,1.27841,1.28107,1.2797399999999999,1.28014,1.28034,1.2798125,945,2020-12-21 01:00:00
3,USDCAD_i,1.28095,1.28134,1.28052,1.28149,1.281005,1.2811166666666667,1.2811725,1.281075,1539,2020-12-21 02:00:00
4,USDCAD_i,1.28132,1.28204,1.28052,1.28229,1.281405,1.2816166666666666,1.2817225,1.2815425,2429,2020-12-21 03:00:00
5,USDCAD_i,1.28204,1.28505,1.28141,1.28538,1.283395,1.2839466666666668,1.2842225,1.28347,2161,2020-12-21 04:00:00
6,USDCAD_i,1.28504,1.28502,1.28476,1.28526,1.28501,1.2850133333333333,1.285015,1.2850199999999998,1308,2020-12-21 05:00:00
7,USDCAD_i,1.28502,1.28397,1.28392,1.28509,1.284505,1.2843266666666666,1.2842375000000001,1.2845,818,2020-12-21 06:00:00
8,USDCAD_i,1.28397,1.28391,1.28384,1.28468,1.2842600000000002,1.2841433333333334,1.2840850000000001,1.2841,1171,2020-12-21 07:00:00
9,USDCAD_i,1.28391,1.28457,1.28391,1.28512,1.284515,1.2845333333333333,1.2845425000000001,1.2843775000000002,1351,2020-12-21 08:00:00
10,USDCAD_i,1.28458,1.28802,1.28436,1.28808,1.28622,1.2868199999999999,1.2871199999999998,1.28626,3225,2020-12-21 09:00:00
11,USDCAD_i,1.288,1.2877,1.28657,1.28913,1.2878500000000002,1.2878,1.2877750000000001,1.2878500000000002,4825,2020-12-21 10:00:00
12,USDCAD_i,1.2877,1.29092,1.28769,1.29107,1.28938,1.2898933333333333,1.29015,1.289345,3267,2020-12-21 11:00:00
13,USDCAD_i,1.29092,1.29273,1.29081,1.29555,1.29318,1.29303,1.2929549999999999,1.2925024999999999,6327,2020-12-21 12:00:00
14,USDCAD_i,1.29272,1.28994,1.28821,1.29294,1.290575,1.2903633333333333,1.2902575,1.2909525,4645,2020-12-21 13:00:00
15,USDCAD_i,1.2898800000000001,1.2888899999999999,1.28739,1.29003,1.28871,1.28877,1.2888,1.2890475000000001,4102,2020-12-21 14:00:00
16,USDCAD_i,1.2888899999999999,1.28811,1.28709,1.28918,1.288135,1.2881266666666666,1.2881225,1.2883175,4407,2020-12-21 15:00:00
17,USDCAD_i,1.2881,1.28641,1.28502,1.28817,1.2865950000000002,1.2865333333333335,1.2865025,1.286925,5031,2020-12-21 16:00:00
18,USDCAD_i,1.28641,1.28692,1.28562,1.28728,1.2864499999999999,1.2866066666666667,1.286685,1.2865575,4546,2020-12-21 17:00:00
19,USDCAD_i,1.28692,1.28356,1.28353,1.28694,1.2852350000000001,1.2846766666666667,1.2843975,1.2852375,2933,2020-12-21 18:00:00
20,USDCAD_i,1.28362,1.2827600000000001,1.28268,1.2843200000000001,1.2835,1.2832533333333334,1.28313,1.2833450000000002,2388,2020-12-21 19:00:00
21,USDCAD_i,1.28277,1.28284,1.28214,1.2836,1.28287,1.2828600000000001,1.282855,1.2828375,1971,2020-12-21 20:00:00
22,USDCAD_i,1.2828300000000001,1.2828300000000001,1.28194,1.28319,1.282565,1.2826533333333334,1.2826975,1.2826975,2226,2020-12-21 21:00:00
23,USDCAD_i,1.2828300000000001,1.28519,1.2825199999999999,1.28542,1.28397,1.2843766666666667,1.28458,1.2839900000000002,2392,2020-12-21 22:00:00
24,USDCAD_i,1.28517,1.2855699999999999,1.28501,1.28616,1.285585,1.28558,1.2855775,1.2854774999999998,1033,2020-12-21 23:00:00
25,USDCAD_i,1.28549,1.28507,1.28426,1.28564,1.2849499999999998,1.2849899999999999,1.28501,1.285115,460,2020-12-22 00:00:00
26,USDCAD_i,1.28507,1.28516,1.28422,1.2854999999999999,1.28486,1.2849599999999999,1.28501,1.2849875,1009,2020-12-22 01:00:00
27,USDCAD_i,1.28516,1.28604,1.2846199999999999,1.28639,1.285505,1.2856833333333333,1.2857725,1.2855525,1391,2020-12-22 02:00:00
28,USDCAD_i,1.28604,1.28586,1.28543,1.2863,1.285865,1.2858633333333334,1.2858625,1.2859075,1752,2020-12-22 03:00:00
29,USDCAD_i,1.28586,1.28519,1.28503,1.28593,1.28548,1.2853833333333333,1.285335,1.2855025,1212,2020-12-22 04:00:00
30,USDCAD_i,1.28519,1.2864900000000001,1.28513,1.28709,1.28611,1.2862366666666667,1.2863000000000002,1.285975,1038,2020-12-22 05:00:00
31,USDCAD_i,1.2864499999999999,1.28728,1.2864,1.28757,1.286985,1.2870833333333334,1.2871325,1.286925,817,2020-12-22 06:00:00
32,USDCAD_i,1.28726,1.28785,1.28707,1.28821,1.2876400000000001,1.28771,1.287745,1.2875975,1463,2020-12-22 07:00:00
33,USDCAD_i,1.28786,1.28858,1.2873299999999999,1.28871,1.28802,1.2882066666666667,1.2883,1.28812,1783,2020-12-22 08:00:00
34,USDCAD_i,1.28858,1.28727,1.28641,1.28879,1.2876,1.28749,1.2874349999999999,1.2877625,2678,2020-12-22 09:00:00
35,USDCAD_i,1.28724,1.2870300000000001,1.28638,1.28795,1.287165,1.28712,1.2870975,1.28715,3106,2020-12-22 10:00:00
36,USDCAD_i,1.2870300000000001,1.28849,1.2867899999999999,1.28853,1.2876599999999998,1.2879366666666665,1.2880749999999999,1.28771,3056,2020-12-22 11:00:00
37,USDCAD_i,1.28847,1.28659,1.28658,1.28871,1.287645,1.2872933333333332,1.2871175,1.2875874999999999,2639,2020-12-22 12:00:00
38,USDCAD_i,1.28659,1.2865199999999999,1.28625,1.28725,1.28675,1.2866733333333333,1.286635,1.2866525,1702,2020-12-22 13:00:00
39,USDCAD_i,1.2865199999999999,1.2862,1.28541,1.28673,1.28607,1.2861133333333334,1.286135,1.2862149999999999,1684,2020-12-22 14:00:00
40,USDCAD_i,1.2862,1.2894999999999999,1.28602,1.28956,1.28779,1.28836,1.2886449999999998,1.28782,2445,2020-12-22 15:00:00
41,USDCAD_i,1.2894999999999999,1.29085,1.28876,1.29136,1.29006,1.2903233333333333,1.290455,1.2901175,3794,2020-12-22 16:00:00
42,USDCAD_i,1.29085,1.29274,1.29001,1.29324,1.291625,1.2919966666666667,1.2921825,1.29171,4142,2020-12-22 17:00:00
