,USDRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDRUB_i,63.657,63.691,63.646,63.723,63.6845,63.68666666666667,63.68775,63.679249999999996,1439,2019-04-23 15:00:00
1,USDRUB_i,63.691,63.68,63.635,63.719,63.677,63.678,63.6785,63.68125,1758,2019-04-23 16:00:00
2,USDRUB_i,63.68,63.721,63.667,63.793,63.730000000000004,63.727000000000004,63.725500000000004,63.715250000000005,1492,2019-04-23 17:00:00
3,USDRUB_i,63.721,63.647,63.634,63.721,63.677499999999995,63.667333333333325,63.66224999999999,63.680749999999996,1073,2019-04-23 18:00:00
4,USDRUB_i,63.647,63.629,63.626,63.669,63.647499999999994,63.64133333333333,63.63824999999999,63.64274999999999,489,2019-04-23 19:00:00
5,USDRUB_i,63.629,63.616,63.611,63.641,63.626,63.62266666666667,63.620999999999995,63.624249999999996,240,2019-04-23 20:00:00
6,USDRUB_i,63.582,63.912,63.582,63.937,63.7595,63.81033333333334,63.835750000000004,63.75325,2650,2019-04-24 10:00:00
7,USDRUB_i,63.911,63.921,63.879,63.981,63.93,63.927,63.9255,63.923,1655,2019-04-24 11:00:00
8,USDRUB_i,63.921,63.926,63.876,63.936,63.906,63.91266666666667,63.916,63.91475,1212,2019-04-24 12:00:00
9,USDRUB_i,63.926,63.959,63.914,63.962,63.938,63.945,63.9485,63.940250000000006,1045,2019-04-24 13:00:00
10,USDRUB_i,63.959,63.952,63.944,64.056,64.0,63.984,63.976,63.97775,1303,2019-04-24 14:00:00
11,USDRUB_i,63.952,64.073,63.949,64.181,64.065,64.06766666666665,64.06899999999999,64.03875,2783,2019-04-24 15:00:00
12,USDRUB_i,64.073,64.134,64.058,64.154,64.106,64.11533333333334,64.12,64.10475,2605,2019-04-24 16:00:00
13,USDRUB_i,64.139,64.165,64.115,64.225,64.16999999999999,64.16833333333334,64.1675,64.161,2636,2019-04-24 17:00:00
14,USDRUB_i,64.164,64.206,64.121,64.214,64.16749999999999,64.18033333333334,64.18675,64.17625,1216,2019-04-24 18:00:00
15,USDRUB_i,64.207,64.323,64.202,64.348,64.275,64.291,64.29899999999999,64.27,734,2019-04-24 19:00:00
16,USDRUB_i,64.323,64.317,64.308,64.404,64.356,64.343,64.3365,64.338,577,2019-04-24 20:00:00
17,USDRUB_i,64.403,64.556,64.333,64.611,64.47200000000001,64.5,64.514,64.47575,3512,2019-04-25 10:00:00
18,USDRUB_i,64.556,64.619,64.551,64.739,64.64500000000001,64.63633333333334,64.632,64.61625000000001,2186,2019-04-25 11:00:00
19,USDRUB_i,64.619,64.813,64.618,64.837,64.72749999999999,64.75599999999999,64.77024999999999,64.72174999999999,1753,2019-04-25 12:00:00
20,USDRUB_i,64.813,64.714,64.683,64.819,64.751,64.73866666666667,64.7325,64.75725,1912,2019-04-25 13:00:00
21,USDRUB_i,64.714,64.776,64.705,64.785,64.745,64.75533333333334,64.76050000000001,64.745,1411,2019-04-25 14:00:00
22,USDRUB_i,64.776,64.786,64.721,64.884,64.80250000000001,64.79700000000001,64.79425,64.79175000000001,2166,2019-04-25 15:00:00
23,USDRUB_i,64.786,64.712,64.664,64.802,64.733,64.726,64.7225,64.741,2337,2019-04-25 16:00:00
24,USDRUB_i,64.714,64.586,64.584,64.772,64.678,64.64733333333334,64.632,64.664,2070,2019-04-25 17:00:00
25,USDRUB_i,64.586,64.65,64.578,64.718,64.648,64.64866666666667,64.649,64.633,1834,2019-04-25 18:00:00
26,USDRUB_i,64.652,64.665,64.609,64.689,64.649,64.65433333333334,64.65700000000001,64.65375,536,2019-04-25 19:00:00
27,USDRUB_i,64.665,64.527,64.525,64.667,64.596,64.573,64.5615,64.596,374,2019-04-25 20:00:00
28,USDRUB_i,64.556,64.604,64.55,64.644,64.59700000000001,64.59933333333333,64.6005,64.5885,2086,2019-04-26 10:00:00
29,USDRUB_i,64.604,64.616,64.543,64.634,64.58850000000001,64.59766666666667,64.60225,64.59925,1485,2019-04-26 11:00:00
30,USDRUB_i,64.616,64.692,64.598,64.74,64.669,64.67666666666666,64.6805,64.66149999999999,1682,2019-04-26 12:00:00
