,RUBRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 11:00:00
1,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 12:00:00
2,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 13:00:00
3,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 14:00:00
4,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 15:00:00
5,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 16:00:00
6,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 17:00:00
7,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 18:00:00
8,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 19:00:00
9,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 20:00:00
10,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 21:00:00
11,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 22:00:00
12,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-21 23:00:00
13,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 00:00:00
14,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 01:00:00
15,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 02:00:00
16,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 03:00:00
17,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 04:00:00
18,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 05:00:00
19,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 06:00:00
20,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 07:00:00
21,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 08:00:00
22,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 09:00:00
23,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 10:00:00
24,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 11:00:00
25,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 12:00:00
26,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 13:00:00
27,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 14:00:00
28,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 15:00:00
29,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 16:00:00
30,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 17:00:00
31,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,2020-12-22 18:00:00
