,GBPJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPJPY_i,139.387,139.446,139.297,139.459,139.378,139.40066666666667,139.412,139.39724999999999,1259,2020-12-18 23:00:00
1,GBPJPY_i,138.794,138.807,138.619,139.011,138.815,138.81233333333333,138.811,138.80775,3133,2020-12-21 00:00:00
2,GBPJPY_i,138.807,138.645,138.459,138.919,138.68900000000002,138.67433333333335,138.667,138.7075,3407,2020-12-21 01:00:00
3,GBPJPY_i,138.645,138.561,138.467,138.741,138.604,138.58966666666666,138.5825,138.6035,4704,2020-12-21 02:00:00
4,GBPJPY_i,138.561,138.143,138.017,138.579,138.298,138.24633333333335,138.22050000000002,138.32500000000002,4803,2020-12-21 03:00:00
5,GBPJPY_i,138.137,137.901,137.888,138.165,138.0265,137.98466666666667,137.96375,138.02275,3683,2020-12-21 04:00:00
6,GBPJPY_i,137.902,138.016,137.842,138.086,137.964,137.9813333333333,137.98999999999998,137.9615,3349,2020-12-21 05:00:00
7,GBPJPY_i,138.015,138.128,137.947,138.225,138.086,138.1,138.107,138.07875,1771,2020-12-21 06:00:00
8,GBPJPY_i,138.128,138.269,138.011,138.269,138.14,138.183,138.2045,138.16924999999998,2237,2020-12-21 07:00:00
9,GBPJPY_i,138.269,138.17,138.006,138.27,138.138,138.14866666666668,138.154,138.17875,2125,2020-12-21 08:00:00
10,GBPJPY_i,138.177,137.602,137.375,138.179,137.777,137.71866666666665,137.68949999999998,137.83325,5194,2020-12-21 09:00:00
11,GBPJPY_i,137.6,137.359,137.302,137.729,137.5155,137.46333333333334,137.43725,137.4975,6065,2020-12-21 10:00:00
12,GBPJPY_i,137.358,137.117,137.012,137.459,137.2355,137.196,137.17624999999998,137.23649999999998,4823,2020-12-21 11:00:00
13,GBPJPY_i,137.118,137.396,136.939,137.469,137.204,137.268,137.29999999999998,137.2305,7086,2020-12-21 12:00:00
14,GBPJPY_i,137.397,137.613,137.314,137.724,137.519,137.55033333333333,137.566,137.512,5696,2020-12-21 13:00:00
15,GBPJPY_i,137.613,137.55,137.457,137.746,137.6015,137.58433333333332,137.57575,137.5915,4656,2020-12-21 14:00:00
16,GBPJPY_i,137.55,137.838,137.502,137.882,137.692,137.74066666666667,137.765,137.69299999999998,5297,2020-12-21 15:00:00
17,GBPJPY_i,137.836,137.735,137.703,137.945,137.824,137.79433333333336,137.7795,137.80475,4762,2020-12-21 16:00:00
18,GBPJPY_i,137.737,137.756,137.583,137.875,137.72899999999998,137.73799999999997,137.74249999999998,137.73774999999998,5125,2020-12-21 17:00:00
19,GBPJPY_i,137.76,138.09,137.757,138.171,137.964,138.006,138.02700000000002,137.9445,4005,2020-12-21 18:00:00
20,GBPJPY_i,138.091,138.06,137.871,138.19,138.03050000000002,138.04033333333334,138.04525,138.053,3851,2020-12-21 19:00:00
21,GBPJPY_i,138.058,138.165,138.057,138.215,138.136,138.14566666666667,138.1505,138.12375,2960,2020-12-21 20:00:00
22,GBPJPY_i,138.165,139.066,138.132,139.5,138.816,138.89933333333332,138.941,138.71574999999999,5146,2020-12-21 21:00:00
23,GBPJPY_i,139.073,138.989,138.945,139.306,139.1255,139.08,139.05725,139.07825,3400,2020-12-21 22:00:00
24,GBPJPY_i,138.985,139.046,138.743,139.094,138.9185,138.96099999999998,138.98225,138.96699999999998,2319,2020-12-21 23:00:00
25,GBPJPY_i,139.097,138.909,138.814,139.116,138.965,138.94633333333334,138.937,138.984,1434,2020-12-22 00:00:00
26,GBPJPY_i,138.909,138.931,138.867,139.133,139.0,138.977,138.96550000000002,138.96,1341,2020-12-22 01:00:00
27,GBPJPY_i,138.933,138.657,138.576,139.022,138.79899999999998,138.75166666666667,138.728,138.797,2495,2020-12-22 02:00:00
28,GBPJPY_i,138.658,138.654,138.6,138.763,138.6815,138.67233333333334,138.66775,138.66875,2679,2020-12-22 03:00:00
29,GBPJPY_i,138.654,138.695,138.627,138.733,138.68,138.685,138.6875,138.67725000000002,2384,2020-12-22 04:00:00
30,GBPJPY_i,138.695,138.665,138.621,138.725,138.673,138.67033333333333,138.66899999999998,138.67649999999998,2084,2020-12-22 05:00:00
31,GBPJPY_i,138.665,138.477,138.423,138.68,138.5515,138.52666666666667,138.51425,138.56125,2630,2020-12-22 06:00:00
32,GBPJPY_i,138.476,138.493,138.392,138.547,138.46949999999998,138.47733333333332,138.48125,138.47699999999998,2407,2020-12-22 07:00:00
33,GBPJPY_i,138.494,138.495,138.43,138.729,138.5795,138.55133333333333,138.53725,138.537,2592,2020-12-22 08:00:00
34,GBPJPY_i,138.495,138.909,138.495,139.1,138.7975,138.83466666666666,138.85325,138.74975,3837,2020-12-22 09:00:00
35,GBPJPY_i,138.906,138.85,138.712,139.011,138.86149999999998,138.85766666666666,138.85575,138.86975,4536,2020-12-22 10:00:00
36,GBPJPY_i,138.851,138.639,138.613,139.029,138.821,138.76033333333334,138.73000000000002,138.78300000000002,4099,2020-12-22 11:00:00
37,GBPJPY_i,138.641,138.945,138.157,138.985,138.57100000000003,138.69566666666668,138.758,138.68200000000002,5081,2020-12-22 12:00:00
38,GBPJPY_i,138.943,138.614,138.555,138.945,138.75,138.70466666666667,138.68200000000002,138.76425,3238,2020-12-22 13:00:00
39,GBPJPY_i,138.615,138.666,138.524,138.802,138.663,138.66400000000002,138.6645,138.65175,3580,2020-12-22 14:00:00
40,GBPJPY_i,138.661,138.679,138.567,138.849,138.708,138.69833333333335,138.6935,138.68900000000002,3495,2020-12-22 15:00:00
41,GBPJPY_i,138.679,138.272,138.203,138.75,138.4765,138.40833333333333,138.37425,138.476,5026,2020-12-22 16:00:00
42,GBPJPY_i,138.27,138.102,138.023,138.473,138.248,138.19933333333333,138.17499999999998,138.21699999999998,5880,2020-12-22 17:00:00
43,GBPJPY_i,138.104,138.288,137.977,138.389,138.183,138.218,138.2355,138.1895,5969,2020-12-22 18:00:00
44,GBPJPY_i,138.288,138.416,138.268,138.517,138.39249999999998,138.40033333333332,138.40425,138.37225,3147,2020-12-22 19:00:00
45,GBPJPY_i,138.416,138.384,138.321,138.498,138.40949999999998,138.40099999999998,138.39675,138.40474999999998,2040,2020-12-22 20:00:00
46,GBPJPY_i,138.384,138.409,138.349,138.475,138.41199999999998,138.41099999999997,138.41049999999998,138.40425,2015,2020-12-22 21:00:00
47,GBPJPY_i,138.409,138.51,138.308,138.526,138.417,138.448,138.4635,138.43824999999998,3206,2020-12-22 22:00:00
48,GBPJPY_i,138.51,138.451,138.372,138.584,138.478,138.46900000000002,138.46450000000002,138.47925,2618,2020-12-22 23:00:00
49,GBPJPY_i,138.363,138.421,138.339,138.541,138.44,138.43366666666665,138.4305,138.416,1102,2020-12-23 00:00:00
50,GBPJPY_i,138.421,138.694,138.408,138.707,138.5575,138.60299999999998,138.62574999999998,138.5575,1210,2020-12-23 01:00:00
51,GBPJPY_i,138.694,138.549,138.526,138.696,138.611,138.59033333333332,138.57999999999998,138.61624999999998,2661,2020-12-23 02:00:00
52,GBPJPY_i,138.55,138.62,138.51,138.691,138.6005,138.607,138.61025,138.59275000000002,2985,2020-12-23 03:00:00
53,GBPJPY_i,138.619,138.617,138.537,138.702,138.61950000000002,138.61866666666666,138.61825,138.61875,2725,2020-12-23 04:00:00
54,GBPJPY_i,138.617,138.721,138.579,138.766,138.6725,138.68866666666668,138.69675,138.67075,2522,2020-12-23 05:00:00
55,GBPJPY_i,138.721,138.608,138.568,138.75,138.659,138.642,138.6335,138.66174999999998,2342,2020-12-23 06:00:00
56,GBPJPY_i,138.607,138.597,138.564,138.66,138.612,138.607,138.6045,138.607,1352,2020-12-23 07:00:00
57,GBPJPY_i,138.598,138.773,138.598,138.799,138.69850000000002,138.72333333333336,138.73575000000002,138.692,1406,2020-12-23 08:00:00
58,GBPJPY_i,138.772,138.883,138.737,138.952,138.84449999999998,138.85733333333334,138.86375,138.836,2868,2020-12-23 09:00:00
