,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,HSI50_i,28471.5,28475.0,28420.0,28480.0,28450.0,28458.333333333332,28462.5,28461.625,8975,2019-06-21 10:00:00
1,HSI50_i,28476.0,28471.0,28461.5,28520.0,28490.75,28484.166666666668,28480.875,28482.125,6590,2019-06-21 11:00:00
2,HSI50_i,28470.0,28456.0,28441.0,28534.0,28487.5,28477.0,28471.75,28475.25,7110,2019-06-21 12:00:00
3,HSI50_i,28456.5,28474.0,28436.0,28486.0,28461.0,28465.333333333332,28467.5,28463.125,5675,2019-06-21 13:00:00
4,HSI50_i,28475.0,28476.0,28441.5,28495.0,28468.25,28470.833333333332,28472.125,28471.875,5700,2019-06-21 14:00:00
5,HSI50_i,28476.0,28476.5,28456.5,28498.0,28477.25,28477.0,28476.875,28476.75,5675,2019-06-21 15:00:00
6,HSI50_i,28475.0,28460.0,28432.0,28479.0,28455.5,28457.0,28457.75,28461.5,7735,2019-06-21 16:00:00
7,HSI50_i,28461.0,28491.5,28435.0,28505.0,28470.0,28477.166666666668,28480.75,28473.125,8210,2019-06-21 17:00:00
8,HSI50_i,28492.0,28485.0,28477.0,28558.0,28517.5,28506.666666666668,28501.25,28503.0,8730,2019-06-21 18:00:00
9,HSI50_i,28484.5,28468.5,28446.5,28491.0,28468.75,28468.666666666668,28468.625,28472.625,2500,2019-06-21 19:00:00
10,HSI50_i,28498.5,28506.5,28486.5,28557.5,28522.0,28516.833333333332,28514.25,28512.25,5590,2019-06-24 04:00:00
11,HSI50_i,28507.5,28641.0,28494.5,28675.5,28585.0,28603.666666666668,28613.0,28579.625,16285,2019-06-24 05:00:00
12,HSI50_i,28641.0,28552.0,28506.5,28646.0,28576.25,28568.166666666668,28564.125,28586.375,11405,2019-06-24 06:00:00
13,HSI50_i,28551.5,28532.5,28519.0,28568.0,28543.5,28539.833333333332,28538.0,28542.75,4448,2019-06-24 07:00:00
14,HSI50_i,28531.5,28463.5,28458.5,28546.5,28502.5,28489.5,28483.0,28500.0,10555,2019-06-24 08:00:00
15,HSI50_i,28464.5,28498.5,28455.5,28514.5,28485.0,28489.5,28491.75,28483.25,7185,2019-06-24 09:00:00
16,HSI50_i,28499.5,28502.5,28495.5,28541.5,28518.5,28513.166666666668,28510.5,28509.75,6770,2019-06-24 10:00:00
17,HSI50_i,28502.5,28485.5,28464.5,28526.5,28495.5,28492.166666666668,28490.5,28494.75,5290,2019-06-24 11:00:00
18,HSI50_i,28484.5,28509.5,28476.5,28516.5,28496.5,28500.833333333332,28503.0,28496.75,4570,2019-06-24 12:00:00
19,HSI50_i,28510.5,28483.5,28476.5,28517.5,28497.0,28492.5,28490.25,28497.0,3330,2019-06-24 13:00:00
20,HSI50_i,28484.5,28500.5,28470.5,28503.5,28487.0,28491.5,28493.75,28489.75,3350,2019-06-24 14:00:00
21,HSI50_i,28500.5,28514.5,28492.5,28519.5,28506.0,28508.833333333332,28510.25,28506.75,3080,2019-06-24 15:00:00
22,HSI50_i,28514.5,28494.5,28487.5,28526.5,28507.0,28502.833333333332,28500.75,28505.75,6765,2019-06-24 16:00:00
23,HSI50_i,28495.5,28523.0,28492.5,28547.5,28520.0,28521.0,28521.5,28514.625,6695,2019-06-24 17:00:00
24,HSI50_i,28521.5,28508.5,28505.5,28544.5,28525.0,28519.5,28516.75,28520.0,4880,2019-06-24 18:00:00
25,HSI50_i,28508.5,28512.5,28496.5,28521.5,28509.0,28510.166666666668,28510.75,28509.75,2350,2019-06-24 19:00:00
26,HSI50_i,28397.5,28343.5,28339.5,28441.5,28390.5,28374.833333333332,28367.0,28380.5,4435,2019-06-25 04:00:00
