,EURAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURAUD_i,1.60702,1.60761,1.60689,1.60793,1.60741,1.6074766666666667,1.60751,1.6073624999999998,1616,2020-12-18 23:00:00
1,EURAUD_i,1.6103100000000001,1.60812,1.60748,1.6105800000000001,1.6090300000000002,1.6087266666666669,1.608575,1.6091225000000002,1054,2020-12-21 00:00:00
2,EURAUD_i,1.6082800000000002,1.60928,1.6067,1.6101999999999999,1.60845,1.6087266666666666,1.608865,1.608615,3102,2020-12-21 01:00:00
3,EURAUD_i,1.60931,1.60929,1.60778,1.60958,1.60868,1.6088833333333337,1.608985,1.6089900000000001,3523,2020-12-21 02:00:00
4,EURAUD_i,1.60929,1.6087799999999999,1.60752,1.60992,1.60872,1.6087399999999998,1.6087499999999997,1.6088774999999997,3116,2020-12-21 03:00:00
5,EURAUD_i,1.6087799999999999,1.61029,1.60793,1.6104699999999998,1.6092,1.6095633333333332,1.609745,1.6093674999999998,3895,2020-12-21 04:00:00
6,EURAUD_i,1.61029,1.60904,1.60886,1.61029,1.609575,1.6093966666666668,1.6093075000000001,1.60962,1936,2020-12-21 05:00:00
7,EURAUD_i,1.60904,1.61036,1.60866,1.61076,1.60971,1.6099266666666665,1.6100349999999999,1.609705,1714,2020-12-21 06:00:00
8,EURAUD_i,1.61036,1.6115599999999999,1.60974,1.6122100000000001,1.610975,1.6111700000000002,1.6112675,1.6109675,2648,2020-12-21 07:00:00
9,EURAUD_i,1.6115599999999999,1.61301,1.6105399999999999,1.61307,1.611805,1.6122066666666666,1.6124075,1.612045,2700,2020-12-21 08:00:00
10,EURAUD_i,1.61307,1.6173600000000001,1.61265,1.61814,1.615395,1.6160500000000002,1.6163775,1.6153050000000002,3939,2020-12-21 09:00:00
11,EURAUD_i,1.61734,1.61981,1.61728,1.62058,1.61893,1.6192233333333332,1.61937,1.6187524999999998,5309,2020-12-21 10:00:00
