,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,BTCUSD_i,57561.0,57548.0,57417.0,57775.0,57596.0,57580.0,57572.0,57575.25,34270,2021-03-22 06:00:00
1,BTCUSD_i,57555.0,57585.0,57276.0,57722.0,57499.0,57527.666666666664,57542.0,57534.5,27790,2021-03-22 07:00:00
2,BTCUSD_i,57585.0,57660.0,57585.0,57849.0,57717.0,57698.0,57688.5,57669.75,31130,2021-03-22 08:00:00
3,BTCUSD_i,57659.0,57551.0,57531.0,57797.0,57664.0,57626.333333333336,57607.5,57634.5,34680,2021-03-22 09:00:00
4,BTCUSD_i,57551.0,57206.0,57087.0,57671.0,57379.0,57321.333333333336,57292.5,57378.75,40790,2021-03-22 10:00:00
5,BTCUSD_i,57170.0,57372.0,57049.0,57401.0,57225.0,57274.0,57298.5,57248.0,35310,2021-03-22 11:00:00
6,BTCUSD_i,57373.0,57949.0,57332.0,58455.0,57893.5,57912.0,57921.25,57777.25,55750,2021-03-22 12:00:00
7,BTCUSD_i,57951.0,57779.0,57639.0,58187.0,57913.0,57868.333333333336,57846.0,57889.0,43170,2021-03-22 13:00:00
8,BTCUSD_i,57779.0,57290.0,56948.0,57788.0,57368.0,57342.0,57329.0,57451.25,55510,2021-03-22 14:00:00
9,BTCUSD_i,57280.0,56989.0,56599.0,57447.0,57023.0,57011.666666666664,57006.0,57078.75,64940,2021-03-22 15:00:00
10,BTCUSD_i,56989.0,57011.0,56750.0,57268.0,57009.0,57009.666666666664,57010.0,57004.5,51690,2021-03-22 16:00:00
11,BTCUSD_i,57012.0,57107.0,56898.0,57225.0,57061.5,57076.666666666664,57084.25,57060.5,40680,2021-03-22 17:00:00
12,BTCUSD_i,57108.0,56739.0,56221.0,57222.0,56721.5,56727.333333333336,56730.25,56822.5,65580,2021-03-22 18:00:00
13,BTCUSD_i,56739.0,57099.0,56560.0,57168.0,56864.0,56942.333333333336,56981.5,56891.5,36940,2021-03-22 19:00:00
14,BTCUSD_i,57061.0,56499.0,56419.0,57155.0,56787.0,56691.0,56643.0,56783.5,52110,2021-03-22 20:00:00
15,BTCUSD_i,56499.0,55556.0,55552.0,56537.0,56044.5,55881.666666666664,55800.25,56036.0,74300,2021-03-22 21:00:00
16,BTCUSD_i,55556.0,54522.0,54149.0,55996.0,55072.5,54889.0,54797.25,55055.75,110380,2021-03-22 22:00:00
17,BTCUSD_i,54560.0,54627.0,53699.0,54660.0,54179.5,54328.666666666664,54403.25,54386.5,105782,2021-03-23 00:00:00
18,BTCUSD_i,54639.0,54069.0,54067.0,54864.0,54465.5,54333.333333333336,54267.25,54409.75,69000,2021-03-23 01:00:00
19,BTCUSD_i,54067.0,54682.0,53777.0,54745.0,54261.0,54401.333333333336,54471.5,54317.75,77580,2021-03-23 02:00:00
20,BTCUSD_i,54679.0,55113.0,54518.0,55286.0,54902.0,54972.333333333336,55007.5,54899.0,59530,2021-03-23 03:00:00
21,BTCUSD_i,55112.0,54538.0,54433.0,55148.0,54790.5,54706.333333333336,54664.25,54807.75,54930,2021-03-23 04:00:00
22,BTCUSD_i,54538.0,54641.0,54358.0,54702.0,54530.0,54567.0,54585.5,54559.75,44870,2021-03-23 05:00:00
23,BTCUSD_i,54652.0,54353.0,53994.0,54731.0,54362.5,54359.333333333336,54357.75,54432.5,47490,2021-03-23 06:00:00
24,BTCUSD_i,54355.0,53523.0,53154.0,54387.0,53770.5,53688.0,53646.75,53854.75,90820,2021-03-23 07:00:00
25,BTCUSD_i,53522.0,53249.0,52818.0,53708.0,53263.0,53258.333333333336,53256.0,53324.25,86220,2021-03-23 08:00:00
26,BTCUSD_i,53249.0,54130.0,53249.0,54218.0,53733.5,53865.666666666664,53931.75,53711.5,50440,2021-03-23 09:00:00
27,BTCUSD_i,54134.0,54283.0,53758.0,54426.0,54092.0,54155.666666666664,54187.5,54150.25,52310,2021-03-23 10:00:00
28,BTCUSD_i,54283.0,54564.0,54185.0,54630.0,54407.5,54459.666666666664,54485.75,54415.5,41370,2021-03-23 11:00:00
29,BTCUSD_i,54564.0,54660.0,54424.0,54785.0,54604.5,54623.0,54632.25,54608.25,40750,2021-03-23 12:00:00
30,BTCUSD_i,54660.0,54225.0,54087.0,54787.0,54437.0,54366.333333333336,54331.0,54439.75,46780,2021-03-23 13:00:00
31,BTCUSD_i,54225.0,55081.0,54219.0,55217.0,54718.0,54839.0,54899.5,54685.5,65040,2021-03-23 14:00:00
32,BTCUSD_i,55123.0,55238.0,55045.0,55442.0,55243.5,55241.666666666664,55240.75,55212.0,51610,2021-03-23 15:00:00
33,BTCUSD_i,55248.0,55171.0,54733.0,55353.0,55043.0,55085.666666666664,55107.0,55126.25,55730,2021-03-23 16:00:00
34,BTCUSD_i,55171.0,55185.0,55003.0,55348.0,55175.5,55178.666666666664,55180.25,55176.75,40180,2021-03-23 17:00:00
35,BTCUSD_i,55185.0,55580.0,54899.0,55800.0,55349.5,55426.333333333336,55464.75,55366.0,55480,2021-03-23 18:00:00
36,BTCUSD_i,55580.0,55735.0,55469.0,55798.0,55633.5,55667.333333333336,55684.25,55645.5,33520,2021-03-23 19:00:00
37,BTCUSD_i,55742.0,55386.0,55367.0,55820.0,55593.5,55524.333333333336,55489.75,55578.75,31840,2021-03-23 20:00:00
38,BTCUSD_i,55371.0,55022.0,54842.0,55532.0,55187.0,55132.0,55104.5,55191.75,55870,2021-03-23 21:00:00
39,BTCUSD_i,55022.0,54447.0,54354.0,55081.0,54717.5,54627.333333333336,54582.25,54726.0,55220,2021-03-23 22:00:00
40,BTCUSD_i,54659.0,54373.0,54351.0,54868.0,54609.5,54530.666666666664,54491.25,54562.75,56820,2021-03-24 00:00:00
41,BTCUSD_i,54373.0,54338.0,54324.0,54787.0,54555.5,54483.0,54446.75,54455.5,48320,2021-03-24 01:00:00
42,BTCUSD_i,54335.0,53810.0,53653.0,54666.0,54159.5,54043.0,53984.75,54116.0,79230,2021-03-24 02:00:00
43,BTCUSD_i,53810.0,54518.0,53588.0,54597.0,54092.5,54234.333333333336,54305.25,54128.25,50290,2021-03-24 03:00:00
44,BTCUSD_i,54518.0,54485.0,54411.0,54678.0,54544.5,54524.666666666664,54514.75,54523.0,32980,2021-03-24 04:00:00
45,BTCUSD_i,54485.0,54398.0,54123.0,54799.0,54461.0,54440.0,54429.5,54451.25,39020,2021-03-24 05:00:00
46,BTCUSD_i,54398.0,54177.0,54056.0,54615.0,54335.5,54282.666666666664,54256.25,54311.5,42890,2021-03-24 06:00:00
47,BTCUSD_i,54177.0,54168.0,53860.0,54343.0,54101.5,54123.666666666664,54134.75,54137.0,46480,2021-03-24 07:00:00
48,BTCUSD_i,54168.0,54735.0,53774.0,55052.0,54413.0,54520.333333333336,54574.0,54432.25,72090,2021-03-24 08:00:00
49,BTCUSD_i,54735.0,55551.0,54709.0,55673.0,55191.0,55311.0,55371.0,55167.0,77690,2021-03-24 09:00:00
50,BTCUSD_i,55560.0,56369.0,55549.0,56395.0,55972.0,56104.333333333336,56170.5,55968.25,60640,2021-03-24 10:00:00
51,BTCUSD_i,56369.0,56468.0,56369.0,56703.0,56536.0,56513.333333333336,56502.0,56477.25,45310,2021-03-24 11:00:00
52,BTCUSD_i,56468.0,56503.0,56056.0,56620.0,56338.0,56393.0,56420.5,56411.75,50990,2021-03-24 12:00:00
53,BTCUSD_i,56505.0,56609.0,56318.0,56633.0,56475.5,56520.0,56542.25,56516.25,33290,2021-03-24 13:00:00
54,BTCUSD_i,56607.0,56918.0,56593.0,57033.0,56813.0,56848.0,56865.5,56787.75,43400,2021-03-24 14:00:00
55,BTCUSD_i,56912.0,56775.0,56415.0,57199.0,56807.0,56796.333333333336,56791.0,56825.25,58500,2021-03-24 15:00:00
56,BTCUSD_i,56775.0,56530.0,56465.0,56911.0,56688.0,56635.333333333336,56609.0,56670.25,37110,2021-03-24 16:00:00
57,BTCUSD_i,56530.0,56315.0,56079.0,56637.0,56358.0,56343.666666666664,56336.5,56390.25,38870,2021-03-24 17:00:00
58,BTCUSD_i,56315.0,55841.0,55841.0,56436.0,56138.5,56039.333333333336,55989.75,56108.25,52650,2021-03-24 18:00:00
