,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
128,open,47,175,44,macd,43,32,5,4,0.09,2464,386,14,20,618,44,82,977,53,42,829,3,96,580,916,773,289,88,981,717,487,395,620,510,571,144,565,90,948,542,103,225,537,16,69,31,73,13,12,403,6,6,0.08,0.17,0.38,0.72,0.69,0.91,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,16.15579181,TRUE,FALSE,0.123404776,0.053819523,0.054053466
129,close,20,80,21,macdh,52,100,5,6,0.33,1800,220,57,16,240,27,93,896,76,75,339,2,32,504,922,567,263,193,655,242,164,152,212,492,130,497,871,282,183,341,31,238,597,5,318,14,66,111,5,430,5,6,0.08,0.1,0.56,0.63,0.79,0.85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,14.09533207,TRUE,FALSE,0.214849074,0.122179552,0.130921279
130,low,117,292,24,macdh,48,66,3,15,0.37,2937,788,37,13,6,98,26,143,53,94,928,98,42,15,476,417,286,137,763,437,102,72,182,404,409,247,978,786,499,367,46,279,64,8,981,20,106,203,12,405,22,12,0.28,0.32,0.33,0.75,0.71,0.98,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,30.77061045,TRUE,FALSE,0.012192018,0.001226256,0.003469254
131,close,21,271,42,macds,3,40,3,10,0.06,1702,624,63,91,78,42,100,257,59,40,350,73,78,275,693,494,378,226,429,309,352,333,661,839,130,214,682,741,430,670,46,149,403,12,258,22,79,53,10,824,12,8,0.08,0.37,0.967239291,0.97953167,0.319535048,0.401149134,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,31.6227766,TRUE,FALSE,0.220120905,0.180663515,0.184486009
132,low,60,310,31,macd,60,33,3,8,0.35,1651,705,74,6,375,93,78,791,3,64,414,41,8,52,779,435,277,268,437,370,257,189,225,932,61,462,459,367,166,320,20,297,346,5,515,46,58,110,2,517,25,14,0.32,0.16,0.58,0.92,0.87,0.87,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.946661281,TRUE,FALSE,0.237809425,0.195859646,0.196188787
133,low,49,174,37,macdh,58,99,4,2,0.12,2481,800,29,72,2,100,90,410,28,63,104,48,6,932,849,636,388,293,834,831,397,50,343,150,989,777,351,725,327,577,21,300,89,8,678,43,54,112,12,263,8,24,0.27,0.28,0.47,0.62,0.88,0.98,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,26.98546602,TRUE,FALSE,0.162920498,0.093782572,0.097280705
134,HLCC/4,87,146,38,macds,18,86,4,11,0.27,1912,546,21,65,951,40,84,891,93,80,950,97,66,333,577,574,114,89,609,177,447,388,963,40,318,718,235,435,97,866,77,238,202,20,174,40,89,65,20,428,15,20,0.09,0.4,0.8,0.8,0.86,0.84,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,17.87103439,TRUE,FALSE,0.027291199,0.009151883,0.007403484
135,high,54,167,29,macds,10,87,6,3,0.14,1999,345,90,46,660,18,88,344,97,37,392,38,25,389,161,531,451,12,748,452,236,95,94,453,443,269,862,43,28,453,93,117,172,13,478,17,36,46,13,290,11,15,0.16,0.16,0.32,0.52,0.68,0.89,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,16.15050472,TRUE,FALSE,-0.081996004,-0.0346743,-0.035331156
136,HLC/3,114,182,41,macdh,28,8,6,18,0.09,2475,646,31,18,887,51,29,359,53,38,380,57,68,219,592,586,494,246,839,479,334,196,286,975,186,935,362,576,492,908,95,180,513,6,437,40,77,83,16,348,9,24,0.34,0.34,0.83,0.81,0.9,0.96,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.452057996,TRUE,FALSE,-0.069804656,-0.013359655,-0.012480379
137,OHLC/4,78,259,7,macds,85,2,4,17,0.03,1296,985,79,42,471,70,51,239,8,12,982,47,72,483,735,459,236,129,890,861,81,21,314,597,128,805,862,972,866,756,102,238,296,9,391,6,103,73,7,895,9,6,0.28,0.13,0.66,0.82,0.94,0.83,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10.50018502,TRUE,FALSE,0.300744185,0.173462644,0.174626206
