,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,mean_tp_min_max,mean_st_min_max,max_tp_min_max,max_st_min_max,sum_st_min_max,sum_tp_min_max,num_tp_min_max,num_st_min_max,num_trade_min_max,ramp_low_upper_min_max,ramp_low_lower_min_max,ramp_high_upper_min_max,ramp_high_lower_min_max,diff_min_max_cci_upper_min_max,diff_min_max_cci_lower_min_max,diff_min_max_candle_upper_min_max,diff_min_max_candle_lower_min_max,score_min_max,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,ramp_low_upper_pr,ramp_low_lower_pr,ramp_high_upper_pr,ramp_high_lower_pr,diff_min_max_cci_upper_pr,diff_min_max_cci_lower_pr,diff_min_max_candle_upper_pr,diff_min_max_candle_lower_pr,diff_top_upper_pr,diff_top_lower_pr,diff_down_upper_pr,diff_down_lower_pr,score_pr,methode,high_period,low_period,distance_lines,min_tp,max_st,alfa,signal,permit
0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,51.364761050449566,50.24123089488102,35.89106990981097,35.19956761213266,-257.92795766263885,-265.60338236126233,0.146653680839562,0.1451377137075779,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,min_max,50.0,25.0,2.0,0.1,0.2,0.02,"buy,sell",True
1,1,1,1,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,min_max,100.0,50.0,4.0,0.2,0.1,0.2,"buy,sell",True
2,2,2,2,2,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,min_max,18.0,16.0,6.0,0.6,0.15,0.149,"buy,sell",True
