,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,high,571,935,31,macds,183,22,6,37,0.15,1771,795,70,163,161,162,142,754,167,44,128,170,179,114,784,574,441,247,806,889,200,194,779,593,242,284,680,616,657,71,229,346,596,5,302,25,49,133,41,926,25,8,0.5,0.53,9.281685889738936,19.089911164902457,9.499906005408064,17.30104883481245,False,True,True,False,True,True,False,False,True,False,True,False,False,True,True,True,True,22.838846818856,True,False
11,open,171,1468,12,macds,214,13,5,2,0.3,1992,259,16,32,418,4,73,422,60,57,279,247,19,671,983,417,325,141,863,557,344,190,373,318,557,813,709,453,62,289,57,793,648,44,771,33,110,96,36,309,17,7,0.79,0.13,2.73,8.77,12.36,17.41,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,26.10709360862444,True,False
12,OHLC/4,242,643,37,macds,108,37,3,37,0.53,172,668,214,91,909,229,30,911,66,104,951,22,187,520,972,220,396,187,698,440,250,167,161,663,136,313,932,701,1000,922,368,688,171,33,961,40,68,180,28,375,6,4,0.87,0.97,10.85860932591973,18.325986182840243,10.920368161914292,22.18460992417697,False,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,24.712544742872183,True,False
13,HLCC/4,75,831,41,macd,154,224,4,14,0.46,1878,234,130,58,26,220,216,242,27,180,100,48,93,132,673,522,463,157,912,563,449,26,287,28,531,407,81,215,398,236,138,257,171,31,828,29,90,200,1,45,3,14,0.39,0.05,-2.33,20.58,4.47,20.2,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,26.00667578975404,True,False
14,open,581,911,34,macds,148,146,2,40,0.97,2863,371,138,227,111,210,87,351,186,93,256,116,150,376,601,487,136,34,764,998,442,253,959,330,782,850,964,304,320,935,205,728,1226,22,149,8,61,127,44,969,38,7,0.39,0.05,9.204583527850696,23.49064317973696,12.116161755642986,22.7968159446756,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,True,29.05808675671161,True,False
15,HLCC/4,350,1307,29,macdh,77,11,3,40,0.12,468,798,246,234,795,74,146,577,203,156,333,239,190,675,248,970,449,207,535,320,471,451,26,62,633,368,758,665,792,654,352,975,67,24,401,33,56,59,22,332,13,4,0.73,0.74,-4.39,16.53,-0.74,18.21,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,19.017598139798064,True,False
16,low,696,1006,47,macdh,36,241,7,5,0.62,2565,751,7,124,946,128,139,505,130,129,106,215,110,302,837,649,476,37,557,499,262,7,744,111,252,532,397,487,348,160,337,1003,435,31,299,40,70,64,34,293,15,2,0.11,0.73,0.83,0.8,0.92,0.95,True,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,51.21812551864971,True,False
17,low,115,585,10,macd,203,168,2,35,0.44,2570,189,186,24,464,160,83,792,119,140,148,87,103,94,837,738,331,181,727,374,306,142,176,524,473,975,348,50,567,735,173,1122,906,14,559,2,61,136,27,216,50,8,0.94,0.37,7.1438081398730775,23.61828159095308,13.821008851556089,20.04852482624796,True,True,False,True,False,True,True,False,True,False,False,False,False,True,True,True,True,29.78221650087409,True,False
18,HL/2,782,953,43,macd,220,208,5,7,0.92,1914,437,154,154,609,131,198,435,214,45,300,189,89,224,734,562,296,67,268,22,219,154,404,454,395,974,158,442,686,493,450,713,1702,9,887,30,66,93,16,195,14,5,0.27,0.73,6.043209424733565,6.043209424733565,16.45589128262124,16.45589128262124,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,31.62277660168379,True,False
19,open,81,1066,36,macdh,39,24,6,20,0.99,2650,810,218,212,473,213,220,361,25,132,302,28,174,87,629,358,368,102,590,511,279,255,955,866,71,607,898,955,638,311,372,1059,1684,21,842,12,71,135,24,400,3,14,0.55,0.81,0.83,0.83,0.98,0.94,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,35.70673619595012,True,False
20,OHLC/4,601,954,21,macdh,23,203,4,25,0.76,486,858,165,112,488,132,192,246,208,31,659,7,241,912,841,422,207,113,821,185,96,82,581,4,357,378,197,274,240,210,61,155,402,31,42,26,85,52,24,930,22,2,0.12,0.72,7.819160083799641,18.47648611290997,13.091843051078904,17.811478433339477,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,19.091150453087337,True,False
