,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
45,high,17,139,32,macdh,224,343,6,14,0.01,2197,396,146,36,243,263,224,476,40,193,54,187,136,225,780,688,478,403,809,802,274,270,911,685,356,420,596,925,69,196,21,31,75,18,874,3,8,46,6,327,8,14,0.17,0.02,0.45,0.66,0.79,0.94,True,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,25.35569007755393,True,False,-0.2839560595662321,-0.2794468928436676,-0.2844864918430987
46,low,171,310,28,macdh,390,235,3,8,0.27,811,900,219,258,679,358,156,856,85,208,338,211,197,787,920,721,443,329,880,673,429,337,498,808,450,974,516,720,974,374,30,51,17,3,898,7,21,66,14,385,18,21,0.21,0.33,0.18,0.35,0.5,0.74,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,True,19.90864678519437,True,False,-0.245414288546205,-0.3666208652975021,-0.3733005247905204
47,close,130,304,46,macds,310,369,5,3,0.35,989,356,267,259,195,336,38,730,18,337,901,371,253,826,688,643,469,309,991,638,274,256,503,322,632,827,370,191,482,581,17,21,12,17,657,10,12,52,9,11,11,22,0.21,0.3,0.42,0.91,0.92,0.8,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,False,True,5.42823096951597,True,False,-0.2024012690576981,-0.288420650859525,-0.276426708031348
48,close,29,471,20,macdh,298,198,5,9,0.18,1191,800,122,243,438,291,117,371,365,154,227,260,241,41,911,651,405,358,818,700,498,445,888,733,530,907,476,362,801,14,4,20,56,13,424,13,51,89,17,97,15,21,0.28,0.18,0.15,0.35,0.49,0.72,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,14.817352697975872,True,False,-0.3257364055359246,-0.4360352133459395,-0.4453047556952393
49,HLCC/4,77,391,6,macdh,313,223,5,17,0.2,1585,493,110,112,370,162,379,373,89,199,332,83,365,162,902,549,499,302,908,750,359,250,641,94,384,397,318,255,533,95,12,37,101,9,5,5,19,54,1,102,12,20,0.34,0.1,0.09,0.14,0.31,0.39,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,24.49985955781701,True,False,-0.2961487974241952,-0.3981924795709694,-0.4076776323970312
50,HLCC/4,21,183,33,macdh,392,245,2,20,0.22,1602,232,203,361,928,75,310,160,222,229,398,170,36,986,864,566,435,351,591,551,318,276,363,574,605,31,760,473,261,585,22,49,3,19,234,4,9,51,4,157,6,8,0.07,0.32,0.18,0.35,0.5,0.74,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,11.8805685403189,True,False,-0.2700148366135566,-0.5111812296968885,-0.5204227417772311
51,high,66,428,13,macdh,294,68,2,19,0.2,2270,675,74,217,430,47,286,378,248,377,344,128,140,68,921,824,483,270,689,534,377,285,92,904,913,675,726,881,490,633,5,21,47,19,939,10,17,61,18,514,7,11,0.32,0.05,0.11,0.18,0.3,0.4,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,22.63933740839156,True,False,-0.2462922984130452,-0.4176073568874661,-0.4258974775152799
52,HLC/3,206,336,16,macdh,123,35,3,19,0.05,1433,835,54,254,15,136,397,695,132,370,357,215,222,711,861,522,425,280,923,763,452,387,387,158,595,863,854,867,301,703,13,38,96,20,448,13,44,90,11,605,12,13,0.1,0.22,0.35,0.55,0.83,0.97,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,True,41.71374682477901,True,False,-0.2662420723644862,-0.2505031226462577,-0.2580085272936573
53,HLC/3,55,264,36,macdh,183,228,6,15,0.11,565,619,4,51,517,270,284,468,120,129,764,93,399,344,754,703,336,294,699,592,430,387,451,917,916,555,770,369,295,929,30,34,17,6,747,5,25,82,16,346,19,1,0.39,0.21,0.5,0.53,0.82,0.84,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,True,False,30.765014049169515,True,False,-0.3059633490364666,-0.2804715082352803,-0.2836723244333006
54,HL/2,112,194,18,macd,325,154,5,15,0.36,447,638,179,305,221,13,77,362,189,206,910,379,194,246,855,534,359,351,948,924,323,301,302,267,423,899,325,758,258,736,8,55,77,4,458,7,46,104,20,99,17,11,0.01,0.15,0.15,0.32,0.62,0.8,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,16.933037073663602,True,False,-0.2259055885990714,-0.312094955187867,-0.313048890419024
55,close,132,185,43,macd,181,189,5,12,0.3,2443,784,121,234,697,366,58,90,86,305,182,75,151,141,842,795,403,335,904,733,270,261,560,618,806,16,692,887,127,829,4,28,59,16,849,4,48,83,20,879,5,21,0.39,0.05,0.45,0.48,0.88,0.89,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,27.26379759936797,True,False,-0.2270115345676973,-0.2617027635137027,-0.2569130804292951
56,HLC/3,95,299,29,macdh,57,217,2,2,0.02,2660,288,260,116,108,42,67,94,118,74,130,127,333,994,661,608,369,331,750,709,475,457,769,248,6,86,368,376,450,937,14,41,24,11,86,7,46,59,3,904,14,19,0.3,0.26,0.17,0.33,0.56,0.77,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,43.68339047214808,True,False,-0.2216359643249738,-0.1881577032754716,-0.187865910323805
57,high,31,146,18,macdh,203,322,3,17,0.4,236,699,214,25,174,86,182,292,194,274,973,231,181,54,775,569,409,378,855,775,477,439,934,269,995,927,61,661,491,861,4,9,10,3,520,15,50,67,3,611,21,16,0.05,0.26,0.32,0.74,0.7,1.03,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,8.96372031899711,True,False,-0.2419232793637057,-0.2614903574035858,-0.2680562480728661
58,HLC/3,15,186,24,macd,332,9,6,8,0.21,2690,814,207,188,608,81,242,595,23,137,529,257,383,546,760,720,468,323,717,548,451,253,989,959,72,390,488,560,991,33,19,34,73,10,264,10,39,82,4,937,17,2,0.33,0.33,0.33,0.4,0.92,0.95,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,True,31.88575886598389,True,False,-0.2228367518965185,-0.2689519997239639,-0.2706712277020497
59,OHLC/4,401,465,33,macdh,198,210,4,6,0.24,1174,702,221,92,414,27,294,494,174,115,316,307,270,890,587,545,355,282,911,772,492,433,704,424,659,534,725,838,481,979,15,42,100,1,256,12,27,66,20,809,24,15,0.08,0.17,0.2,0.28,0.5,0.68,True,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,46.857086983591465,True,False,-0.249659087096666,-0.2750356748864893,-0.2746539720716333
60,HLCC/4,81,360,28,macds,201,318,5,8,0.38,595,613,267,395,726,38,269,774,134,289,412,144,208,22,937,629,418,263,567,540,445,365,924,386,569,621,171,444,51,132,2,11,104,15,949,10,52,14,9,912,23,8,0.04,0.11,0.57,0.65,0.81,0.86,True,False,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,16.157082743797123,True,False,-0.1912381424338117,-0.2192488388208216,-0.2155383393324544
61,low,221,500,20,macdh,374,131,2,6,0.27,1877,419,170,225,133,151,300,602,96,307,924,304,264,434,911,576,451,342,726,523,419,263,552,576,959,649,608,278,943,931,13,39,19,10,969,2,11,22,1,233,23,3,0.39,0.07,0.17,0.44,0.51,0.76,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,False,False,24.49142020793872,True,False,-0.1988433949108553,-0.3353054657044829,-0.3448132632430739
62,OHLC/4,89,196,29,macds,288,46,4,16,0.31,2358,333,96,295,922,42,146,594,275,220,693,353,118,341,920,853,404,271,945,894,288,278,990,258,124,753,313,927,201,313,3,8,104,15,227,4,17,94,13,955,9,5,0.04,0.35,0.27,0.43,0.41,0.67,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,14.932311618896406,True,False,-0.2512179116138934,-0.3773677246473769,-0.375118969796522
63,OHLC/4,79,293,29,macd,396,263,5,14,0.23,524,997,230,380,142,215,51,113,139,87,89,390,272,516,970,595,367,311,930,538,310,264,714,618,155,988,678,504,408,849,24,52,89,4,724,3,27,28,11,186,12,20,0.39,0.17,0.44,0.93,0.86,0.83,True,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,8.1200660408927,True,False,-0.1892263511781321,-0.2783359937325283,-0.2766258752351659
64,low,69,191,44,macds,260,344,4,4,0.4,2425,480,181,395,190,182,227,783,208,86,721,330,25,310,879,877,374,328,858,712,375,344,57,29,13,610,43,363,761,313,4,44,95,7,758,16,45,88,19,675,23,25,0.31,0.4,0.31,0.43,0.4,0.6,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,False,False,9.668344303197856,True,False,-0.2210811690461863,-0.2875850533420248,-0.2846525084422317
65,open,380,473,39,macdh,145,335,5,13,0.04,2587,366,267,66,252,281,282,643,331,353,85,29,13,17,986,783,436,275,739,533,337,298,124,362,951,154,675,9,346,505,3,38,76,20,295,9,31,88,18,777,6,19,0.18,0.39,0.24,0.65,0.73,0.98,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,29.020635699108933,True,False,-0.2260589737815039,-0.1949459149764217,-0.1949294836976674
66,low,100,266,41,macd,220,221,5,15,0.32,1343,430,123,223,742,291,207,406,23,66,415,44,90,655,958,903,475,265,975,963,393,336,669,267,950,867,377,924,818,67,19,24,66,6,504,13,38,27,6,588,22,20,0.26,0.04,0.15,0.32,0.62,0.8,True,False,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,28.825084696879365,True,False,-0.2042297423225884,-0.2410997693516768,-0.2387253055542584
67,high,255,358,24,macdh,127,388,4,10,0.01,2650,814,296,220,926,343,267,895,72,230,414,278,78,606,812,517,355,311,853,779,312,294,618,132,137,469,845,795,192,575,26,43,33,20,272,6,52,65,17,89,2,6,0.15,0.38,0.43,0.55,0.93,1.01,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,False,False,36.30586968285319,True,False,-0.2406761741725296,-0.214694556421555,-0.217902393487248
68,HL/2,424,445,50,macdh,159,382,5,2,0.33,736,684,353,47,791,291,240,605,263,129,771,264,395,510,899,854,387,281,959,665,489,255,375,63,40,899,293,285,955,584,10,44,11,9,642,2,29,12,16,132,8,11,0.08,0.15,0.43,0.6,0.93,1.04,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,36.8262015013786,True,False,-0.2216282880733545,-0.198452449947398,-0.1987513232106941
69,high,51,177,33,macdh,191,340,5,14,0.39,1694,702,277,34,761,220,154,247,367,335,239,31,207,163,880,559,383,353,583,535,423,274,61,383,517,827,323,94,982,395,29,49,28,10,213,14,47,29,19,320,24,20,0.1,0.25,0.17,0.34,0.62,0.86,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,21.10389256073868,True,False,-0.2888336100165146,-0.2814552439004254,-0.287288059860499
70,low,5,328,22,macds,313,95,5,12,0.4,2797,495,23,321,806,106,275,905,205,28,762,302,191,340,825,601,473,349,640,601,421,267,826,761,309,267,220,790,811,572,9,34,64,15,471,6,45,38,16,179,25,10,0.11,0.27,0.38,0.44,0.9,0.94,True,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,30.361071751079546,True,False,-0.20377827461927153,-0.2607530413834344,-0.26600171027423775
71,low,45,353,24,macd,396,236,6,16,0.03,509,430,236,191,487,271,360,636,367,62,469,138,95,376,590,531,382,287,991,594,480,381,186,332,308,533,29,218,728,933,23,43,45,3,830,3,5,66,10,645,6,25,0.19,0.22,0.94,0.85,0.99,0.97,False,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,24.416139946068085,True,False,-0.217620782908252,-0.3111418456536394,-0.3124904981106619
72,HL/2,54,59,38,macdh,73,192,2,19,0.32,2927,994,88,244,276,309,268,467,33,54,804,307,177,868,958,579,362,275,808,751,353,254,561,989,766,108,858,694,121,155,13,51,50,20,230,3,29,11,17,273,5,11,0.15,0.32,0.47,0.78,0.71,0.95,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,24.577634467586634,True,False,-0.28602566413221897,-0.26356529519141675,-0.26741680771708976
73,HLCC/4,121,223,27,macdh,170,259,2,13,0.28,2349,918,261,383,729,294,109,464,383,349,753,332,151,292,840,502,413,319,653,593,426,265,597,919,670,339,74,159,298,108,5,38,33,15,823,14,34,79,7,663,18,25,0.39,0.27,0.21,0.41,0.44,0.65,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,15.905581785374537,True,False,-0.29837071025519374,-0.39961712091197055,-0.40530375721007256
74,close,14,344,40,macd,210,227,6,11,0.16,1340,500,87,57,209,46,65,428,85,337,330,229,199,609,571,549,491,259,913,783,396,313,65,195,910,756,850,243,399,571,6,32,48,1,434,16,46,3,13,161,19,10,0.17,0.06,1.06,1.12,1.03,1.07,True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,0.0,False,True,0.0,0.0,0.0
75,HL/2,237,422,34,macd,133,75,6,15,0.21,1836,548,304,162,388,306,390,506,317,282,366,126,232,287,758,609,462,282,807,709,483,299,874,218,921,722,647,727,153,700,16,42,11,16,730,2,44,53,5,693,3,6,0.33,0.23,1.0,1.05,1.02,1.09,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
76,low,152,279,23,macd,286,236,6,5,0.13,1452,591,69,307,388,79,341,373,94,94,756,311,30,754,801,751,478,410,818,504,446,314,672,163,495,466,194,76,536,903,17,25,85,19,165,6,17,13,19,280,2,10,0.04,0.27,1.08,1.11,1.2,1.07,False,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
77,OHLC/4,44,499,35,macd,331,305,6,10,0.23,2312,846,397,257,587,238,394,562,193,315,935,12,161,565,646,514,379,357,914,753,382,262,726,625,754,523,959,621,874,1000,22,31,16,10,898,4,19,77,6,382,19,22,0.12,0.1,1.12,1.03,1.18,1.13,False,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,False,0.0,False,True,0.0,0.0,0.0
78,high,437,487,42,macd,81,380,6,4,0.32,1095,945,51,275,168,370,287,537,237,115,445,253,314,90,957,735,378,274,657,652,481,410,521,721,196,145,275,276,528,743,30,48,20,15,859,14,23,100,15,781,13,21,0.03,0.29,1.19,1.06,1.2,1.1,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
79,low,80,453,22,macds,156,348,6,14,0.28,2263,785,353,303,423,288,112,148,129,194,892,334,365,973,984,888,356,330,917,585,344,316,110,38,484,921,119,805,492,721,14,21,26,17,556,11,20,99,19,415,4,20,0.32,0.26,1.02,1.01,1.02,1.11,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,0.0,False,True,0.0,0.0,0.0
