,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
62,close,241,288,34,macdh,231,352,3,8,0.37,483,846,104,358,55,144,53,138,309,117,48,186,389,806,953,505,371,259,805,747,357,273,362,641,823,223,404,892,489,798,6,27,64,20,160,6,27,88,1,508,17,21,0.11,0.29,0.47,0.51,0.87,0.89,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,11.461392048063042,True,False,-0.1075532480426427,-0.0995497573809254,-0.0976383463722262
63,low,158,261,17,macdh,170,270,6,13,0.26,336,935,118,209,242,306,115,845,299,395,65,124,373,347,650,624,442,336,745,647,476,354,986,756,630,610,722,700,51,814,19,22,88,11,244,5,29,94,5,41,15,22,0.3,0.2,0.52,0.58,0.87,0.91,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,27.30134292034833,True,False,-0.0671819789789341,-0.0364286918225525,-0.0335631815056241
64,close,234,321,45,macdh,153,297,3,18,0.34,1406,655,37,231,448,198,80,134,295,256,835,143,375,91,618,563,343,280,861,562,453,427,670,625,275,133,847,557,633,886,13,49,58,13,292,5,47,53,2,431,25,15,0.02,0.2,0.37,0.64,0.82,1.01,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,21.632790383753072,True,False,-0.0694973611654315,-0.0512057862943259,-0.0489193982402855
65,OHLC/4,139,435,33,macdh,300,379,4,10,0.07,813,719,162,308,876,351,66,837,85,366,699,206,68,832,867,747,396,317,688,663,424,302,480,464,334,684,58,633,654,171,28,45,84,13,497,14,52,83,3,190,11,15,0.24,0.4,0.4,0.81,0.74,1.04,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,True,True,12.58120898669691,True,False,-0.0624882230697334,-0.0426180253757406,-0.040895278121519
66,open,181,351,41,macdh,312,353,5,2,0.07,388,230,134,103,422,377,371,154,133,341,184,261,221,859,830,781,476,264,845,810,458,354,964,249,257,404,252,321,38,558,22,33,12,7,418,5,45,97,1,469,3,12,0.2,0.31,0.86,0.94,0.91,0.97,True,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,12.567042001625069,True,False,-0.0663405022080891,-0.0420688608144132,-0.0398865308012889
67,high,87,178,40,macdh,242,260,4,14,0.08,986,899,75,372,455,165,388,364,334,262,188,9,150,45,932,520,393,259,862,574,381,317,928,934,6,342,276,723,168,643,13,29,104,7,58,10,16,18,18,999,4,16,0.37,0.16,0.35,0.69,0.81,1.07,True,False,False,False,True,False,False,True,True,True,False,True,True,True,False,False,False,16.413856406290453,True,False,-0.0614604819921739,-0.0364925454545158,-0.0305858386255117
68,high,249,428,26,macd,318,396,6,11,0.31,940,927,313,101,467,339,65,823,353,110,164,363,393,773,976,885,266,252,666,604,304,265,128,556,142,194,701,624,841,484,20,44,26,2,313,6,15,98,13,968,8,20,0.29,0.36,0.28,0.4,0.99,1.05,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,31.73652776168516,True,False,-0.1266469106223876,-0.1395941450062641,-0.1372810942999433
69,low,170,407,36,macd,244,341,5,4,0.08,1814,988,365,324,489,119,294,410,63,73,437,387,338,210,826,741,347,253,953,538,364,250,977,299,345,347,953,693,452,639,30,53,8,3,433,15,31,76,20,271,20,2,0.25,0.17,0.29,0.43,0.95,1.0,False,False,False,True,False,False,False,False,False,True,True,True,True,False,True,False,True,32.675474579550965,True,False,-0.0709488444285885,-0.0556353350378309,-0.0573148616719494
70,HL/2,207,489,32,macd,9,82,5,3,0.27,2751,290,81,336,651,44,267,848,353,393,342,16,103,614,842,588,362,267,549,536,454,284,530,968,876,397,90,243,136,901,17,48,69,10,141,10,16,16,12,113,24,23,0.32,0.37,0.47,0.62,0.84,0.93,True,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,21.74011284497803,True,False,-0.1410066171682424,-0.1107332627473089,-0.1120293833585892
71,HLC/3,410,461,6,macdh,215,251,5,6,0.12,2349,929,228,14,724,142,369,481,369,177,732,257,140,294,840,566,432,398,922,652,472,470,163,716,466,835,334,518,985,657,12,44,90,10,288,12,34,79,13,165,17,6,0.23,0.17,0.29,0.65,0.88,1.12,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,36.52107187865429,True,False,,-0.0035145645972029,0.0003606076307498
