,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
976,HLC/3,12,49,19,macdh,73,58,2,9,0.26,2090,990,72,39,393,41,83,191,79,71,938,2,64,36,835,753,232,195,833,702,338,182,186,373,538,612,113,979,836,841,18,28,76,15,657,9,19,104,11,69,23,24,0.38,0.06,0.71,0.92,0.81,0.87,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,16.17846531,TRUE,FALSE
977,close,15,49,29,macd,78,13,4,15,0.15,1068,952,38,80,649,19,11,213,92,23,617,87,77,565,920,670,286,98,927,809,467,217,458,171,838,582,201,187,888,688,14,22,13,16,640,8,29,39,2,935,20,10,0.39,0.05,0.85,0.85,0.85,1.0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,12.65861508,TRUE,FALSE
978,close,4,22,11,macdh,51,92,5,20,0.35,1314,250,75,35,299,19,13,91,21,53,517,88,62,885,792,623,417,39,555,808,493,294,396,265,880,908,446,673,422,170,10,59,13,16,754,10,47,32,8,621,4,2,0.21,0.05,0.51,0.88,0.9,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4.464528727,TRUE,FALSE
979,close,6,46,32,macdh,60,81,2,19,0.39,1942,385,48,5,51,26,57,771,27,6,147,61,77,625,814,159,432,110,843,731,48,33,567,806,85,256,230,906,448,877,7,51,103,8,897,7,21,48,4,996,5,23,0.07,0.19,0.38,0.78,0.62,1.06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,15.65710535,TRUE,FALSE
980,open,31,63,50,macdh,61,84,5,2,0.14,2687,414,63,69,602,68,61,400,8,17,192,35,22,348,620,422,257,107,504,424,274,61,317,642,441,597,470,738,526,789,3,7,68,20,69,15,19,93,16,595,10,9,0.08,0.18,0.68,0.89,0.8,0.89,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,8.046114209,TRUE,FALSE
981,high,4,11,48,macds,39,30,5,8,0.26,2753,266,89,20,122,5,8,546,26,29,32,25,28,999,899,815,104,25,761,696,466,49,444,684,366,589,647,364,265,529,18,21,82,19,367,5,43,21,15,736,18,13,0.3,0.03,0.48,0.64,0.71,0.87,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,22.2569813,TRUE,FALSE
982,HLCC/4,20,66,42,macd,47,12,2,11,0.2,1994,931,13,42,798,12,82,879,66,100,509,10,81,265,989,359,352,204,809,215,448,295,589,833,263,831,779,174,682,253,23,27,97,17,721,8,28,32,18,753,20,20,0.4,0.16,0.91,0.83,0.89,0.91,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5.104000673,TRUE,FALSE
983,HLC/3,22,63,49,macdh,43,85,5,19,0.34,624,508,4,92,565,25,89,113,90,95,828,82,82,18,655,482,318,240,872,797,216,205,948,786,606,800,479,632,416,352,2,56,87,18,962,16,24,37,14,578,3,18,0.2,0.35,0.44,0.77,0.69,0.96,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,12.68925053,TRUE,FALSE
984,HLC/3,27,39,34,macdh,78,23,4,19,0.34,2703,960,59,95,253,65,33,799,9,26,239,82,14,276,843,486,133,11,924,602,137,81,835,899,638,766,752,260,148,163,27,34,24,7,196,15,51,52,20,32,5,4,0.23,0.02,0.4,0.76,0.61,0.99,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13.44710833,TRUE,FALSE
985,HL/2,20,31,20,macdh,85,36,4,13,0.1,2605,387,13,66,446,61,47,474,20,67,919,75,98,238,961,812,144,34,755,329,435,26,724,148,124,757,967,999,366,485,10,58,11,16,576,6,18,8,6,512,3,4,0.29,0.13,0.91,0.92,0.98,0.95,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.640555686,TRUE,FALSE
