,USDDKK_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDDKK_i,6.11937,6.12242,6.11935,6.12328,6.121315,6.121683333333333,6.1218675000000005,6.121105,381,2020-12-14 12:15:00
1,USDDKK_i,6.12241,6.12428,6.12101,6.1247,6.1228549999999995,6.123329999999999,6.123567499999999,6.123099999999999,416,2020-12-14 12:30:00
2,USDDKK_i,6.12431,6.12409,6.12315,6.12543,6.12429,6.124223333333333,6.12419,6.124245,325,2020-12-14 12:45:00
3,USDDKK_i,6.1241,6.12219,6.11898,6.12433,6.121655,6.121833333333332,6.121922499999999,6.122399999999999,413,2020-12-14 13:00:00
4,USDDKK_i,6.12222,6.11971,6.1194,6.12269,6.1210450000000005,6.1206000000000005,6.120377500000001,6.121005,368,2020-12-14 13:15:00
5,USDDKK_i,6.11968,6.12283,6.11947,6.12405,6.12176,6.122116666666667,6.122295,6.1215075,340,2020-12-14 13:30:00
6,USDDKK_i,6.12279,6.12172,6.11989,6.12388,6.121885,6.12183,6.1218025,6.122070000000001,389,2020-12-14 13:45:00
7,USDDKK_i,6.12166,6.12153,6.11952,6.12282,6.121169999999999,6.121289999999999,6.12135,6.121382499999999,400,2020-12-14 14:00:00
8,USDDKK_i,6.12134,6.12055,6.11969,6.12196,6.120825,6.120733333333334,6.120687500000001,6.120885,351,2020-12-14 14:15:00
9,USDDKK_i,6.12047,6.11695,6.11405,6.1207,6.117375,6.117233333333334,6.1171625,6.1180425000000005,495,2020-12-14 14:30:00
10,USDDKK_i,6.11705,6.12061,6.11698,6.1216,6.1192899999999995,6.11973,6.119949999999999,6.119059999999999,434,2020-12-14 14:45:00
11,USDDKK_i,6.12043,6.11839,6.11739,6.12102,6.119205,6.118933333333334,6.1187974999999994,6.1193075,424,2020-12-14 15:00:00
12,USDDKK_i,6.11834,6.1185,6.11647,6.11945,6.11796,6.11814,6.1182300000000005,6.11819,423,2020-12-14 15:15:00
13,USDDKK_i,6.11846,6.1192,6.11747,6.12078,6.119125,6.11915,6.1191625,6.1189775,329,2020-12-14 15:30:00
14,USDDKK_i,6.1192,6.11342,6.11081,6.11973,6.11527,6.114653333333333,6.114345,6.11579,502,2020-12-14 15:45:00
15,USDDKK_i,6.11362,6.11718,6.11362,6.11793,6.115775,6.116243333333333,6.1164775,6.1155875,537,2020-12-14 16:00:00
16,USDDKK_i,6.11694,6.12078,6.1164,6.12123,6.118815,6.11947,6.1197975,6.1188375,481,2020-12-14 16:15:00
17,USDDKK_i,6.12075,6.11685,6.11488,6.12188,6.11838,6.11787,6.117615,6.11859,625,2020-12-14 16:30:00
18,USDDKK_i,6.11691,6.11646,6.11559,6.12056,6.118075,6.117536666666666,6.1172675,6.11738,620,2020-12-14 16:45:00
19,USDDKK_i,6.1165,6.12933,6.11558,6.13024,6.122909999999999,6.125049999999999,6.126119999999999,6.1229125,690,2020-12-14 17:00:00
20,USDDKK_i,6.12938,6.13056,6.12938,6.13467,6.1320250000000005,6.131536666666666,6.1312925,6.1309975,558,2020-12-14 17:15:00
21,USDDKK_i,6.13062,6.13153,6.12956,6.13498,6.13227,6.132023333333334,6.1319,6.1316725000000005,555,2020-12-14 17:30:00
22,USDDKK_i,6.13142,6.13695,6.13134,6.13757,6.134455,6.1352866666666666,6.1357025,6.134320000000001,683,2020-12-14 17:45:00
23,USDDKK_i,6.13686,6.13199,6.13199,6.13794,6.134965,6.1339733333333335,6.1334775,6.134695000000001,575,2020-12-14 18:00:00
24,USDDKK_i,6.13193,6.13114,6.12924,6.13261,6.1309249999999995,6.1309966666666655,6.1310325,6.1312299999999995,380,2020-12-14 18:15:00
25,USDDKK_i,6.13113,6.1284,6.12723,6.13113,6.12918,6.12892,6.1287899999999995,6.129472499999999,383,2020-12-14 18:30:00
26,USDDKK_i,6.12834,6.12711,6.12557,6.12845,6.12701,6.127043333333333,6.12706,6.1273675,273,2020-12-14 18:45:00
27,USDDKK_i,6.12709,6.12202,6.12124,6.12776,6.1245,6.1236733333333335,6.12326,6.1245275,232,2020-12-14 19:00:00
28,USDDKK_i,6.12197,6.1199,6.1199,6.12422,6.12206,6.12134,6.12098,6.1214975,384,2020-12-14 19:15:00
29,USDDKK_i,6.1199,6.12155,6.11919,6.1219,6.120545,6.12088,6.1210474999999995,6.120635,334,2020-12-14 19:30:00
30,USDDKK_i,6.12162,6.12079,6.12079,6.12259,6.12169,6.121390000000001,6.12124,6.1214475,248,2020-12-14 19:45:00
31,USDDKK_i,6.12067,6.12132,6.11911,6.12243,6.12077,6.1209533333333335,6.1210450000000005,6.1208825000000004,394,2020-12-14 20:00:00
32,USDDKK_i,6.12138,6.12296,6.12091,6.12305,6.121980000000001,6.122306666666667,6.12247,6.122075000000001,224,2020-12-14 20:15:00
33,USDDKK_i,6.12287,6.12458,6.12277,6.12458,6.123675,6.123976666666667,6.1241275,6.1236999999999995,229,2020-12-14 20:30:00
34,USDDKK_i,6.12462,6.12422,6.12356,6.12584,6.124700000000001,6.1245400000000005,6.124460000000001,6.124560000000001,206,2020-12-14 20:45:00
35,USDDKK_i,6.12422,6.12536,6.12318,6.12537,6.124275,6.1246366666666665,6.1248175,6.1245325,251,2020-12-14 21:00:00
36,USDDKK_i,6.12544,6.12455,6.12378,6.12601,6.124895,6.12478,6.1247225,6.124945,219,2020-12-14 21:15:00
37,USDDKK_i,6.1246,6.12536,6.12459,6.12626,6.125425,6.125403333333334,6.1253925,6.1252025,194,2020-12-14 21:30:00
38,USDDKK_i,6.12524,6.12555,6.12455,6.12693,6.12574,6.125676666666667,6.1256450000000005,6.125567500000001,221,2020-12-14 21:45:00
39,USDDKK_i,6.1259,6.12729,6.12575,6.12736,6.126555,6.1268,6.126922500000001,6.126575000000001,195,2020-12-14 22:00:00
40,USDDKK_i,6.12729,6.1269,6.12562,6.12742,6.126519999999999,6.126646666666666,6.126709999999999,6.1268075,200,2020-12-14 22:15:00
41,USDDKK_i,6.1269,6.13001,6.12685,6.13003,6.128439999999999,6.128963333333334,6.129225,6.1284475,253,2020-12-14 22:30:00
42,USDDKK_i,6.12991,6.12574,6.12504,6.12993,6.127485,6.126903333333334,6.1266125,6.127655,243,2020-12-14 22:45:00
43,USDDKK_i,6.12578,6.12577,6.1236,6.12619,6.124895,6.125186666666667,6.1253325,6.125335,218,2020-12-14 23:00:00
44,USDDKK_i,6.12574,6.12382,6.12382,6.12621,6.125015,6.124616666666667,6.1244175,6.1248975,121,2020-12-14 23:15:00
