,NZDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDCAD_i,0.91127,0.91168,0.91097,0.91208,0.9115249999999999,0.9115766666666666,0.9116025,0.9115,603,2020-12-18 22:45:00
1,NZDCAD_i,0.91165,0.912,0.91151,0.91249,0.912,0.912,0.912,0.9119125,390,2020-12-18 23:00:00
2,NZDCAD_i,0.91199,0.91208,0.91179,0.91271,0.91225,0.9121933333333333,0.912165,0.9121425,264,2020-12-18 23:15:00
3,NZDCAD_i,0.91209,0.91219,0.91194,0.91236,0.91215,0.9121633333333333,0.9121699999999999,0.912145,169,2020-12-18 23:30:00
4,NZDCAD_i,0.91218,0.91222,0.91203,0.9124,0.912215,0.9122166666666667,0.9122175,0.9122075000000001,94,2020-12-18 23:45:00
5,NZDCAD_i,0.91,0.90969,0.9095,0.91095,0.9102250000000001,0.9100466666666667,0.9099575,0.910035,96,2020-12-21 00:00:00
6,NZDCAD_i,0.91068,0.91068,0.90956,0.91068,0.91012,0.9103066666666667,0.9104000000000001,0.9104000000000001,42,2020-12-21 00:15:00
7,NZDCAD_i,0.91068,0.91068,0.91002,0.91068,0.91035,0.91046,0.9105150000000001,0.9105150000000001,21,2020-12-21 00:30:00
8,NZDCAD_i,0.91068,0.91068,0.91017,0.91068,0.910425,0.91051,0.9105525000000001,0.9105525000000001,20,2020-12-21 00:45:00
9,NZDCAD_i,0.91068,0.9106,0.91058,0.91101,0.910795,0.91073,0.9106975,0.9107175000000001,137,2020-12-21 01:00:00
10,NZDCAD_i,0.91055,0.91002,0.91002,0.91065,0.910335,0.91023,0.9101775000000001,0.91031,251,2020-12-21 01:15:00
11,NZDCAD_i,0.91004,0.90953,0.90922,0.91009,0.909655,0.9096133333333333,0.9095925,0.90972,293,2020-12-21 01:30:00
12,NZDCAD_i,0.90953,0.9098,0.90941,0.90994,0.909675,0.9097166666666667,0.9097375000000001,0.90967,269,2020-12-21 01:45:00
13,NZDCAD_i,0.90978,0.90982,0.9096,0.91014,0.90987,0.9098533333333333,0.9098449999999999,0.909835,346,2020-12-21 02:00:00
14,NZDCAD_i,0.9099,0.90949,0.90878,0.90993,0.909355,0.9094000000000001,0.9094225,0.909525,383,2020-12-21 02:15:00
15,NZDCAD_i,0.90954,0.90985,0.90937,0.91001,0.90969,0.9097433333333335,0.9097700000000001,0.9096925,302,2020-12-21 02:30:00
16,NZDCAD_i,0.90985,0.9095,0.90946,0.90991,0.9096850000000001,0.9096233333333333,0.9095925,0.90968,313,2020-12-21 02:45:00
17,NZDCAD_i,0.90948,0.90988,0.90948,0.90997,0.9097249999999999,0.9097766666666667,0.9098025000000001,0.9097025,365,2020-12-21 03:00:00
18,NZDCAD_i,0.90988,0.91019,0.90979,0.91032,0.9100550000000001,0.9101,0.9101225000000001,0.910045,320,2020-12-21 03:15:00
19,NZDCAD_i,0.91018,0.90964,0.90953,0.91019,0.90986,0.9097866666666666,0.90975,0.9098849999999999,432,2020-12-21 03:30:00
20,NZDCAD_i,0.90965,0.91008,0.90936,0.91052,0.90994,0.9099866666666667,0.91001,0.9099025000000001,528,2020-12-21 03:45:00
21,NZDCAD_i,0.91008,0.91008,0.90973,0.91013,0.90993,0.90998,0.910005,0.910005,319,2020-12-21 04:00:00
22,NZDCAD_i,0.91009,0.91076,0.90996,0.91078,0.91037,0.9105,0.9105650000000001,0.9103975,287,2020-12-21 04:15:00
23,NZDCAD_i,0.91075,0.91073,0.91021,0.91085,0.9105300000000001,0.9105966666666667,0.91063,0.9106350000000001,551,2020-12-21 04:30:00
24,NZDCAD_i,0.91073,0.91076,0.91051,0.91098,0.910745,0.9107500000000001,0.9107525000000001,0.910745,370,2020-12-21 04:45:00
25,NZDCAD_i,0.91073,0.91095,0.91064,0.91123,0.910935,0.9109400000000001,0.9109425000000001,0.9108875000000001,305,2020-12-21 05:00:00
26,NZDCAD_i,0.91097,0.91102,0.91067,0.91129,0.91098,0.9109933333333333,0.911,0.9109875,260,2020-12-21 05:15:00
27,NZDCAD_i,0.91095,0.91134,0.91086,0.91139,0.911125,0.9111966666666667,0.9112325,0.911135,198,2020-12-21 05:30:00
28,NZDCAD_i,0.91134,0.91149,0.91126,0.91149,0.911375,0.9114133333333334,0.9114325000000001,0.9113950000000001,230,2020-12-21 05:45:00
29,NZDCAD_i,0.91146,0.91168,0.9114,0.9117,0.91155,0.9115933333333333,0.911615,0.9115599999999999,192,2020-12-21 06:00:00
30,NZDCAD_i,0.91168,0.91123,0.91121,0.91178,0.9114949999999999,0.9114066666666666,0.9113624999999999,0.9114749999999999,232,2020-12-21 06:15:00
31,NZDCAD_i,0.91123,0.91096,0.91081,0.91131,0.91106,0.9110266666666668,0.9110100000000001,0.9110775,276,2020-12-21 06:30:00
32,NZDCAD_i,0.91096,0.91095,0.91087,0.9112,0.911035,0.9110066666666667,0.9109925000000001,0.910995,187,2020-12-21 06:45:00
33,NZDCAD_i,0.91095,0.91095,0.91046,0.91102,0.9107400000000001,0.9108100000000001,0.9108450000000001,0.9108450000000001,293,2020-12-21 07:00:00
34,NZDCAD_i,0.91091,0.91035,0.91026,0.91091,0.910585,0.9105066666666666,0.9104675,0.9106074999999999,318,2020-12-21 07:15:00
35,NZDCAD_i,0.91033,0.91017,0.91008,0.91049,0.910285,0.9102466666666666,0.9102275,0.9102675,259,2020-12-21 07:30:00
36,NZDCAD_i,0.91017,0.91019,0.90981,0.9103,0.9100550000000001,0.9101,0.9101225000000001,0.9101175,307,2020-12-21 07:45:00
37,NZDCAD_i,0.91019,0.91031,0.91003,0.91037,0.9102,0.9102366666666667,0.910255,0.9102250000000001,331,2020-12-21 08:00:00
38,NZDCAD_i,0.91031,0.91045,0.91031,0.9106,0.910455,0.9104533333333333,0.9104525,0.9104175,275,2020-12-21 08:15:00
39,NZDCAD_i,0.91044,0.91037,0.91027,0.9107,0.910485,0.9104466666666666,0.9104275,0.910445,294,2020-12-21 08:30:00
40,NZDCAD_i,0.91039,0.91058,0.91027,0.91086,0.9105650000000001,0.91057,0.9105725,0.910525,370,2020-12-21 08:45:00
41,NZDCAD_i,0.91059,0.91051,0.91029,0.9108,0.910545,0.9105333333333334,0.9105275,0.9105475000000001,474,2020-12-21 09:00:00
42,NZDCAD_i,0.91055,0.90988,0.9098,0.91055,0.910175,0.9100766666666665,0.9100275,0.9101949999999999,480,2020-12-21 09:15:00
43,NZDCAD_i,0.9099,0.90872,0.90842,0.91003,0.909225,0.9090566666666667,0.9089725,0.9092675,676,2020-12-21 09:30:00
44,NZDCAD_i,0.90871,0.90782,0.90736,0.90879,0.908075,0.90799,0.9079475,0.90817,677,2020-12-21 09:45:00
45,NZDCAD_i,0.90782,0.90741,0.90717,0.90834,0.9077550000000001,0.9076400000000001,0.9075825000000001,0.9076850000000001,893,2020-12-21 10:00:00
46,NZDCAD_i,0.90736,0.90755,0.90691,0.90761,0.90726,0.9073566666666667,0.907405,0.9073575,720,2020-12-21 10:15:00
47,NZDCAD_i,0.90756,0.90784,0.90724,0.90796,0.9076,0.90768,0.9077200000000001,0.9076500000000001,722,2020-12-21 10:30:00
48,NZDCAD_i,0.90784,0.90775,0.90769,0.90862,0.908155,0.90802,0.9079525,0.907975,636,2020-12-21 10:45:00
49,NZDCAD_i,0.90773,0.90712,0.90709,0.90788,0.907485,0.9073633333333334,0.9073025,0.907455,550,2020-12-21 11:00:00
50,NZDCAD_i,0.90711,0.9068,0.90653,0.90734,0.906935,0.9068900000000001,0.9068675,0.906945,515,2020-12-21 11:15:00
51,NZDCAD_i,0.90681,0.90644,0.90637,0.90697,0.9066700000000001,0.9065933333333334,0.906555,0.9066475,546,2020-12-21 11:30:00
52,NZDCAD_i,0.90644,0.90635,0.90583,0.90657,0.9062,0.90625,0.9062749999999999,0.9062975,721,2020-12-21 11:45:00
53,NZDCAD_i,0.90642,0.90701,0.90618,0.90709,0.906635,0.9067599999999999,0.9068225,0.9066749999999999,1007,2020-12-21 12:00:00
54,NZDCAD_i,0.90696,0.90712,0.90639,0.9072,0.906795,0.9069033333333333,0.9069575,0.9069175,1083,2020-12-21 12:15:00
55,NZDCAD_i,0.90714,0.90669,0.90644,0.90735,0.906895,0.9068266666666668,0.9067925000000001,0.9069050000000001,990,2020-12-21 12:30:00
56,NZDCAD_i,0.90671,0.90674,0.90658,0.90728,0.90693,0.9068666666666667,0.9068350000000001,0.9068275,939,2020-12-21 12:45:00
57,NZDCAD_i,0.9068,0.90646,0.90585,0.9068,0.906325,0.90637,0.9063925,0.9064775,876,2020-12-21 13:00:00
58,NZDCAD_i,0.90646,0.90573,0.90551,0.90671,0.90611,0.9059833333333334,0.9059200000000001,0.9061025,746,2020-12-21 13:15:00
59,NZDCAD_i,0.90583,0.90646,0.90529,0.90647,0.90588,0.9060733333333334,0.90617,0.9060125,808,2020-12-21 13:30:00
60,NZDCAD_i,0.90648,0.90722,0.9064,0.9076,0.907,0.9070733333333334,0.9071100000000001,0.906925,779,2020-12-21 13:45:00
61,NZDCAD_i,0.90719,0.90647,0.90638,0.90732,0.9068499999999999,0.9067233333333333,0.90666,0.90684,763,2020-12-21 14:00:00
62,NZDCAD_i,0.90648,0.90639,0.90605,0.9066,0.906325,0.9063466666666667,0.9063575,0.90638,659,2020-12-21 14:15:00
63,NZDCAD_i,0.90639,0.90661,0.90609,0.90672,0.9064049999999999,0.9064733333333334,0.9065075,0.9064525,648,2020-12-21 14:30:00
64,NZDCAD_i,0.90659,0.90652,0.90629,0.90671,0.9065000000000001,0.9065066666666667,0.90651,0.9065275,763,2020-12-21 14:45:00
65,NZDCAD_i,0.90656,0.90614,0.90592,0.9068,0.90636,0.9062866666666668,0.90625,0.906355,855,2020-12-21 15:00:00
66,NZDCAD_i,0.90613,0.9057,0.90561,0.90641,0.90601,0.9059066666666666,0.905855,0.9059625,707,2020-12-21 15:15:00
67,NZDCAD_i,0.9057,0.90696,0.90569,0.907,0.906345,0.9065499999999999,0.9066524999999999,0.9063374999999999,833,2020-12-21 15:30:00
68,NZDCAD_i,0.90699,0.90614,0.90592,0.90716,0.9065399999999999,0.9064066666666667,0.9063399999999999,0.9065525,797,2020-12-21 15:45:00
69,NZDCAD_i,0.90614,0.90625,0.90593,0.90668,0.906305,0.9062866666666668,0.9062775000000001,0.90625,871,2020-12-21 16:00:00
70,NZDCAD_i,0.90626,0.90605,0.90591,0.90663,0.90627,0.9061966666666667,0.90616,0.9062125,692,2020-12-21 16:15:00
71,NZDCAD_i,0.90605,0.90603,0.90596,0.9068,0.90638,0.9062633333333333,0.9062049999999999,0.90621,1037,2020-12-21 16:30:00
72,NZDCAD_i,0.90603,0.90697,0.90579,0.90719,0.90649,0.90665,0.90673,0.9064949999999999,882,2020-12-21 16:45:00
73,NZDCAD_i,0.90698,0.90668,0.90656,0.90724,0.9069,0.9068266666666668,0.9067900000000001,0.906865,801,2020-12-21 17:00:00
74,NZDCAD_i,0.90672,0.90674,0.90649,0.90714,0.9068149999999999,0.90679,0.9067775,0.9067725,786,2020-12-21 17:15:00
75,NZDCAD_i,0.90675,0.90734,0.90644,0.90752,0.90698,0.9071000000000001,0.9071600000000001,0.9070125,750,2020-12-21 17:30:00
76,NZDCAD_i,0.90736,0.9087,0.90721,0.90892,0.9080649999999999,0.9082766666666666,0.9083825,0.9080475,848,2020-12-21 17:45:00
77,NZDCAD_i,0.9087,0.9086,0.90838,0.90906,0.90872,0.9086799999999999,0.9086599999999999,0.908685,731,2020-12-21 18:00:00
78,NZDCAD_i,0.90862,0.90934,0.90851,0.90978,0.9091450000000001,0.9092100000000002,0.9092425000000002,0.9090625000000001,603,2020-12-21 18:15:00
79,NZDCAD_i,0.90934,0.90984,0.90916,0.91001,0.909585,0.9096699999999999,0.9097124999999999,0.9095875,633,2020-12-21 18:30:00
80,NZDCAD_i,0.90983,0.90946,0.90946,0.91058,0.91002,0.9098333333333334,0.9097400000000001,0.9098325,612,2020-12-21 18:45:00
