,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURGBP_i,0.90705,0.90711,0.90695,0.90777,0.9073599999999999,0.9072766666666666,0.9072349999999999,0.9072199999999999,472,2020-12-18 22:45:00
1,EURGBP_i,0.90712,0.90753,0.90675,0.9076,0.907175,0.9072933333333332,0.9073524999999999,0.9072499999999999,366,2020-12-18 23:00:00
2,EURGBP_i,0.90753,0.908,0.9075,0.90812,0.90781,0.9078733333333333,0.907905,0.9077875,239,2020-12-18 23:15:00
3,EURGBP_i,0.90799,0.90771,0.90743,0.90799,0.90771,0.9077100000000001,0.90771,0.90778,238,2020-12-18 23:30:00
4,EURGBP_i,0.90773,0.9073,0.9073,0.90807,0.9076850000000001,0.9075566666666667,0.9074925,0.9076,152,2020-12-18 23:45:00
5,EURGBP_i,0.91108,0.91031,0.90991,0.91153,0.91072,0.9105833333333333,0.910515,0.9107075,191,2020-12-21 00:00:00
6,EURGBP_i,0.91031,0.91003,0.90963,0.91031,0.90997,0.90999,0.9099999999999999,0.9100699999999999,122,2020-12-21 00:15:00
7,EURGBP_i,0.90994,0.90998,0.90962,0.91016,0.90989,0.90992,0.9099349999999999,0.9099249999999999,291,2020-12-21 00:30:00
8,EURGBP_i,0.90998,0.91013,0.90925,0.91034,0.909795,0.9099066666666666,0.9099625,0.909925,111,2020-12-21 00:45:00
9,EURGBP_i,0.91013,0.91022,0.90968,0.91038,0.91003,0.9100933333333333,0.9101250000000001,0.9101025,372,2020-12-21 01:00:00
10,EURGBP_i,0.91022,0.9106,0.91006,0.91067,0.910365,0.9104433333333333,0.9104825,0.9103874999999999,369,2020-12-21 01:15:00
11,EURGBP_i,0.9106,0.91086,0.9106,0.91158,0.91109,0.9110133333333333,0.910975,0.91091,468,2020-12-21 01:30:00
12,EURGBP_i,0.91086,0.91089,0.91055,0.91118,0.910865,0.9108733333333333,0.9108775,0.91087,250,2020-12-21 01:45:00
13,EURGBP_i,0.91088,0.91038,0.91008,0.91088,0.91048,0.9104466666666666,0.91043,0.910555,429,2020-12-21 02:00:00
14,EURGBP_i,0.91038,0.91069,0.91028,0.91091,0.910595,0.9106266666666668,0.9106425,0.9105650000000001,552,2020-12-21 02:15:00
15,EURGBP_i,0.9107,0.91088,0.91054,0.91128,0.91091,0.9108999999999999,0.910895,0.9108499999999999,329,2020-12-21 02:30:00
16,EURGBP_i,0.91088,0.91088,0.91068,0.91129,0.910985,0.91095,0.9109325,0.9109325,437,2020-12-21 02:45:00
17,EURGBP_i,0.91088,0.91142,0.91087,0.91151,0.9111899999999999,0.9112666666666667,0.911305,0.91117,340,2020-12-21 03:00:00
18,EURGBP_i,0.91143,0.9115,0.9114,0.91164,0.91152,0.9115133333333333,0.91151,0.9114925,317,2020-12-21 03:15:00
19,EURGBP_i,0.9115,0.91193,0.91135,0.91197,0.9116599999999999,0.91175,0.9117949999999999,0.9116875,391,2020-12-21 03:30:00
20,EURGBP_i,0.91193,0.9124,0.91191,0.91313,0.91252,0.91248,0.9124599999999999,0.9123425,802,2020-12-21 03:45:00
21,EURGBP_i,0.91242,0.91295,0.91228,0.91301,0.9126449999999999,0.9127466666666666,0.9127974999999999,0.912665,425,2020-12-21 04:00:00
