,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDCAD_i,0.97305,0.97368,0.97297,0.97403,0.9735,0.97356,0.97359,0.9734324999999999,728,2020-12-18 22:45:00
1,AUDCAD_i,0.97364,0.97362,0.97355,0.97447,0.97401,0.97388,0.973815,0.97382,476,2020-12-18 23:00:00
2,AUDCAD_i,0.97362,0.97384,0.97342,0.9743,0.97386,0.9738533333333333,0.97385,0.973795,308,2020-12-18 23:15:00
3,AUDCAD_i,0.97386,0.97374,0.97356,0.97412,0.97384,0.9738066666666668,0.9737900000000002,0.9738200000000001,170,2020-12-18 23:30:00
4,AUDCAD_i,0.9737,0.97381,0.9735,0.97396,0.97373,0.9737566666666666,0.9737699999999999,0.9737425,102,2020-12-18 23:45:00
5,AUDCAD_i,0.97085,0.97095,0.97072,0.97173,0.971225,0.9711333333333334,0.9710875000000001,0.9710625,104,2020-12-21 00:00:00
6,AUDCAD_i,0.97138,0.97116,0.97069,0.9719,0.971295,0.9712500000000001,0.9712275000000001,0.9712825,94,2020-12-21 00:15:00
7,AUDCAD_i,0.97125,0.97204,0.97122,0.9724,0.9718100000000001,0.9718866666666667,0.9719249999999999,0.9717275,162,2020-12-21 00:30:00
8,AUDCAD_i,0.97151,0.97151,0.97138,0.97236,0.97187,0.97175,0.9716899999999999,0.9716899999999999,101,2020-12-21 00:45:00
9,AUDCAD_i,0.97159,0.97202,0.97159,0.97283,0.97221,0.9721466666666667,0.9721150000000001,0.9720075,345,2020-12-21 01:00:00
10,AUDCAD_i,0.97203,0.97201,0.9718,0.97213,0.971965,0.97198,0.9719875,0.9719925,358,2020-12-21 01:15:00
11,AUDCAD_i,0.97202,0.97134,0.97118,0.97211,0.9716450000000001,0.9715433333333334,0.9714925000000001,0.9716625000000001,444,2020-12-21 01:30:00
12,AUDCAD_i,0.97134,0.97179,0.97124,0.97185,0.971545,0.9716266666666667,0.9716675,0.9715550000000001,361,2020-12-21 01:45:00
13,AUDCAD_i,0.97177,0.97206,0.97167,0.97251,0.97209,0.97208,0.972075,0.9720025000000001,490,2020-12-21 02:00:00
14,AUDCAD_i,0.97207,0.97208,0.97149,0.97226,0.971875,0.9719433333333334,0.9719775,0.971975,500,2020-12-21 02:15:00
15,AUDCAD_i,0.97215,0.97265,0.97199,0.97292,0.9724550000000001,0.9725199999999999,0.9725524999999999,0.9724275,473,2020-12-21 02:30:00
