,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDCHF_i,0.8837,0.88389,0.88364,0.88411,0.883875,0.88388,0.8838825,0.883835,301,2020-12-18 22:45:00
1,USDCHF_i,0.88389,0.88345,0.88345,0.88394,0.8836949999999999,0.8836133333333333,0.8835724999999999,0.8836824999999999,142,2020-12-18 23:00:00
2,USDCHF_i,0.88345,0.88276,0.88275,0.88357,0.88316,0.8830266666666665,0.88296,0.8831324999999999,88,2020-12-18 23:15:00
3,USDCHF_i,0.88286,0.88307,0.88283,0.88339,0.8831100000000001,0.8830966666666668,0.88309,0.8830375,99,2020-12-18 23:30:00
4,USDCHF_i,0.88306,0.88314,0.88293,0.88325,0.8830899999999999,0.8831066666666666,0.883115,0.883095,183,2020-12-18 23:45:00
5,USDCHF_i,0.8849,0.88461,0.88452,0.88491,0.8847149999999999,0.8846799999999999,0.8846624999999999,0.8847349999999999,84,2020-12-21 00:00:00
6,USDCHF_i,0.88462,0.88467,0.88418,0.88487,0.884525,0.8845733333333333,0.8845974999999999,0.884585,82,2020-12-21 00:15:00
7,USDCHF_i,0.88466,0.8846,0.88427,0.88495,0.88461,0.8846066666666667,0.8846050000000001,0.88462,177,2020-12-21 00:30:00
8,USDCHF_i,0.88461,0.88472,0.88423,0.88492,0.884575,0.8846233333333333,0.8846475,0.88462,175,2020-12-21 00:45:00
9,USDCHF_i,0.8848,0.88455,0.88407,0.8848,0.8844350000000001,0.8844733333333333,0.8844925,0.884555,116,2020-12-21 01:00:00
10,USDCHF_i,0.88455,0.88555,0.88455,0.88569,0.8851199999999999,0.8852633333333332,0.8853349999999999,0.8850849999999999,163,2020-12-21 01:15:00
11,USDCHF_i,0.88555,0.88548,0.88529,0.88563,0.88546,0.8854666666666667,0.88547,0.8854875,168,2020-12-21 01:30:00
12,USDCHF_i,0.88547,0.88564,0.88521,0.88569,0.8854500000000001,0.8855133333333334,0.885545,0.8855025000000001,129,2020-12-21 01:45:00
13,USDCHF_i,0.88564,0.88551,0.88547,0.88584,0.885655,0.8856066666666665,0.8855824999999999,0.8856149999999999,242,2020-12-21 02:00:00
14,USDCHF_i,0.88551,0.88554,0.8854,0.8857,0.8855500000000001,0.8855466666666668,0.885545,0.8855375000000001,173,2020-12-21 02:15:00
15,USDCHF_i,0.88554,0.88509,0.885,0.88554,0.88527,0.8852099999999999,0.88518,0.8852925,135,2020-12-21 02:30:00
16,USDCHF_i,0.88509,0.88472,0.88472,0.88518,0.8849499999999999,0.8848733333333332,0.8848349999999998,0.8849274999999999,154,2020-12-21 02:45:00
17,USDCHF_i,0.88472,0.88458,0.88442,0.8848,0.88461,0.8845999999999999,0.884595,0.88463,187,2020-12-21 03:00:00
18,USDCHF_i,0.88458,0.88427,0.88408,0.88462,0.88435,0.8843233333333332,0.8843099999999999,0.8843875,183,2020-12-21 03:15:00
19,USDCHF_i,0.88426,0.8849,0.88422,0.88507,0.884645,0.8847299999999999,0.8847725,0.8846125,224,2020-12-21 03:30:00
20,USDCHF_i,0.8849,0.88546,0.88489,0.8856,0.8852450000000001,0.8853166666666668,0.8853525000000001,0.8852125000000001,314,2020-12-21 03:45:00
21,USDCHF_i,0.88546,0.88526,0.8851,0.88547,0.885285,0.8852766666666666,0.8852725,0.8853225,133,2020-12-21 04:00:00
22,USDCHF_i,0.88526,0.88556,0.88523,0.88558,0.885405,0.8854566666666667,0.8854825,0.8854075,200,2020-12-21 04:15:00
23,USDCHF_i,0.88556,0.88608,0.88553,0.88662,0.886075,0.8860766666666665,0.8860774999999999,0.8859474999999999,404,2020-12-21 04:30:00
24,USDCHF_i,0.88608,0.88601,0.88585,0.88625,0.88605,0.8860366666666666,0.8860299999999999,0.8860474999999999,230,2020-12-21 04:45:00
25,USDCHF_i,0.88601,0.88624,0.88601,0.8864,0.8862049999999999,0.8862166666666665,0.8862224999999999,0.8861649999999999,155,2020-12-21 05:00:00
26,USDCHF_i,0.88624,0.88644,0.88616,0.88645,0.8863049999999999,0.8863499999999999,0.8863724999999999,0.8863224999999999,137,2020-12-21 05:15:00
27,USDCHF_i,0.88644,0.88633,0.8863,0.88649,0.886395,0.8863733333333333,0.8863625,0.88639,132,2020-12-21 05:30:00
28,USDCHF_i,0.88633,0.88654,0.88633,0.88655,0.8864399999999999,0.8864733333333333,0.88649,0.8864375,115,2020-12-21 05:45:00
29,USDCHF_i,0.88654,0.88631,0.88631,0.88656,0.8864350000000001,0.8863933333333334,0.8863725,0.88643,92,2020-12-21 06:00:00
30,USDCHF_i,0.88631,0.88659,0.88631,0.88663,0.8864700000000001,0.88651,0.88653,0.88646,158,2020-12-21 06:15:00
31,USDCHF_i,0.88659,0.88645,0.88632,0.88663,0.886475,0.8864666666666666,0.8864624999999999,0.8864974999999999,129,2020-12-21 06:30:00
32,USDCHF_i,0.88648,0.88648,0.8864,0.88664,0.88652,0.8865066666666667,0.8865000000000001,0.8865000000000001,121,2020-12-21 06:45:00
33,USDCHF_i,0.88648,0.88651,0.88634,0.88677,0.886555,0.88654,0.8865325,0.886525,180,2020-12-21 07:00:00
34,USDCHF_i,0.88651,0.88671,0.88651,0.88682,0.886665,0.88668,0.8866875,0.8866375,181,2020-12-21 07:15:00
35,USDCHF_i,0.88671,0.88641,0.88637,0.88671,0.88654,0.8864966666666666,0.886475,0.88655,149,2020-12-21 07:30:00
36,USDCHF_i,0.88641,0.88624,0.88624,0.88656,0.8864000000000001,0.8863466666666667,0.88632,0.8863625,146,2020-12-21 07:45:00
