,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDCHF_i,0.67285,0.67333,0.67279,0.67353,0.67316,0.6732166666666667,0.673245,0.673125,454,2020-12-18 22:45:00
1,AUDCHF_i,0.67329,0.67313,0.67306,0.67334,0.6732,0.6731766666666666,0.673165,0.673205,262,2020-12-18 23:00:00
2,AUDCHF_i,0.67313,0.67274,0.67269,0.67318,0.6729350000000001,0.6728700000000001,0.6728375000000001,0.6729350000000001,130,2020-12-18 23:15:00
3,AUDCHF_i,0.67275,0.6729,0.67274,0.67313,0.6729350000000001,0.6729233333333333,0.6729175000000001,0.6728799999999999,93,2020-12-18 23:30:00
4,AUDCHF_i,0.6729,0.67284,0.67281,0.67315,0.67298,0.6729333333333334,0.67291,0.672925,80,2020-12-18 23:45:00
5,AUDCHF_i,0.67152,0.67208,0.67115,0.67219,0.67167,0.6718066666666666,0.671875,0.671735,103,2020-12-21 00:00:00
6,AUDCHF_i,0.6719,0.67199,0.67153,0.67212,0.671825,0.6718799999999999,0.6719075,0.671885,52,2020-12-21 00:15:00
7,AUDCHF_i,0.67202,0.6721,0.67182,0.67253,0.672175,0.6721499999999999,0.6721374999999999,0.6721174999999999,93,2020-12-21 00:30:00
8,AUDCHF_i,0.67212,0.67237,0.67204,0.67241,0.672225,0.6722733333333334,0.6722975,0.672235,44,2020-12-21 00:45:00
9,AUDCHF_i,0.67237,0.67176,0.67151,0.67242,0.671965,0.6718966666666667,0.6718625,0.672015,196,2020-12-21 01:00:00
10,AUDCHF_i,0.67177,0.67238,0.67177,0.67246,0.672115,0.6722033333333334,0.6722475,0.672095,270,2020-12-21 01:15:00
11,AUDCHF_i,0.67236,0.67159,0.67147,0.67236,0.671915,0.6718066666666668,0.6717525000000001,0.671945,337,2020-12-21 01:30:00
12,AUDCHF_i,0.67159,0.67182,0.67152,0.67185,0.671685,0.67173,0.6717525,0.671695,270,2020-12-21 01:45:00
13,AUDCHF_i,0.67183,0.67188,0.67177,0.67239,0.67208,0.6720133333333335,0.67198,0.6719675,393,2020-12-21 02:00:00
14,AUDCHF_i,0.67189,0.67178,0.67141,0.67196,0.671685,0.6717166666666667,0.6717325000000001,0.67176,394,2020-12-21 02:15:00
15,AUDCHF_i,0.67183,0.67208,0.67172,0.67236,0.67204,0.6720533333333334,0.6720600000000001,0.6719975,324,2020-12-21 02:30:00
16,AUDCHF_i,0.67202,0.67151,0.67151,0.67206,0.6717850000000001,0.6716933333333334,0.6716475000000001,0.671775,273,2020-12-21 02:45:00
17,AUDCHF_i,0.67151,0.67216,0.67151,0.67218,0.671845,0.6719499999999999,0.6720025,0.67184,410,2020-12-21 03:00:00
18,AUDCHF_i,0.67216,0.67172,0.67161,0.67221,0.67191,0.6718466666666667,0.671815,0.671925,311,2020-12-21 03:15:00
19,AUDCHF_i,0.67173,0.67188,0.67156,0.67196,0.67176,0.6718000000000001,0.6718200000000001,0.6717825000000001,440,2020-12-21 03:30:00
20,AUDCHF_i,0.67187,0.67159,0.67107,0.67198,0.671525,0.6715466666666666,0.6715575,0.6716275,633,2020-12-21 03:45:00
21,AUDCHF_i,0.67164,0.67155,0.67153,0.67204,0.671785,0.6717066666666667,0.6716675,0.67169,360,2020-12-21 04:00:00
22,AUDCHF_i,0.67156,0.67137,0.67125,0.67156,0.671405,0.6713933333333334,0.6713875,0.671435,321,2020-12-21 04:15:00
23,AUDCHF_i,0.67136,0.67061,0.67033,0.67149,0.67091,0.67081,0.67076,0.6709475,633,2020-12-21 04:30:00
24,AUDCHF_i,0.6706,0.67045,0.67036,0.67101,0.670685,0.6706066666666667,0.6705675,0.670605,430,2020-12-21 04:45:00
25,AUDCHF_i,0.67045,0.67097,0.67045,0.67105,0.67075,0.6708233333333333,0.67086,0.67073,372,2020-12-21 05:00:00
26,AUDCHF_i,0.67097,0.67089,0.67068,0.67104,0.67086,0.67087,0.670875,0.670895,268,2020-12-21 05:15:00
27,AUDCHF_i,0.67093,0.67091,0.67068,0.67095,0.670815,0.6708466666666667,0.6708625,0.6708675,231,2020-12-21 05:30:00
28,AUDCHF_i,0.67089,0.67108,0.67089,0.67121,0.6710499999999999,0.6710599999999999,0.6710649999999999,0.6710174999999999,197,2020-12-21 05:45:00
29,AUDCHF_i,0.6711,0.67121,0.67101,0.67129,0.67115,0.67117,0.67118,0.6711525,170,2020-12-21 06:00:00
30,AUDCHF_i,0.67122,0.67097,0.67097,0.67143,0.6712,0.6711233333333334,0.671085,0.6711475,245,2020-12-21 06:15:00
31,AUDCHF_i,0.67101,0.6707,0.67064,0.6711,0.6708700000000001,0.6708133333333334,0.6707850000000001,0.6708625,285,2020-12-21 06:30:00
32,AUDCHF_i,0.6707,0.67084,0.67063,0.67101,0.67082,0.6708266666666667,0.67083,0.670795,205,2020-12-21 06:45:00
33,AUDCHF_i,0.67085,0.67068,0.67032,0.67095,0.6706350000000001,0.6706500000000001,0.6706575,0.6707000000000001,315,2020-12-21 07:00:00
34,AUDCHF_i,0.67069,0.67036,0.67025,0.67078,0.670515,0.6704633333333333,0.6704375,0.67052,359,2020-12-21 07:15:00
35,AUDCHF_i,0.67034,0.67013,0.67009,0.67045,0.6702699999999999,0.6702233333333333,0.6701999999999999,0.6702524999999999,301,2020-12-21 07:30:00
36,AUDCHF_i,0.67015,0.67019,0.66983,0.67048,0.6701550000000001,0.6701666666666667,0.6701725,0.6701625,335,2020-12-21 07:45:00
37,AUDCHF_i,0.67019,0.66996,0.66996,0.67042,0.6701900000000001,0.6701133333333334,0.6700750000000001,0.6701325,380,2020-12-21 08:00:00
38,AUDCHF_i,0.66997,0.67036,0.66996,0.67041,0.670185,0.6702433333333334,0.6702725,0.670175,320,2020-12-21 08:15:00
39,AUDCHF_i,0.67036,0.66996,0.66993,0.67048,0.6702049999999999,0.6701233333333333,0.6700825,0.6701825,326,2020-12-21 08:30:00
