,_DXY,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,_DXY,93.64,93.72,93.6,93.73,93.66499999999999,93.68333333333332,93.6925,93.67249999999999,459,2020-09-22 16:30:00
1,_DXY,93.72,93.81,93.71,93.85,93.78,93.79,93.795,93.77250000000001,362,2020-09-22 16:45:00
2,_DXY,93.82,93.81,93.79,93.84,93.815,93.81333333333333,93.8125,93.815,405,2020-09-22 17:00:00
3,_DXY,93.81,93.78,93.78,93.83,93.805,93.79666666666667,93.79249999999999,93.8,321,2020-09-22 17:15:00
4,_DXY,93.79,93.97,93.77,93.97,93.87,93.90333333333335,93.92000000000002,93.87500000000001,484,2020-09-22 17:30:00
5,_DXY,93.97,94.05,93.94,94.05,93.995,94.01333333333334,94.02250000000001,94.0025,394,2020-09-22 17:45:00
6,_DXY,94.05,94.02,94.01,94.09,94.05000000000001,94.04,94.035,94.0425,361,2020-09-22 18:00:00
7,_DXY,94.02,94.0,93.98,94.02,94.0,94.0,94.0,94.005,283,2020-09-22 18:15:00
8,_DXY,94.0,94.06,93.99,94.06,94.025,94.03666666666668,94.0425,94.0275,243,2020-09-22 18:30:00
9,_DXY,94.06,94.06,94.04,94.11,94.075,94.07000000000001,94.06750000000001,94.06750000000001,290,2020-09-22 18:45:00
10,_DXY,94.07,94.03,94.0,94.07,94.035,94.03333333333335,94.0325,94.0425,265,2020-09-22 19:00:00
11,_DXY,94.04,94.02,93.98,94.06,94.02000000000001,94.02,94.02,94.025,202,2020-09-22 19:15:00
12,_DXY,94.02,94.04,94.02,94.05,94.035,94.03666666666668,94.03750000000001,94.0325,109,2020-09-22 19:30:00
13,_DXY,94.05,94.02,94.01,94.05,94.03,94.02666666666666,94.02499999999999,94.0325,51,2020-09-22 20:00:00
14,_DXY,94.02,93.98,93.97,94.03,94.0,93.99333333333334,93.99000000000001,94.0,154,2020-09-22 20:15:00
15,_DXY,93.98,94.0,93.96,94.0,93.97999999999999,93.98666666666666,93.99,93.985,119,2020-09-22 20:30:00
16,_DXY,94.0,94.01,93.98,94.02,94.0,94.00333333333333,94.005,94.0025,118,2020-09-22 20:45:00
17,_DXY,94.01,93.99,93.98,94.03,94.005,94.0,93.9975,94.0025,134,2020-09-22 21:00:00
