,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPCHF_i,1.1922,1.19257,1.19186,1.19282,1.19234,1.1924166666666667,1.1924549999999998,1.1923625,775,2020-12-18 22:45:00
1,GBPCHF_i,1.19255,1.19173,1.1917200000000001,1.19286,1.19229,1.1921033333333335,1.19201,1.192215,488,2020-12-18 23:00:00
2,GBPCHF_i,1.19173,1.19069,1.19058,1.19184,1.1912099999999999,1.1910366666666665,1.19095,1.1912099999999999,220,2020-12-18 23:15:00
3,GBPCHF_i,1.19074,1.19133,1.19074,1.19177,1.191255,1.19128,1.1912924999999999,1.191145,221,2020-12-18 23:30:00
4,GBPCHF_i,1.19133,1.19183,1.19133,1.19198,1.191655,1.1917133333333332,1.1917425,1.1916175,203,2020-12-18 23:45:00
5,GBPCHF_i,1.18642,1.18839,1.1864,1.18875,1.1875749999999998,1.1878466666666665,1.1879825,1.18749,121,2020-12-21 00:00:00
6,GBPCHF_i,1.1887,1.18886,1.18777,1.18914,1.188455,1.18859,1.1886575000000001,1.1886175,102,2020-12-21 00:15:00
7,GBPCHF_i,1.18886,1.18916,1.18795,1.18916,1.188555,1.1887566666666667,1.1888575000000001,1.1887825,123,2020-12-21 00:30:00
8,GBPCHF_i,1.18915,1.18848,1.18752,1.18916,1.18834,1.1883866666666665,1.18841,1.1885774999999998,93,2020-12-21 00:45:00
9,GBPCHF_i,1.18845,1.18785,1.18778,1.18855,1.1881650000000001,1.1880600000000001,1.1880075,1.1881575,271,2020-12-21 01:00:00
10,GBPCHF_i,1.18786,1.18736,1.18736,1.18835,1.1878549999999999,1.18769,1.1876075,1.1877324999999999,305,2020-12-21 01:15:00
11,GBPCHF_i,1.18732,1.18669,1.18591,1.18732,1.186615,1.18664,1.1866525,1.18681,477,2020-12-21 01:30:00
12,GBPCHF_i,1.18669,1.18666,1.18638,1.18716,1.18677,1.1867333333333334,1.186715,1.1867225000000001,295,2020-12-21 01:45:00
13,GBPCHF_i,1.18666,1.18701,1.18666,1.18773,1.187195,1.1871333333333334,1.1871025,1.187015,580,2020-12-21 02:00:00
14,GBPCHF_i,1.18701,1.18674,1.18627,1.18726,1.1867649999999998,1.1867566666666665,1.1867524999999999,1.18682,601,2020-12-21 02:15:00
15,GBPCHF_i,1.18673,1.18649,1.18613,1.18702,1.186575,1.1865466666666666,1.1865325,1.1865925,458,2020-12-21 02:30:00
16,GBPCHF_i,1.1865,1.18619,1.18591,1.18671,1.18631,1.1862700000000002,1.18625,1.1863275,641,2020-12-21 02:45:00
17,GBPCHF_i,1.18619,1.18565,1.1855,1.18624,1.18587,1.1857966666666666,1.18576,1.185895,518,2020-12-21 03:00:00
18,GBPCHF_i,1.18565,1.18522,1.18502,1.1857,1.18536,1.1853133333333332,1.18529,1.1853974999999999,327,2020-12-21 03:15:00
19,GBPCHF_i,1.18524,1.18429,1.18423,1.18546,1.184845,1.18466,1.1845675,1.184805,545,2020-12-21 03:30:00
20,GBPCHF_i,1.1843,1.18403,1.18293,1.18439,1.1836600000000002,1.1837833333333334,1.183845,1.1839125,961,2020-12-21 03:45:00
21,GBPCHF_i,1.18402,1.18325,1.18325,1.18428,1.183765,1.1835933333333333,1.1835075,1.1837,399,2020-12-21 04:00:00
22,GBPCHF_i,1.18325,1.18269,1.18243,1.18343,1.18293,1.18285,1.18281,1.18295,699,2020-12-21 04:15:00
23,GBPCHF_i,1.18269,1.18314,1.18217,1.18315,1.1826599999999998,1.1828199999999998,1.1828999999999998,1.1827874999999999,903,2020-12-21 04:30:00
24,GBPCHF_i,1.18313,1.18231,1.18229,1.184,1.1831450000000001,1.1828666666666667,1.1827275000000002,1.1829325000000002,586,2020-12-21 04:45:00
25,GBPCHF_i,1.18232,1.18183,1.1817,1.18281,1.182255,1.1821133333333333,1.1820424999999999,1.182165,458,2020-12-21 05:00:00
26,GBPCHF_i,1.18183,1.1821,1.18179,1.18225,1.18202,1.1820466666666667,1.18206,1.1819925,320,2020-12-21 05:15:00
27,GBPCHF_i,1.1821,1.18339,1.18207,1.1834500000000001,1.18276,1.18297,1.183075,1.1827525,424,2020-12-21 05:30:00
28,GBPCHF_i,1.18339,1.18364,1.18329,1.18408,1.183685,1.18367,1.1836625,1.1836,328,2020-12-21 05:45:00
29,GBPCHF_i,1.18364,1.18399,1.18309,1.18401,1.1835499999999999,1.1836966666666666,1.18377,1.1836825,297,2020-12-21 06:00:00
30,GBPCHF_i,1.18399,1.18485,1.18387,1.18504,1.184455,1.1845866666666667,1.1846524999999999,1.1844375,476,2020-12-21 06:15:00
31,GBPCHF_i,1.18485,1.1844999999999999,1.1843,1.18489,1.1845949999999998,1.1845633333333332,1.1845474999999999,1.1846349999999999,301,2020-12-21 06:30:00
32,GBPCHF_i,1.1844999999999999,1.18438,1.18432,1.18464,1.18448,1.1844466666666666,1.1844299999999999,1.18446,236,2020-12-21 06:45:00
33,GBPCHF_i,1.18438,1.18424,1.1835499999999999,1.18447,1.1840099999999998,1.1840866666666665,1.1841249999999999,1.1841599999999999,427,2020-12-21 07:00:00
34,GBPCHF_i,1.18424,1.18352,1.18336,1.18451,1.183935,1.1837966666666666,1.1837274999999998,1.1839075,562,2020-12-21 07:15:00
35,GBPCHF_i,1.18352,1.18356,1.18325,1.18387,1.18356,1.18356,1.18356,1.1835499999999999,424,2020-12-21 07:30:00
36,GBPCHF_i,1.18356,1.18442,1.1835,1.18442,1.18396,1.1841133333333334,1.18419,1.183975,300,2020-12-21 07:45:00
37,GBPCHF_i,1.18442,1.18331,1.18329,1.18462,1.183955,1.18374,1.1836325,1.18391,408,2020-12-21 08:00:00
38,GBPCHF_i,1.18329,1.18319,1.18276,1.18334,1.1830500000000002,1.1830966666666667,1.18312,1.1831450000000001,472,2020-12-21 08:15:00
39,GBPCHF_i,1.1832,1.18386,1.18306,1.18437,1.1837149999999999,1.1837633333333333,1.1837875,1.1836225,539,2020-12-21 08:30:00
40,GBPCHF_i,1.18384,1.18395,1.18372,1.18438,1.18405,1.1840166666666667,1.1840000000000002,1.1839725,521,2020-12-21 08:45:00
41,GBPCHF_i,1.18411,1.1831,1.1825700000000001,1.18414,1.1833550000000002,1.18327,1.1832275,1.18348,789,2020-12-21 09:00:00
42,GBPCHF_i,1.18307,1.18093,1.18036,1.18321,1.181785,1.1815,1.1813575,1.1818925,1092,2020-12-21 09:15:00
43,GBPCHF_i,1.18098,1.17896,1.17844,1.1810100000000001,1.179725,1.17947,1.1793425,1.1798475,1285,2020-12-21 09:30:00
44,GBPCHF_i,1.17896,1.17992,1.17835,1.18023,1.17929,1.1795,1.179605,1.179365,1254,2020-12-21 09:45:00
45,GBPCHF_i,1.17992,1.1795200000000001,1.17869,1.18017,1.17943,1.17946,1.179475,1.179575,1798,2020-12-21 10:00:00
46,GBPCHF_i,1.1795200000000001,1.17725,1.17719,1.17961,1.1784,1.1780166666666665,1.177825,1.1783925,1400,2020-12-21 10:15:00
47,GBPCHF_i,1.17726,1.1756,1.17548,1.17808,1.17678,1.1763866666666667,1.17619,1.176605,1595,2020-12-21 10:30:00
48,GBPCHF_i,1.1756,1.17411,1.17346,1.17566,1.17456,1.17441,1.174335,1.1747075,1017,2020-12-21 10:45:00
49,GBPCHF_i,1.17411,1.17408,1.17374,1.17513,1.174435,1.1743166666666667,1.1742575,1.174265,1123,2020-12-21 11:00:00
50,GBPCHF_i,1.17408,1.17441,1.1734,1.17442,1.17391,1.1740766666666667,1.17416,1.1740775,998,2020-12-21 11:15:00
51,GBPCHF_i,1.17441,1.17443,1.17317,1.17465,1.17391,1.1740833333333334,1.1741700000000002,1.174165,1211,2020-12-21 11:30:00
52,GBPCHF_i,1.17442,1.17417,1.17331,1.175,1.174155,1.1741599999999999,1.1741625,1.1742249999999999,1515,2020-12-21 11:45:00
53,GBPCHF_i,1.17423,1.17586,1.17327,1.17664,1.174955,1.1752566666666666,1.1754075,1.1749999999999998,1689,2020-12-21 12:00:00
54,GBPCHF_i,1.17585,1.17696,1.17475,1.17696,1.1758549999999999,1.1762233333333334,1.1764075,1.1761300000000001,2042,2020-12-21 12:15:00
55,GBPCHF_i,1.17696,1.17651,1.1757,1.17737,1.1765349999999999,1.1765266666666665,1.1765225,1.1766349999999999,1790,2020-12-21 12:30:00
56,GBPCHF_i,1.17652,1.1784,1.17633,1.17902,1.177675,1.1779166666666667,1.1780374999999998,1.1775674999999999,1583,2020-12-21 12:45:00
57,GBPCHF_i,1.1784,1.1777199999999999,1.17636,1.17854,1.1774499999999999,1.1775399999999998,1.1775849999999999,1.1777549999999999,1505,2020-12-21 13:00:00
58,GBPCHF_i,1.17771,1.1766,1.1766,1.17813,1.177365,1.17711,1.1769825,1.17726,992,2020-12-21 13:15:00
59,GBPCHF_i,1.1766,1.17919,1.17656,1.17945,1.1780050000000002,1.1784000000000001,1.1785975000000002,1.17795,1546,2020-12-21 13:30:00
60,GBPCHF_i,1.17921,1.17895,1.1773,1.17931,1.178305,1.17852,1.1786275,1.1786925,1237,2020-12-21 13:45:00
61,GBPCHF_i,1.17895,1.17873,1.1774499999999999,1.1792799999999999,1.1783649999999999,1.1784866666666665,1.1785474999999999,1.1786024999999998,1312,2020-12-21 14:00:00
62,GBPCHF_i,1.17873,1.17959,1.17864,1.17973,1.179185,1.17932,1.1793875,1.1791725,1044,2020-12-21 14:15:00
63,GBPCHF_i,1.17959,1.17939,1.17882,1.1798899999999999,1.179355,1.1793666666666667,1.1793725,1.1794225,1022,2020-12-21 14:30:00
64,GBPCHF_i,1.17939,1.17907,1.17799,1.1794,1.178695,1.17882,1.1788825,1.1789625,1377,2020-12-21 14:45:00
65,GBPCHF_i,1.17902,1.17965,1.1788,1.18045,1.1796250000000001,1.1796333333333335,1.1796375000000001,1.17948,1553,2020-12-21 15:00:00
66,GBPCHF_i,1.17969,1.17889,1.17853,1.18001,1.17927,1.1791433333333334,1.17908,1.1792799999999999,1194,2020-12-21 15:15:00
67,GBPCHF_i,1.17889,1.18036,1.17883,1.18092,1.179875,1.1800366666666668,1.1801175000000002,1.17975,1280,2020-12-21 15:30:00
68,GBPCHF_i,1.18034,1.18108,1.17909,1.18117,1.1801300000000001,1.1804466666666666,1.180605,1.18042,1097,2020-12-21 15:45:00
69,GBPCHF_i,1.18105,1.18035,1.18019,1.18139,1.18079,1.1806433333333333,1.18057,1.180745,1060,2020-12-21 16:00:00
70,GBPCHF_i,1.18042,1.18066,1.18012,1.18082,1.1804700000000001,1.1805333333333334,1.180565,1.1805050000000001,1026,2020-12-21 16:15:00
71,GBPCHF_i,1.18064,1.17991,1.17958,1.1815,1.1805400000000001,1.18033,1.180225,1.1804075,1412,2020-12-21 16:30:00
72,GBPCHF_i,1.1799,1.1806,1.1792,1.18108,1.18014,1.1802933333333334,1.18037,1.1801949999999999,1391,2020-12-21 16:45:00
73,GBPCHF_i,1.1806,1.18069,1.18023,1.18177,1.181,1.1808966666666667,1.1808450000000001,1.1808225,1373,2020-12-21 17:00:00
