,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,low,117,611,14,macds,181,80,6,21,0.83,1885,977,57,206,392,108,166,112,153,50,893,165,52,973,876,592,295,204,982,735,472,10,261,82,944,386,855,683,635,95,169,380,2384,26,538,28,101,102,4,387,22,18,0.19,0.55,15.75,18.91,15.41,16.36,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,False,-1.0,True,False
11,HL/2,477,784,35,macdh,128,175,6,33,0.75,2014,614,78,6,258,127,24,458,98,249,650,9,52,700,551,358,274,91,242,971,423,239,228,857,574,48,963,383,639,538,266,1317,2430,39,659,24,89,208,24,106,34,46,0.66,0.87,16.23,15.89,17.47,16.1,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,-1.0,True,False
12,HLC/3,310,1383,21,macds,167,119,6,24,0.6,1146,509,108,115,90,199,135,42,180,113,351,209,227,881,850,388,319,317,227,188,404,183,749,504,180,881,657,816,245,805,451,871,1255,39,891,281,794,197,33,299,8,42,0.97,0.14,15.57,19.25,18.68,18.73,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,-1.0,True,False
13,HLC/3,685,1259,31,macd,14,141,6,46,0.53,2688,138,45,141,183,74,233,609,218,149,902,209,225,416,186,648,490,88,111,714,239,21,512,262,252,38,44,309,114,556,359,1087,2125,18,581,26,65,32,35,394,46,9,0.31,0.44,15.98,16.42,17.02,15.45,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,-1.0,True,False
14,HLC/3,129,221,31,macd,209,179,6,22,0.11,2020,821,15,44,961,6,215,398,96,72,374,91,60,36,273,141,373,209,645,404,204,152,636,618,558,150,469,336,37,451,10,230,2432,48,845,2,59,198,12,423,39,16,0.79,0.38,19.53,15.16,18.73,15.66,True,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,-1.0,True,False
15,high,76,936,27,macdh,226,237,6,37,0.51,2767,90,138,132,911,26,100,945,71,116,669,159,50,181,45,907,476,17,118,847,318,171,39,471,630,550,718,419,500,857,95,436,1661,31,689,23,25,31,3,695,19,21,0.54,0.82,16.1,19.56,17.46,17.72,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,-1.0,True,False
16,open,96,690,29,macds,131,229,6,50,0.26,1593,532,250,185,902,93,245,601,76,207,48,134,160,426,626,454,72,26,187,56,493,433,741,320,561,332,217,372,604,881,113,654,2249,12,861,4,7,203,36,125,2,10,0.5,0.3,16.76,15.66,19.91,16.93,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,-1.0,True,False
17,HL/2,178,1302,10,macd,73,170,6,41,0.78,862,794,12,204,579,22,245,337,199,43,557,31,11,611,739,526,314,181,219,947,126,5,761,755,399,688,549,252,938,311,99,1187,2012,7,853,40,81,195,31,269,24,49,0.83,0.91,19.91,18.55,18.24,15.3,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,-1.0,True,False
18,OHLC/4,240,368,31,macds,162,12,6,27,0.54,1642,464,214,117,341,239,225,531,249,210,706,225,11,473,839,578,249,95,898,277,107,31,579,40,282,704,883,845,310,39,393,865,270,30,97,123,130,107,1,273,50,11,0.32,0.54,17.22,17.3,15.61,15.37,True,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,-1.0,True,False
19,HLCC/4,692,711,7,macds,158,211,6,44,0.42,1890,996,2,163,492,121,46,113,85,182,540,203,3,870,812,705,449,443,244,186,449,209,842,400,235,921,571,87,42,785,189,605,1324,21,362,15,81,163,16,469,22,29,0.49,0.12,17.8,15.54,17.44,18.59,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,-1.0,True,False
20,OHLC/4,410,581,24,macdh,99,183,6,4,0.83,1793,176,97,73,127,232,129,20,138,87,602,79,62,911,330,565,304,8,229,266,250,104,345,610,869,716,348,472,415,772,368,456,1990,25,499,38,41,63,8,868,44,25,0.87,0.05,16.66,16.19,18.13,17.01,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,False,-1.0,True,False
21,HLC/3,363,1284,40,macd,231,184,6,29,0.56,2984,621,50,230,398,244,173,461,45,103,803,103,39,62,705,394,150,132,465,350,234,104,503,322,62,189,636,697,93,801,314,576,1786,34,305,8,109,165,30,69,10,19,0.89,0.65,18.84,18.67,18.89,17.31,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,-1.0,True,False
22,low,16,1060,33,macdh,232,180,6,50,0.2,823,568,92,80,350,197,249,587,111,39,335,145,151,433,352,732,262,182,239,684,413,134,37,647,930,365,7,16,812,284,470,1190,2080,24,293,46,53,189,5,573,41,34,0.7,0.78,15.16,18.07,18.19,18.82,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,-1.0,True,False
23,close,476,604,5,macdh,127,41,6,42,0.67,591,806,210,41,847,51,47,390,34,168,989,202,171,535,965,566,470,38,453,245,66,26,32,190,765,788,635,984,268,820,218,1266,584,6,376,90,995,184,13,970,18,36,0.4,0.04,19.16,17.57,15.0,16.29,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,-1.0,True,False
