,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
50,low,139,210,32,macd,57,51,6,11,0.07,343,563,59,14,922,83,91,728,64,2,59,66,56,602,838,815,413,212,778,483,401,219,768,579,285,264,382,211,903,891,46,226,299,6,588,47,89,117,16,654,10,8,0.13,0.32,1.17,1.01,1.11,1.12,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True,-1.0,True,False
51,high,29,45,21,macdh,92,68,6,11,0.21,2152,779,24,6,976,58,26,354,62,50,861,5,81,318,588,504,220,68,924,158,336,246,440,341,414,393,444,211,199,154,43,171,208,7,938,4,54,165,9,877,23,15,0.19,0.12,1.04,0.93,1.12,0.98,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,-1.0,True,False
52,high,76,306,38,macds,67,90,6,14,0.35,2330,962,16,99,701,27,59,125,69,17,111,59,44,356,560,525,315,281,887,660,362,205,162,348,530,167,743,526,957,361,39,151,141,7,875,49,110,207,11,303,16,14,0.03,0.03,1.18,1.02,1.06,0.93,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,-1.0,True,False
53,HL/2,6,210,9,macdh,35,31,6,1,0.32,265,803,71,7,582,52,64,673,52,85,843,65,37,509,765,647,87,73,564,407,395,215,704,420,633,967,112,776,655,377,38,264,217,20,587,26,53,176,17,930,14,5,0.12,0.29,1.08,0.99,0.93,1.0,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,-1.0,True,False
54,OHLC/4,57,235,42,macdh,33,40,6,17,0.18,664,487,91,64,472,66,22,843,66,33,310,19,6,960,885,227,205,46,995,954,373,140,371,579,466,486,707,141,645,139,49,60,268,9,368,12,68,8,5,146,25,24,0.05,0.23,1.06,1.04,1.0,1.07,False,False,False,True,True,False,True,True,True,False,True,False,True,False,True,True,False,-1.0,True,False
55,close,23,188,24,macdh,35,41,6,6,0.32,1937,346,7,11,468,72,72,250,45,77,330,33,100,719,729,533,212,9,286,487,145,50,721,54,94,251,692,297,781,717,51,125,170,7,394,2,30,175,16,201,10,21,0.08,0.35,0.91,0.94,0.95,1.15,False,True,True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,-1.0,True,False
56,close,88,220,19,macds,7,27,6,8,0.05,558,441,81,80,7,52,91,576,12,93,247,89,52,90,802,259,348,23,518,199,185,94,699,571,258,271,397,987,240,742,13,188,254,9,702,5,18,76,20,310,12,17,0.22,0.23,0.94,1.1,1.14,0.99,True,True,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,-1.0,True,False
57,HL/2,8,298,49,macd,19,67,6,15,0.17,1082,258,33,85,977,7,4,542,2,96,482,51,79,900,647,522,392,229,635,492,279,223,621,932,595,357,998,160,938,860,16,85,411,12,86,11,63,168,10,751,23,20,0.06,0.28,1.17,1.05,1.13,1.2,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,-1.0,True,False
58,OHLC/4,8,23,49,macdh,97,61,6,6,0.31,2539,557,8,34,979,100,82,726,42,70,97,37,63,558,636,505,444,368,896,572,485,237,908,489,645,998,831,695,613,942,49,127,577,5,66,15,91,170,10,385,15,13,0.07,0.2,1.2,0.9,1.09,0.93,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,-1.0,True,False
59,open,144,291,19,macdh,100,11,6,17,0.17,773,971,86,45,646,72,84,896,98,98,649,26,43,528,818,126,160,134,962,522,340,183,965,210,625,7,516,24,399,467,25,66,375,16,428,24,81,38,12,734,4,14,0.25,0.04,0.96,0.99,0.9,1.08,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,-1.0,True,False
