,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
201,HLCC/4,784,1000,40,macd,230,141,6,3,0.03,2163,343,131,169,172,21,202,598,220,212,473,203,87,265,553,352,297,38,568,546,150,83,163,556,267,960,641,64,180,121,272,1351,1485,10,194,20,87,87,35,8,42,41,0.44,0.79,2,12,0.94,0.89,0.96,0.83,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,False,-1,True,False
202,high,524,753,10,macdh,58,195,6,8,0.57,1379,172,145,114,934,189,149,367,44,51,905,216,82,512,779,590,492,22,83,823,434,155,995,587,696,601,658,36,348,635,365,1078,843,27,342,235,1222,7,31,73,6,11,0.12,0.81,4,19,0.92,0.88,0.82,0.98,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True,-1,True,False
203,HLC/3,100,872,36,macds,48,18,6,12,0.89,58,557,76,172,842,58,175,707,48,30,918,236,192,804,701,684,317,313,838,607,110,15,956,409,715,757,535,567,477,868,263,843,1089,36,676,24,100,155,25,549,44,17,0.29,0.68,35,37,0.8,0.98,0.86,0.83,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,True,-1,True,False
204,high,368,929,20,macd,212,94,6,18,0.25,2599,386,223,249,843,51,85,753,237,199,8,145,141,958,888,268,406,388,898,392,146,11,880,173,957,515,381,330,192,838,185,274,233,9,539,22,74,154,23,835,5,26,0.88,0.01,9,19,0.84,0.93,0.88,0.89,False,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,False,-1,True,False
205,HLC/3,755,1445,14,macds,41,249,6,11,0.13,2981,480,75,209,383,188,166,832,99,177,524,189,97,769,617,976,341,210,956,805,304,180,243,44,799,400,101,99,498,50,413,1368,500,7,786,17,103,58,30,793,13,27,0.91,0.75,3,4,0.99,0.91,0.83,0.84,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,False,False,-1,True,False
206,low,236,1414,15,macd,219,235,6,6,0.9,586,284,23,122,356,219,192,754,55,179,269,28,183,256,593,589,145,41,154,793,187,168,100,875,245,111,183,815,385,792,95,302,807,43,545,21,73,25,13,178,46,49,0.88,0.27,5,40,0.96,0.86,0.88,0.86,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,-1,True,False
207,OHLC/4,689,925,45,macd,242,209,6,40,0.53,791,406,137,3,913,107,64,813,239,217,921,77,238,211,578,797,177,72,884,509,373,143,781,316,921,837,620,460,50,835,29,327,49,30,97,3,71,190,28,583,35,20,0.92,0.57,14,13,0.0,0.0,0.0,0.0,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,-1,True,False
208,close,117,481,44,macd,88,21,6,3,0.96,1491,183,108,103,98,70,171,650,143,73,827,99,69,383,628,159,356,95,676,218,128,34,566,98,169,431,15,816,442,242,258,951,1387,43,999,22,53,32,50,873,22,4,0.59,0.55,10,12,0.8,0.87,0.81,0.98,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,False,-1,True,False
209,open,629,660,35,macds,211,59,6,38,0.39,1047,501,88,56,630,61,192,533,248,173,375,14,190,208,889,657,51,29,991,264,415,287,989,390,720,603,730,772,830,479,495,912,1181,33,948,5,49,45,5,207,6,42,0.38,0.44,31,18,0.82,0.85,0.89,0.93,True,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True,True,-1,True,False
210,close,49,557,33,macdh,50,23,6,44,0.95,1635,249,201,163,439,67,45,724,168,212,693,14,15,227,832,813,289,109,937,491,67,17,142,521,9,742,672,729,91,105,218,920,849,37,401,12,102,87,50,370,12,41,0.01,0.83,25,24,0.86,0.94,0.87,0.87,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,False,-1,True,False
