,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CAC40_i,5541.1,5540.2,5535.2,5549.2,5542.2,5541.533333333333,5541.2,5541.424999999999,1877,2020-12-11 00:00:00
1,CAC40_i,5540.7,5533.2,5526.2,5541.2,5533.7,5533.533333333333,5533.45,5535.325,1417,2020-12-11 04:00:00
2,CAC40_i,5532.7,5493.2,5473.8,5538.7,5506.25,5501.900000000001,5499.725,5509.6,8260,2020-12-11 08:00:00
3,CAC40_i,5493.2,5509.2,5462.2,5509.7,5485.95,5493.7,5497.575,5493.575,8888,2020-12-11 12:00:00
4,CAC40_i,5509.2,5499.7,5489.7,5526.7,5508.2,5505.366666666666,5503.95,5506.325,7943,2020-12-11 16:00:00
5,CAC40_i,5499.7,5519.4,5497.7,5521.2,5509.45,5512.766666666666,5514.424999999999,5509.5,3491,2020-12-11 20:00:00
6,CAC40_i,5531.1,5535.6,5523.1,5542.6,5532.85,5533.766666666667,5534.225,5533.1,2022,2020-12-14 00:00:00
7,CAC40_i,5535.6,5526.6,5522.6,5536.6,5529.6,5528.600000000001,5528.1,5530.35,1213,2020-12-14 04:00:00
8,CAC40_i,5526.1,5549.7,5524.1,5563.7,5543.9,5545.833333333333,5546.8,5540.9,8553,2020-12-14 08:00:00
9,CAC40_i,5549.7,5560.7,5548.2,5574.2,5561.2,5561.033333333333,5560.95,5558.2,5416,2020-12-14 12:00:00
10,CAC40_i,5560.7,5524.7,5522.2,5561.7,5541.95,5536.2,5533.325,5542.325,6815,2020-12-14 16:00:00
11,CAC40_i,5524.7,5506.7,5506.4,5527.7,5517.049999999999,5513.599999999999,5511.875,5516.375,3494,2020-12-14 20:00:00
12,CAC40_i,5516.5,5511.5,5507.0,5520.0,5513.5,5512.833333333333,5512.5,5513.75,2106,2020-12-15 00:00:00
13,CAC40_i,5511.0,5515.0,5503.0,5517.0,5510.0,5511.666666666667,5512.5,5511.5,1942,2020-12-15 04:00:00
14,CAC40_i,5515.0,5554.5,5504.9,5564.0,5534.45,5541.133333333334,5544.475,5534.6,7639,2020-12-15 08:00:00
15,CAC40_i,5555.0,5546.0,5530.0,5557.0,5543.5,5544.333333333333,5544.75,5547.0,5385,2020-12-15 12:00:00
16,CAC40_i,5546.0,5547.0,5521.5,5549.0,5535.25,5539.166666666667,5541.125,5540.875,7184,2020-12-15 16:00:00
17,CAC40_i,5547.0,5559.7,5545.0,5561.0,5553.0,5555.233333333334,5556.35,5553.175,2621,2020-12-15 20:00:00
18,CAC40_i,5555.8,5543.8,5541.3,5557.8,5549.55,5547.633333333334,5546.675,5549.675,1448,2020-12-16 00:00:00
19,CAC40_i,5543.8,5548.3,5543.8,5555.3,5549.55,5549.133333333334,5548.925,5547.8,803,2020-12-16 04:00:00
20,CAC40_i,5548.3,5574.4,5545.8,5589.4,5567.6,5569.866666666666,5571.0,5564.474999999999,7407,2020-12-16 08:00:00
21,CAC40_i,5574.4,5531.9,5531.4,5580.9,5556.15,5548.066666666666,5544.025,5554.65,6012,2020-12-16 12:00:00
22,CAC40_i,5531.4,5548.4,5513.5,5551.4,5532.45,5537.766666666666,5540.424999999999,5536.174999999999,6385,2020-12-16 16:00:00
23,CAC40_i,5548.4,5551.1,5538.4,5558.4,5548.4,5549.3,5549.75,5549.075000000001,3212,2020-12-16 20:00:00
24,CAC40_i,5554.6,5546.6,5543.6,5555.6,5549.6,5548.600000000001,5548.1,5550.1,1425,2020-12-17 00:00:00
25,CAC40_i,5546.6,5564.6,5544.6,5566.6,5555.6,5558.600000000001,5560.1,5555.6,1055,2020-12-17 04:00:00
26,CAC40_i,5564.6,5564.3,5558.2,5587.3,5572.75,5569.933333333333,5568.525,5568.6,5857,2020-12-17 08:00:00
27,CAC40_i,5564.3,5563.3,5556.8,5575.8,5566.3,5565.3,5564.8,5565.05,5023,2020-12-17 12:00:00
28,CAC40_i,5563.3,5546.8,5538.9,5579.8,5559.35,5555.166666666667,5553.075,5557.2,6152,2020-12-17 16:00:00
29,CAC40_i,5546.8,5543.3,5536.3,5550.3,5543.3,5543.3,5543.3,5544.175,2180,2020-12-17 20:00:00
30,CAC40_i,5536.9,5529.6,5527.1,5539.6,5533.35,5532.100000000001,5531.475,5533.300000000001,1268,2020-12-18 00:00:00
31,CAC40_i,5529.1,5525.6,5516.1,5529.1,5522.6,5523.600000000001,5524.1,5524.975,993,2020-12-18 04:00:00
32,CAC40_i,5526.1,5550.6,5522.5,5581.6,5552.05,5551.566666666667,5551.325000000001,5545.200000000001,7129,2020-12-18 08:00:00
33,CAC40_i,5551.1,5528.1,5527.1,5559.0,5543.05,5538.066666666667,5535.575000000001,5541.325000000001,7922,2020-12-18 12:00:00
34,CAC40_i,5528.5,5517.6,5507.0,5537.6,5522.3,5520.733333333334,5519.950000000001,5522.675,7410,2020-12-18 16:00:00
35,CAC40_i,5517.6,5511.0,5498.0,5519.0,5508.5,5509.333333333333,5509.75,5511.4,3966,2020-12-18 20:00:00
36,CAC40_i,5494.6,5421.3,5417.8,5499.6,5458.700000000001,5446.233333333334,5440.0,5458.325000000001,4089,2020-12-21 00:00:00
37,CAC40_i,5421.8,5440.6,5417.8,5441.6,5429.700000000001,5433.333333333334,5435.150000000001,5430.450000000001,1794,2020-12-21 04:00:00
38,CAC40_i,5440.1,5367.2,5359.7,5440.1,5399.9,5389.0,5383.55,5401.775,13812,2020-12-21 08:00:00
39,CAC40_i,5366.7,5354.8,5297.7,5386.7,5342.2,5346.400000000001,5348.5,5351.475,18453,2020-12-21 12:00:00
40,CAC40_i,5355.2,5423.4,5336.4,5424.5,5380.45,5394.766666666666,5401.924999999999,5384.875,12228,2020-12-21 16:00:00
41,CAC40_i,5423.5,5439.9,5421.5,5444.0,5432.75,5435.133333333333,5436.325,5432.225,5081,2020-12-21 20:00:00
