,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDUSD_i,0.75213,0.75768,0.75212,0.75789,0.7550049999999999,0.7558966666666667,0.7563425,0.754955,13855,2020-12-21 16:00:00
1,AUDUSD_i,0.75768,0.75823,0.75724,0.75983,0.758535,0.7584333333333332,0.7583825,0.758245,7161,2020-12-21 20:00:00
2,AUDUSD_i,0.75823,0.75695,0.75644,0.75902,0.75773,0.75747,0.7573399999999999,0.75766,5218,2020-12-22 00:00:00
3,AUDUSD_i,0.75695,0.75588,0.75513,0.75745,0.7562899999999999,0.7561533333333332,0.7560849999999999,0.7563525,5695,2020-12-22 04:00:00
4,AUDUSD_i,0.75588,0.7529,0.75282,0.75678,0.7548,0.7541666666666668,0.75385,0.754595,8183,2020-12-22 08:00:00
5,AUDUSD_i,0.75291,0.75518,0.75291,0.75685,0.75488,0.7549800000000001,0.7550300000000001,0.7544625,7286,2020-12-22 12:00:00
6,AUDUSD_i,0.75525,0.75307,0.75162,0.75576,0.75369,0.7534833333333334,0.75338,0.753925,11383,2020-12-22 16:00:00
7,AUDUSD_i,0.75307,0.75197,0.75175,0.75341,0.75258,0.7523766666666667,0.752275,0.75255,4281,2020-12-22 20:00:00
8,AUDUSD_i,0.75208,0.7538,0.75159,0.7554,0.753495,0.7535966666666667,0.7536475,0.7532175,6643,2020-12-23 00:00:00
9,AUDUSD_i,0.75381,0.7548,0.75337,0.75547,0.75442,0.7545466666666667,0.75461,0.7543625,4346,2020-12-23 04:00:00
10,AUDUSD_i,0.7548,0.75661,0.75458,0.75755,0.756065,0.7562466666666667,0.7563375000000001,0.755885,7011,2020-12-23 08:00:00
11,AUDUSD_i,0.75662,0.75621,0.75417,0.75725,0.75571,0.7558766666666666,0.75596,0.7560625,6372,2020-12-23 12:00:00
12,AUDUSD_i,0.75621,0.75735,0.75594,0.75908,0.7575099999999999,0.7574566666666666,0.7574299999999998,0.757145,10562,2020-12-23 16:00:00
13,AUDUSD_i,0.75735,0.75725,0.75692,0.75844,0.75768,0.7575366666666667,0.757465,0.75749,4153,2020-12-23 20:00:00
14,AUDUSD_i,0.75725,0.75862,0.75665,0.75933,0.7579899999999999,0.7582,0.758305,0.7579625,4308,2020-12-24 00:00:00
15,AUDUSD_i,0.75862,0.75849,0.75783,0.75952,0.758675,0.7586133333333334,0.7585825,0.758615,4210,2020-12-24 04:00:00
16,AUDUSD_i,0.75854,0.75939,0.75851,0.76023,0.75937,0.7593766666666667,0.7593799999999999,0.7591675,4944,2020-12-24 08:00:00
17,AUDUSD_i,0.75939,0.75992,0.75903,0.76058,0.7598050000000001,0.7598433333333334,0.7598625000000001,0.75973,4496,2020-12-24 12:00:00
18,AUDUSD_i,0.75992,0.76014,0.75908,0.76038,0.75973,0.7598666666666668,0.759935,0.7598800000000001,4865,2020-12-24 16:00:00
19,AUDUSD_i,0.76013,0.75923,0.75864,0.76037,0.759505,0.7594133333333333,0.7593675,0.7595924999999999,648,2020-12-24 20:00:00
20,AUDUSD_i,0.75992,0.7603,0.75859,0.76137,0.75998,0.7600866666666667,0.76014,0.7600450000000001,5236,2020-12-28 00:00:00
21,AUDUSD_i,0.7603,0.76133,0.76013,0.76148,0.760805,0.76098,0.7610675,0.76081,3620,2020-12-28 04:00:00
22,AUDUSD_i,0.76133,0.7611,0.76041,0.76219,0.7613000000000001,0.7612333333333333,0.7612,0.7612575,4733,2020-12-28 08:00:00
23,AUDUSD_i,0.7611,0.75873,0.75767,0.76114,0.759405,0.7591800000000001,0.7590675,0.75966,6880,2020-12-28 12:00:00
24,AUDUSD_i,0.75873,0.75709,0.75563,0.75987,0.75775,0.75753,0.75742,0.75783,6801,2020-12-28 16:00:00
25,AUDUSD_i,0.75709,0.75734,0.75664,0.75814,0.75739,0.7573733333333333,0.7573650000000001,0.7573025,3096,2020-12-28 20:00:00
