,CADCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CADCHF_i,0.68847,0.68996,0.68811,0.69048,0.689295,0.6895166666666667,0.6896275000000001,0.6892550000000001,10638,2020-12-21 16:00:00
1,CADCHF_i,0.68995,0.68846,0.68837,0.69003,0.6892,0.6889533333333334,0.68883,0.6892025,5773,2020-12-21 20:00:00
2,CADCHF_i,0.68846,0.68899,0.68815,0.68916,0.688655,0.6887666666666666,0.6888225,0.68869,3098,2020-12-22 00:00:00
3,CADCHF_i,0.68901,0.68838,0.6881,0.68931,0.688705,0.6885966666666666,0.6885425,0.6887,2436,2020-12-22 04:00:00
4,CADCHF_i,0.68839,0.68801,0.68788,0.68977,0.688825,0.6885533333333335,0.6884175000000001,0.6885125000000001,6576,2020-12-22 08:00:00
5,CADCHF_i,0.688,0.68638,0.68623,0.6885,0.687365,0.6870366666666667,0.6868725,0.6872775,6931,2020-12-22 12:00:00
6,CADCHF_i,0.68638,0.68843,0.68603,0.68854,0.687285,0.6876666666666668,0.6878575,0.6873450000000001,10176,2020-12-22 16:00:00
7,CADCHF_i,0.68843,0.68879,0.68825,0.68977,0.68901,0.6889366666666668,0.6889000000000001,0.68881,4203,2020-12-22 20:00:00
8,CADCHF_i,0.6888,0.68825,0.68788,0.689,0.6884399999999999,0.6883766666666666,0.688345,0.6884825,3331,2020-12-23 00:00:00
9,CADCHF_i,0.68825,0.68836,0.68818,0.68877,0.688475,0.6884366666666666,0.6884174999999999,0.68839,2809,2020-12-23 04:00:00
10,CADCHF_i,0.68833,0.69043,0.68832,0.69075,0.689535,0.6898333333333334,0.6899825,0.6894575000000001,5036,2020-12-23 08:00:00
11,CADCHF_i,0.69042,0.69095,0.69018,0.69159,0.690885,0.6909066666666667,0.6909175,0.690785,5753,2020-12-23 12:00:00
12,CADCHF_i,0.69096,0.69154,0.68965,0.69218,0.690915,0.6911233333333332,0.6912274999999999,0.6910824999999999,9322,2020-12-23 16:00:00
13,CADCHF_i,0.69153,0.69105,0.69033,0.69182,0.691075,0.6910666666666666,0.6910625,0.6911825,4125,2020-12-23 20:00:00
14,CADCHF_i,0.69063,0.69089,0.69022,0.69113,0.6906749999999999,0.6907466666666666,0.6907825,0.6907175,2746,2020-12-24 00:00:00
15,CADCHF_i,0.69091,0.69045,0.69029,0.69099,0.6906399999999999,0.6905766666666665,0.690545,0.6906599999999999,2441,2020-12-24 04:00:00
16,CADCHF_i,0.69046,0.69209,0.6904,0.69214,0.69127,0.6915433333333333,0.69168,0.6912725,4359,2020-12-24 08:00:00
17,CADCHF_i,0.6921,0.6933,0.69132,0.69335,0.692335,0.6926566666666667,0.6928175000000001,0.6925175,4433,2020-12-24 12:00:00
18,CADCHF_i,0.69331,0.69565,0.69319,0.69565,0.69442,0.6948300000000001,0.6950350000000001,0.69445,5833,2020-12-24 16:00:00
19,CADCHF_i,0.69563,0.69372,0.69326,0.69563,0.694445,0.6942033333333333,0.6940824999999999,0.69456,641,2020-12-24 20:00:00
20,CADCHF_i,0.69129,0.69246,0.69073,0.69336,0.692045,0.6921833333333334,0.6922525,0.69196,3679,2020-12-28 00:00:00
21,CADCHF_i,0.69246,0.69225,0.69192,0.69275,0.6923349999999999,0.6923066666666666,0.6922925,0.692345,2219,2020-12-28 04:00:00
22,CADCHF_i,0.69226,0.69323,0.69217,0.69416,0.693165,0.6931866666666666,0.6931974999999999,0.692955,3719,2020-12-28 08:00:00
23,CADCHF_i,0.69323,0.69286,0.69184,0.69396,0.6929000000000001,0.6928866666666668,0.69288,0.6929725,6542,2020-12-28 12:00:00
24,CADCHF_i,0.69284,0.69171,0.69045,0.69307,0.6917599999999999,0.6917433333333333,0.691735,0.6920175,6454,2020-12-28 16:00:00
25,CADCHF_i,0.69168,0.69147,0.69142,0.69259,0.692005,0.6918266666666666,0.6917374999999999,0.6917899999999999,3482,2020-12-28 20:00:00
26,CADCHF_i,0.69118,0.69184,0.69075,0.69227,0.6915100000000001,0.69162,0.691675,0.6915100000000001,2547,2020-12-29 00:00:00
27,CADCHF_i,0.69184,0.69153,0.69106,0.69186,0.69146,0.6914833333333332,0.691495,0.6915724999999999,2413,2020-12-29 04:00:00
28,CADCHF_i,0.69153,0.69068,0.68993,0.69176,0.690845,0.6907900000000001,0.6907625000000001,0.6909750000000001,4151,2020-12-29 08:00:00
29,CADCHF_i,0.69071,0.69162,0.69042,0.6928,0.6916100000000001,0.6916133333333333,0.691615,0.6913875,5042,2020-12-29 12:00:00
30,CADCHF_i,0.69162,0.68992,0.68974,0.69207,0.690905,0.6905766666666667,0.6904125,0.6908375,8493,2020-12-29 16:00:00
31,CADCHF_i,0.68993,0.68936,0.68925,0.69053,0.68989,0.6897133333333333,0.6896249999999999,0.6897675,4669,2020-12-29 20:00:00
32,CADCHF_i,0.68928,0.68903,0.68862,0.68985,0.689235,0.6891666666666666,0.6891324999999999,0.689195,3337,2020-12-30 00:00:00
33,CADCHF_i,0.68903,0.68927,0.689,0.68975,0.689375,0.68934,0.6893225,0.6892624999999999,2634,2020-12-30 04:00:00
