,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_m_i,13564.2,13574.8,13551.3,13580.3,13565.8,13568.799999999997,13570.3,13567.649999999998,11240,2020-02-06 20:00:00
1,GER40_m_i,13575.3,13553.3,13550.8,13580.2,13565.5,13561.433333333334,13559.400000000001,13564.900000000001,2731,2020-02-07 00:00:00
2,GER40_m_i,13537.0,13482.7,13482.2,13549.6,13515.900000000001,13504.833333333334,13499.3,13512.875,14988,2020-02-07 12:00:00
3,GER40_m_i,13482.7,13470.4,13465.3,13530.3,13497.8,13488.666666666666,13484.1,13487.175,15860,2020-02-07 16:00:00
4,GER40_m_i,13470.8,13477.8,13460.8,13523.9,13492.349999999999,13487.5,13485.075,13483.325,13187,2020-02-07 20:00:00
5,GER40_m_i,13489.7,13485.3,13445.3,13500.8,13473.05,13477.133333333331,13479.175,13480.274999999998,16147,2020-02-10 12:00:00
6,GER40_m_i,13486.2,13485.8,13446.3,13491.8,13469.05,13474.633333333331,13477.425,13477.524999999998,11582,2020-02-10 16:00:00
7,GER40_m_i,13485.3,13478.8,13463.2,13499.2,13481.2,13480.4,13480.0,13481.625,9777,2020-02-10 20:00:00
8,GER40_m_i,13479.2,13509.5,13472.7,13511.2,13491.95,13497.800000000001,13500.725,13493.150000000001,2235,2020-02-11 00:00:00
9,GER40_m_i,13596.4,13605.4,13554.0,13639.4,13596.7,13599.6,13601.050000000001,13598.800000000001,14465,2020-02-11 12:00:00
10,GER40_m_i,13605.9,13631.8,13596.7,13638.3,13617.5,13622.266666666668,13624.650000000001,13618.175000000001,10815,2020-02-11 16:00:00
11,GER40_m_i,13631.8,13633.0,13629.0,13670.8,13649.9,13644.266666666668,13641.45,13641.150000000001,10992,2020-02-11 20:00:00
12,GER40_m_i,13633.5,13612.4,13599.0,13634.0,13616.5,13615.133333333333,13614.45,13619.725,4372,2020-02-12 00:00:00
13,GER40_m_i,13678.5,13726.9,13654.4,13733.1,13693.75,13704.800000000001,13710.325,13698.225,14643,2020-02-12 12:00:00
14,GER40_m_i,13727.3,13739.3,13727.3,13762.7,13745.0,13743.1,13742.150000000001,13739.150000000001,10383,2020-02-12 16:00:00
15,GER40_m_i,13739.8,13761.1,13725.3,13762.1,13743.7,13749.5,13752.4,13747.075,9218,2020-02-12 20:00:00
16,GER40_m_i,13761.1,13775.1,13757.0,13777.6,13767.3,13769.9,13771.199999999999,13767.699999999999,2494,2020-02-13 00:00:00
17,GER40_m_i,13702.1,13617.8,13582.4,13723.1,13652.75,13641.1,13635.275000000001,13656.35,18776,2020-02-13 12:00:00
18,GER40_m_i,13617.8,13697.5,13603.8,13739.0,13671.4,13680.1,13684.45,13664.525000000001,18222,2020-02-13 16:00:00
19,GER40_m_i,13698.0,13759.8,13674.5,13769.4,13721.95,13734.566666666666,13740.875,13725.425,14370,2020-02-13 20:00:00
