,NQ100_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_m_i,11058.7,11077.8,10995.9,11089.5,11042.7,11054.4,11060.25,11055.474999999999,20078,2020-11-02 04:00:00
1,NQ100_m_i,11077.8,11069.8,11051.7,11106.2,11078.95,11075.9,11074.375,11076.375,13447,2020-11-02 08:00:00
2,NQ100_m_i,11069.5,11209.4,11059.4,11224.5,11141.95,11164.433333333334,11175.675000000001,11140.7,24081,2020-11-02 12:00:00
3,NQ100_m_i,11209.8,11191.0,11123.1,11225.8,11174.45,11179.966666666667,11182.725,11187.425,24218,2020-11-02 16:00:00
4,NQ100_m_i,11199.8,10962.2,10956.3,11222.8,11089.55,11047.1,11025.875,11085.275000000001,41609,2020-11-02 20:00:00
5,NQ100_m_i,10962.1,11081.2,10956.4,11084.0,11020.2,11040.533333333335,11050.7,11020.925000000001,19762,2020-11-03 00:00:00
6,NQ100_m_i,11104.2,11137.7,11084.9,11138.2,11111.55,11120.266666666668,11124.625,11116.25,12228,2020-11-03 04:00:00
7,NQ100_m_i,11137.7,11109.8,11079.9,11138.7,11109.3,11109.466666666665,11109.55,11116.524999999998,12005,2020-11-03 08:00:00
8,NQ100_m_i,11109.3,11155.8,11099.3,11194.3,11146.8,11149.799999999997,11151.3,11139.675,16931,2020-11-03 12:00:00
9,NQ100_m_i,11155.8,11212.2,11115.7,11213.5,11164.6,11180.466666666667,11188.400000000001,11174.3,19840,2020-11-03 16:00:00
10,NQ100_m_i,11213.3,11238.2,11209.7,11360.4,11285.05,11269.433333333334,11261.625,11255.400000000001,34356,2020-11-03 20:00:00
11,NQ100_m_i,11238.5,11271.4,11234.4,11348.4,11291.4,11284.733333333332,11281.4,11273.175,18203,2020-11-04 00:00:00
12,NQ100_m_i,11331.4,11496.3,11243.8,11501.5,11372.65,11413.866666666667,11434.474999999999,11393.25,42517,2020-11-04 04:00:00
13,NQ100_m_i,11497.0,11511.2,11474.0,11779.9,11626.95,11588.366666666669,11569.075,11565.525000000001,63170,2020-11-04 08:00:00
14,NQ100_m_i,11511.2,11537.0,11316.5,11644.2,11480.35,11499.233333333332,11508.675,11502.224999999999,60146,2020-11-04 12:00:00
15,NQ100_m_i,11535.7,11657.7,11473.2,11745.0,11609.1,11625.300000000001,11633.400000000001,11602.900000000001,49072,2020-11-04 16:00:00
16,NQ100_m_i,11657.6,11796.1,11646.8,11853.6,11750.2,11765.5,11773.15,11738.525,46890,2020-11-04 20:00:00
17,NQ100_m_i,11797.1,11773.9,11741.6,11821.4,11781.5,11778.966666666667,11777.7,11783.5,24507,2020-11-05 00:00:00
18,NQ100_m_i,11831.3,11828.9,11783.3,11866.9,11825.099999999999,11826.366666666667,11827.0,11827.599999999999,19758,2020-11-05 04:00:00
19,NQ100_m_i,11828.6,11940.3,11827.8,11999.0,11913.4,11922.366666666667,11926.849999999999,11898.925,27522,2020-11-05 08:00:00
20,NQ100_m_i,11940.5,12118.3,11932.0,12124.9,12028.45,12058.4,12073.375,12028.925,28301,2020-11-05 12:00:00
21,NQ100_m_i,12117.9,12078.4,11986.1,12130.6,12058.35,12065.033333333333,12068.375,12078.25,28295,2020-11-05 16:00:00
22,NQ100_m_i,12078.4,12070.6,11987.9,12120.4,12054.15,12059.633333333333,12062.375,12064.325,36879,2020-11-05 20:00:00
23,NQ100_m_i,12070.6,12077.9,12033.4,12124.9,12079.15,12078.733333333332,12078.525,12076.699999999999,17753,2020-11-06 00:00:00
24,NQ100_m_i,12078.4,12032.2,11989.4,12091.4,12040.4,12037.666666666666,12036.3,12047.85,20173,2020-11-06 04:00:00
25,NQ100_m_i,12032.5,11969.2,11922.1,12034.0,11978.05,11975.1,11973.625,11989.45,20427,2020-11-06 08:00:00
