,USDDKK_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDDKK_i,6.1014,6.07981,6.07802,6.1014,6.08971,6.086410000000001,6.084760000000001,6.0901575,8735,2020-12-21 16:00:00
1,USDDKK_i,6.0796,6.07908,6.07177,6.08347,6.07762,6.078106666666667,6.07835,6.07848,4801,2020-12-21 20:00:00
2,USDDKK_i,6.0792,6.08028,6.07139,6.0822,6.076795000000001,6.077956666666668,6.078537500000001,6.078267500000001,3715,2020-12-22 00:00:00
3,USDDKK_i,6.08032,6.08724,6.07826,6.08888,6.08357,6.084793333333334,6.085405000000001,6.083675,4060,2020-12-22 04:00:00
4,USDDKK_i,6.08734,6.09382,6.08209,6.09493,6.088509999999999,6.09028,6.091165,6.089545,6872,2020-12-22 08:00:00
5,USDDKK_i,6.09365,6.08142,6.06822,6.09504,6.0816300000000005,6.0815600000000005,6.081525000000001,6.084582500000001,7430,2020-12-22 12:00:00
6,USDDKK_i,6.08142,6.1096,6.07719,6.11621,6.0967,6.101,6.10315,6.096105,9264,2020-12-22 16:00:00
7,USDDKK_i,6.10968,6.11393,6.10962,6.12101,6.115315,6.1148533333333335,6.1146225,6.1135600000000005,4006,2020-12-22 20:00:00
8,USDDKK_i,6.11393,6.10789,6.10228,6.11928,6.11078,6.109816666666667,6.109335000000001,6.110845,3460,2020-12-23 00:00:00
9,USDDKK_i,6.108,6.10209,6.10052,6.11332,6.106920000000001,6.10531,6.1045050000000005,6.1059825000000005,3347,2020-12-23 04:00:00
10,USDDKK_i,6.10236,6.09901,6.09609,6.10972,6.102905,6.101606666666666,6.1009575,6.101795,5742,2020-12-23 08:00:00
11,USDDKK_i,6.0987,6.10756,6.09664,6.11576,6.106199999999999,6.106653333333333,6.106879999999999,6.104665,6656,2020-12-23 12:00:00
12,USDDKK_i,6.10756,6.1020199999999996,6.08518,6.10905,6.0971150000000005,6.09875,6.0995675,6.1009525,8437,2020-12-23 16:00:00
13,USDDKK_i,6.10201,6.10305,6.09785,6.10967,6.10376,6.1035233333333325,6.1034049999999995,6.103145,3783,2020-12-23 20:00:00
14,USDDKK_i,6.10305,6.09162,6.08966,6.10375,6.096705,6.095009999999999,6.0941624999999995,6.09702,2555,2020-12-24 00:00:00
15,USDDKK_i,6.09165,6.09288,6.08788,6.09441,6.091145,6.091723333333333,6.0920125,6.091704999999999,2917,2020-12-24 04:00:00
16,USDDKK_i,6.09283,6.10039,6.09089,6.10256,6.096725,6.097946666666666,6.0985575,6.0966675,4320,2020-12-24 08:00:00
17,USDDKK_i,6.10053,6.10232,6.09473,6.10366,6.099195,6.1002366666666665,6.100757499999999,6.1003099999999995,4018,2020-12-24 12:00:00
18,USDDKK_i,6.10212,6.1052,6.09736,6.1081,6.10273,6.103553333333333,6.103965,6.1031949999999995,4542,2020-12-24 16:00:00
19,USDDKK_i,6.1051,6.10509,6.10305,6.10666,6.104855,6.104933333333332,6.1049725,6.104975,710,2020-12-24 20:00:00
20,USDDKK_i,6.09699,6.09351,6.09191,6.1050699999999996,6.09849,6.09683,6.096,6.096869999999999,3408,2020-12-28 00:00:00
21,USDDKK_i,6.09347,6.0845,6.08447,6.09376,6.089115,6.087576666666666,6.086807499999999,6.089049999999999,2856,2020-12-28 04:00:00
22,USDDKK_i,6.0845,6.07058,6.06893,6.08674,6.077835,6.0754166666666665,6.0742075,6.0776875,4848,2020-12-28 08:00:00
23,USDDKK_i,6.07044,6.08766,6.06986,6.09877,6.084315,6.08543,6.0859875,6.081682499999999,6748,2020-12-28 12:00:00
24,USDDKK_i,6.08752,6.09192,6.07436,6.09239,6.083375,6.086223333333334,6.087647500000001,6.0865475,6335,2020-12-28 16:00:00
25,USDDKK_i,6.09199,6.08847,6.08789,6.09457,6.0912299999999995,6.09031,6.08985,6.09073,3194,2020-12-28 20:00:00
26,USDDKK_i,6.0884,6.0792,6.07521,6.0884,6.081805,6.080936666666666,6.0805025,6.0828025,2420,2020-12-29 00:00:00
27,USDDKK_i,6.07919,6.07518,6.07098,6.08056,6.07577,6.075573333333334,6.075475,6.0764775,2942,2020-12-29 04:00:00
28,USDDKK_i,6.07519,6.06831,6.06409,6.07538,6.069735,6.06926,6.0690225,6.0707425,4506,2020-12-29 08:00:00
29,USDDKK_i,6.06841,6.06607,6.06207,6.07311,6.06759,6.067083333333334,6.06683,6.0674150000000004,4897,2020-12-29 12:00:00
30,USDDKK_i,6.06627,6.07307,6.05537,6.07478,6.065075,6.067740000000001,6.069072500000001,6.0673725,6254,2020-12-29 16:00:00
31,USDDKK_i,6.07318,6.06859,6.06414,6.07563,6.069885,6.069453333333333,6.0692375,6.070385,3574,2020-12-29 20:00:00
32,USDDKK_i,6.06879,6.05143,6.04923,6.07019,6.05971,6.0569500000000005,6.05557,6.05991,2238,2020-12-30 00:00:00
33,USDDKK_i,6.05139,6.05451,6.05085,6.05598,6.053414999999999,6.05378,6.0539625,6.0531825,2718,2020-12-30 04:00:00
34,USDDKK_i,6.05449,6.06251,6.05434,6.07119,6.062765,6.06268,6.0626375,6.0606325000000005,5367,2020-12-30 08:00:00
35,USDDKK_i,6.0626,6.05145,6.05036,6.06384,6.0571,6.0552166666666665,6.054275,6.0570625,5784,2020-12-30 12:00:00
36,USDDKK_i,6.05144,6.0528,6.04216,6.06126,6.05171,6.052073333333333,6.052255000000001,6.051915,7909,2020-12-30 16:00:00
37,USDDKK_i,6.05289,6.04958,6.04909,6.05841,6.05375,6.05236,6.051665,6.0524925,3339,2020-12-30 20:00:00
38,USDDKK_i,6.04958,6.04513,6.04383,6.05062,6.047225,6.046526666666668,6.046177500000001,6.04729,3692,2020-12-31 00:00:00
