,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_i,12604.3,12629.8,12603.1,12639.3,12621.2,12624.066666666666,12625.5,12619.125,5151,2020-12-16 04:00:00
1,NQ100_i,12629.8,12652.2,12623.8,12662.0,12642.9,12646.0,12647.55,12641.95,7535,2020-12-16 08:00:00
2,NQ100_i,12651.9,12639.6,12614.7,12656.6,12635.650000000001,12636.966666666667,12637.625,12640.7,8606,2020-12-16 12:00:00
3,NQ100_i,12639.2,12659.2,12585.7,12673.1,12629.400000000001,12639.333333333334,12644.3,12639.3,20004,2020-12-16 16:00:00
4,NQ100_i,12659.1,12684.9,12624.3,12717.2,12670.75,12675.466666666667,12677.825,12671.375,14036,2020-12-16 20:00:00
5,NQ100_i,12698.1,12691.8,12687.7,12699.9,12693.8,12693.133333333331,12692.8,12694.374999999998,4011,2020-12-17 00:00:00
6,NQ100_i,12691.9,12724.1,12684.8,12725.9,12705.349999999999,12711.599999999999,12714.724999999999,12706.675,5527,2020-12-17 04:00:00
7,NQ100_i,12723.8,12743.8,12720.4,12761.8,12741.099999999999,12742.0,12742.45,12737.45,6463,2020-12-17 08:00:00
8,NQ100_i,12743.6,12746.6,12737.0,12753.4,12745.2,12745.666666666666,12745.9,12745.15,6517,2020-12-17 12:00:00
9,NQ100_i,12746.6,12739.7,12696.7,12775.1,12735.900000000001,12737.166666666666,12737.8,12739.525,21386,2020-12-17 16:00:00
10,NQ100_i,12739.9,12762.6,12718.6,12767.4,12743.0,12749.533333333333,12752.8,12747.125,10564,2020-12-17 20:00:00
11,NQ100_i,12760.8,12736.3,12732.7,12764.8,12748.75,12744.6,12742.525000000001,12748.650000000001,3643,2020-12-18 00:00:00
12,NQ100_i,12736.5,12733.2,12718.7,12744.3,12731.5,12732.066666666666,12732.349999999999,12733.175,5134,2020-12-18 04:00:00
13,NQ100_i,12733.3,12758.7,12730.9,12789.9,12760.4,12759.833333333334,12759.55,12753.2,7100,2020-12-18 08:00:00
14,NQ100_i,12759.0,12789.5,12746.8,12792.3,12769.55,12776.199999999999,12779.525,12771.9,8046,2020-12-18 12:00:00
15,NQ100_i,12789.6,12722.2,12671.9,12800.9,12736.4,12731.666666666666,12729.3,12746.15,23373,2020-12-18 16:00:00
16,NQ100_i,12722.5,12710.0,12621.8,12732.2,12677.0,12688.0,12693.5,12696.625,19042,2020-12-18 20:00:00
17,NQ100_i,12760.6,12752.6,12740.0,12768.8,12754.4,12753.800000000001,12753.5,12755.5,7370,2020-12-21 00:00:00
18,NQ100_i,12752.5,12774.6,12748.3,12786.8,12767.55,12769.9,12771.074999999999,12765.55,7783,2020-12-21 04:00:00
19,NQ100_i,12774.6,12663.1,12654.1,12777.8,12715.95,12698.333333333334,12689.525,12717.4,15246,2020-12-21 08:00:00
20,NQ100_i,12662.9,12592.5,12476.0,12663.7,12569.85,12577.4,12581.175,12598.775,33921,2020-12-21 12:00:00
21,NQ100_i,12593.7,12662.0,12474.8,12670.8,12572.8,12602.533333333333,12617.4,12600.325,34087,2020-12-21 16:00:00
22,NQ100_i,12662.3,12699.0,12650.3,12716.3,12683.3,12688.533333333333,12691.15,12681.974999999999,18007,2020-12-21 20:00:00
23,NQ100_i,12723.8,12721.6,12697.8,12742.2,12720.0,12720.533333333333,12720.8,12721.349999999999,6184,2020-12-22 00:00:00
24,NQ100_i,12721.8,12672.6,12662.2,12741.9,12702.05,12692.233333333332,12687.324999999999,12699.625,11368,2020-12-22 04:00:00
25,NQ100_i,12672.4,12736.1,12654.1,12754.6,12704.35,12714.933333333334,12720.225,12704.300000000001,13968,2020-12-22 08:00:00
26,NQ100_i,12735.9,12756.8,12732.8,12774.3,12753.55,12754.633333333331,12755.175,12749.949999999999,10026,2020-12-22 12:00:00
27,NQ100_i,12757.0,12691.5,12608.3,12768.5,12688.4,12689.433333333334,12689.95,12706.325,29136,2020-12-22 16:00:00
28,NQ100_i,12692.3,12728.5,12687.4,12731.6,12709.5,12715.833333333334,12719.0,12709.95,15397,2020-12-22 20:00:00
29,NQ100_i,12728.4,12676.4,12644.0,12738.1,12691.05,12686.166666666666,12683.725,12696.725,10523,2020-12-23 00:00:00
30,NQ100_i,12676.8,12710.6,12664.0,12719.4,12691.7,12698.0,12701.15,12692.7,9378,2020-12-23 04:00:00
31,NQ100_i,12710.2,12747.8,12709.0,12752.9,12730.95,12736.566666666666,12739.375,12729.974999999999,9007,2020-12-23 08:00:00
32,NQ100_i,12747.9,12737.5,12721.6,12753.1,12737.35,12737.4,12737.425,12740.025,7435,2020-12-23 12:00:00
33,NQ100_i,12737.5,12725.2,12664.1,12741.3,12702.7,12710.200000000003,12713.95,12717.025000000001,22749,2020-12-23 16:00:00
34,NQ100_i,12724.4,12666.4,12659.6,12745.7,12702.650000000001,12690.566666666668,12684.525000000001,12699.025000000001,10575,2020-12-23 20:00:00
35,NQ100_i,12672.1,12679.2,12645.5,12682.6,12664.05,12669.1,12671.625,12669.85,5926,2020-12-24 00:00:00
36,NQ100_i,12679.0,12683.3,12674.5,12691.5,12683.0,12683.1,12683.150000000001,12682.075,6501,2020-12-24 04:00:00
37,NQ100_i,12683.5,12682.0,12669.8,12690.7,12680.25,12680.833333333334,12681.125,12681.5,7478,2020-12-24 08:00:00
38,NQ100_i,12681.8,12676.1,12672.6,12688.0,12680.3,12678.9,12678.199999999999,12679.625,5112,2020-12-24 12:00:00
39,NQ100_i,12675.9,12718.8,12670.7,12738.3,12704.5,12709.266666666668,12711.650000000001,12700.925000000001,17912,2020-12-24 16:00:00
