,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,SPX500_m_i,3270.9,3281.9,3251.5,3284.4,3267.95,3272.6,3274.9249999999997,3272.1749999999997,5656,2020-11-02 04:00:00
1,SPX500_m_i,3281.9,3275.7,3271.4,3286.2,3278.8,3277.7666666666664,3277.25,3278.7999999999997,3700,2020-11-02 08:00:00
2,SPX500_m_i,3275.4,3324.6,3270.7,3330.3,3300.5,3308.5333333333333,3312.55,3300.25,6763,2020-11-02 12:00:00
3,SPX500_m_i,3324.6,3315.1,3297.1,3325.8,3311.45,3312.6666666666665,3313.275,3315.65,6127,2020-11-02 16:00:00
4,SPX500_m_i,3320.6,3281.7,3280.2,3331.3,3305.75,3297.7333333333336,3293.7250000000004,3303.4500000000003,9382,2020-11-02 20:00:00
5,SPX500_m_i,3281.4,3309.3,3280.2,3311.9,3296.05,3300.466666666667,3302.675,3295.7000000000003,4854,2020-11-03 00:00:00
6,SPX500_m_i,3319.2,3332.7,3312.0,3332.7,3322.35,3325.7999999999997,3327.5249999999996,3324.1499999999996,3470,2020-11-03 04:00:00
7,SPX500_m_i,3332.7,3325.7,3318.6,3332.7,3325.6499999999996,3325.6666666666665,3325.675,3327.425,3284,2020-11-03 08:00:00
8,SPX500_m_i,3325.6,3348.6,3322.2,3357.6,3339.8999999999996,3342.7999999999997,3344.25,3338.5,4843,2020-11-03 12:00:00
9,SPX500_m_i,3348.6,3361.4,3339.4,3363.4,3351.4,3354.7333333333336,3356.4,3353.2000000000003,4728,2020-11-03 16:00:00
10,SPX500_m_i,3361.4,3357.8,3356.2,3390.7,3373.45,3368.2333333333336,3365.625,3366.525,7692,2020-11-03 20:00:00
11,SPX500_m_i,3357.8,3367.3,3356.6,3389.1,3372.85,3371.0,3370.075,3367.7,4542,2020-11-04 00:00:00
12,SPX500_m_i,3395.2,3383.2,3336.9,3404.7,3370.8,3374.933333333333,3377.0,3380.0,15224,2020-11-04 04:00:00
13,SPX500_m_i,3383.4,3381.2,3373.2,3439.7,3406.45,3398.033333333333,3393.825,3394.3749999999995,15892,2020-11-04 08:00:00
14,SPX500_m_i,3381.4,3384.5,3327.4,3415.9,3371.65,3375.933333333333,3378.075,3377.2999999999997,17212,2020-11-04 12:00:00
15,SPX500_m_i,3384.2,3433.4,3378.4,3437.9,3408.15,3416.566666666667,3420.775,3408.4750000000004,12116,2020-11-04 16:00:00
16,SPX500_m_i,3433.9,3467.7,3431.7,3488.4,3460.05,3462.6,3463.875,3455.4249999999997,11697,2020-11-04 20:00:00
17,SPX500_m_i,3467.9,3443.4,3440.4,3473.9,3457.15,3452.566666666667,3450.275,3456.4,5869,2020-11-05 00:00:00
18,SPX500_m_i,3450.5,3446.3,3436.7,3455.6,3446.1499999999996,3446.1999999999994,3446.2249999999995,3447.2749999999996,5966,2020-11-05 04:00:00
19,SPX500_m_i,3446.5,3464.3,3446.2,3482.7,3464.45,3464.4,3464.375,3459.925,6032,2020-11-05 08:00:00
20,SPX500_m_i,3464.3,3514.8,3462.2,3514.8,3488.5,3497.2666666666664,3501.6499999999996,3489.0249999999996,7843,2020-11-05 12:00:00
21,SPX500_m_i,3514.5,3506.8,3493.0,3516.3,3504.65,3505.366666666667,3505.7250000000004,3507.65,6832,2020-11-05 16:00:00
22,SPX500_m_i,3506.5,3519.6,3497.0,3530.3,3513.65,3515.633333333333,3516.625,3513.35,8169,2020-11-05 20:00:00
23,SPX500_m_i,3519.7,3509.8,3502.8,3528.8,3515.8,3513.8000000000006,3512.8,3515.2750000000005,4780,2020-11-06 00:00:00
24,SPX500_m_i,3507.1,3499.2,3490.4,3509.4,3499.9,3499.6666666666665,3499.55,3501.525,6330,2020-11-06 04:00:00
25,SPX500_m_i,3499.2,3491.4,3483.8,3499.7,3491.75,3491.633333333333,3491.575,3493.5249999999996,5051,2020-11-06 08:00:00
26,SPX500_m_i,3491.6,3482.8,3464.1,3509.6,3486.85,3485.5,3484.825,3487.025,7108,2020-11-06 12:00:00
27,SPX500_m_i,3482.6,3490.3,3473.2,3526.2,3499.7,3496.566666666667,3495.0,3493.0750000000003,8448,2020-11-06 16:00:00
28,SPX500_m_i,3490.1,3512.6,3487.9,3516.7,3502.3,3505.7333333333336,3507.4500000000003,3501.8250000000003,7702,2020-11-06 20:00:00
29,SPX500_m_i,3538.5,3560.4,3536.8,3563.6,3550.2,3553.6,3555.2999999999997,3549.825,4728,2020-11-09 04:00:00
30,SPX500_m_i,3560.3,3558.9,3556.8,3572.6,3564.7,3562.7666666666664,3561.7999999999997,3562.1499999999996,4042,2020-11-09 08:00:00
31,SPX500_m_i,3559.0,3562.5,3552.5,3565.4,3558.95,3560.133333333333,3560.725,3559.85,5764,2020-11-09 12:00:00
32,SPX500_m_i,3562.6,3614.0,3557.0,3675.0,3616.0,3615.3333333333335,3615.0,3602.15,17297,2020-11-09 16:00:00
33,SPX500_m_i,3613.8,3619.9,3595.3,3638.4,3616.8500000000004,3617.866666666667,3618.375,3616.8500000000004,13114,2020-11-09 20:00:00
34,SPX500_m_i,3619.8,3553.8,3548.6,3621.3,3584.95,3574.566666666667,3569.375,3585.875,6185,2020-11-10 00:00:00
35,SPX500_m_i,3567.4,3529.4,3529.0,3569.3,3549.15,3542.566666666667,3539.275,3548.775,6036,2020-11-10 04:00:00
36,SPX500_m_i,3529.4,3543.4,3518.0,3546.4,3532.2,3535.933333333333,3537.7999999999997,3534.2999999999997,6604,2020-11-10 08:00:00
37,SPX500_m_i,3543.5,3531.1,3530.6,3565.5,3548.05,3542.4,3539.5750000000003,3542.675,9584,2020-11-10 12:00:00
38,SPX500_m_i,3531.4,3542.8,3526.3,3554.1,3540.2,3541.066666666667,3541.5,3538.65,8485,2020-11-10 16:00:00
39,SPX500_m_i,3543.0,3548.3,3513.0,3559.1,3536.05,3540.1333333333337,3542.175,3540.8500000000004,10191,2020-11-10 20:00:00
40,SPX500_m_i,3548.0,3549.0,3536.3,3555.8,3546.05,3547.0333333333333,3547.525,3547.275,6335,2020-11-11 00:00:00
41,SPX500_m_i,3554.2,3557.3,3537.4,3563.0,3550.2,3552.566666666667,3553.75,3552.9750000000004,5115,2020-11-11 04:00:00
42,SPX500_m_i,3557.3,3557.8,3546.8,3563.5,3555.15,3556.0333333333333,3556.4750000000004,3556.3500000000004,4400,2020-11-11 08:00:00
43,SPX500_m_i,3557.8,3572.9,3550.0,3575.5,3562.75,3566.133333333333,3567.825,3564.05,7043,2020-11-11 12:00:00
44,SPX500_m_i,3572.9,3560.4,3558.8,3580.5,3569.65,3566.566666666667,3565.025,3568.15,5364,2020-11-11 16:00:00
45,SPX500_m_i,3560.7,3574.8,3558.8,3583.3,3571.05,3572.3000000000006,3572.925,3569.4000000000005,5599,2020-11-11 20:00:00
46,SPX500_m_i,3574.8,3573.9,3558.0,3580.5,3569.25,3570.7999999999997,3571.575,3571.8,3563,2020-11-12 00:00:00
47,SPX500_m_i,3578.1,3563.3,3559.3,3579.8,3569.55,3567.466666666667,3566.425,3570.1250000000005,3605,2020-11-12 04:00:00
48,SPX500_m_i,3563.3,3551.3,3544.3,3565.6,3554.95,3553.7333333333336,3553.125,3556.125,4250,2020-11-12 08:00:00
49,SPX500_m_i,3551.3,3570.6,3548.5,3575.2,3561.85,3564.7666666666664,3566.225,3561.3999999999996,5316,2020-11-12 12:00:00
50,SPX500_m_i,3570.8,3560.1,3550.5,3574.6,3562.55,3561.7333333333336,3561.3250000000003,3564.0,5726,2020-11-12 16:00:00
51,SPX500_m_i,3559.8,3540.8,3526.2,3570.8,3548.5,3545.933333333333,3544.6499999999996,3549.3999999999996,7367,2020-11-12 20:00:00
52,SPX500_m_i,3541.0,3539.3,3519.1,3545.2,3532.1499999999996,3534.533333333333,3535.7249999999995,3536.1499999999996,4770,2020-11-13 00:00:00
53,SPX500_m_i,3542.2,3532.2,3524.0,3544.5,3534.25,3533.566666666667,3533.2250000000004,3535.7250000000004,3490,2020-11-13 04:00:00
54,SPX500_m_i,3532.0,3545.8,3530.2,3548.8,3539.5,3541.6,3542.6499999999996,3539.2,2917,2020-11-13 08:00:00
55,SPX500_m_i,3545.2,3570.2,3537.8,3574.7,3556.25,3560.9,3563.2250000000004,3556.9750000000004,4749,2020-11-13 12:00:00
56,SPX500_m_i,3570.2,3566.8,3558.5,3571.2,3564.85,3565.5,3565.825,3566.675,4419,2020-11-13 16:00:00
