,_DXY,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,_DXY,90.65,90.95,90.6,90.99,90.79499999999999,90.84666666666665,90.87249999999999,90.79749999999999,1620,2020-12-11 08:00:00
1,_DXY,90.96,91.0,90.85,91.05,90.94999999999999,90.96666666666665,90.975,90.96499999999999,1878,2020-12-11 12:00:00
2,_DXY,91.01,90.97,90.85,91.02,90.935,90.94666666666667,90.95250000000001,90.9625,2222,2020-12-11 16:00:00
3,_DXY,90.94,90.94,90.94,90.99,90.965,90.95666666666666,90.9525,90.9525,670,2020-12-11 20:00:00
4,_DXY,90.86,90.75,90.75,90.88,90.815,90.79333333333334,90.7825,90.81,178,2020-12-14 00:00:00
5,_DXY,90.8,90.74,90.72,90.81,90.765,90.75666666666666,90.7525,90.7675,368,2020-12-14 04:00:00
6,_DXY,90.74,90.52,90.49,90.75,90.62,90.58666666666666,90.57,90.625,1043,2020-12-14 08:00:00
7,_DXY,90.52,90.41,90.34,90.59,90.465,90.44666666666667,90.4375,90.465,1170,2020-12-14 12:00:00
8,_DXY,90.44,90.62,90.34,90.8,90.57,90.58666666666666,90.595,90.55,1146,2020-12-14 16:00:00
9,_DXY,90.61,90.66,90.58,90.7,90.64,90.64666666666666,90.65,90.6375,336,2020-12-14 20:00:00
10,_DXY,90.66,90.62,90.57,90.66,90.615,90.61666666666667,90.6175,90.6275,75,2020-12-15 00:00:00
11,_DXY,90.62,90.63,90.56,90.67,90.61500000000001,90.62,90.6225,90.62,199,2020-12-15 04:00:00
12,_DXY,90.63,90.59,90.59,90.78,90.685,90.65333333333335,90.63750000000002,90.64750000000001,558,2020-12-15 08:00:00
13,_DXY,90.59,90.58,90.48,90.71,90.595,90.58999999999999,90.58749999999999,90.59,630,2020-12-15 12:00:00
14,_DXY,90.59,90.42,90.41,90.61,90.50999999999999,90.48,90.465,90.5075,798,2020-12-15 16:00:00
15,_DXY,90.42,90.38,90.34,90.47,90.405,90.39666666666666,90.3925,90.4025,444,2020-12-15 20:00:00
16,_DXY,90.44,90.44,90.43,90.47,90.45,90.44666666666667,90.44500000000001,90.44500000000001,60,2020-12-16 00:00:00
17,_DXY,90.44,90.36,90.34,90.44,90.39,90.38,90.375,90.395,188,2020-12-16 04:00:00
18,_DXY,90.36,90.12,90.04,90.39,90.215,90.18333333333334,90.1675,90.2275,694,2020-12-16 08:00:00
19,_DXY,90.13,90.2,90.06,90.22,90.14,90.16000000000001,90.17,90.1525,759,2020-12-16 12:00:00
20,_DXY,90.19,90.34,90.09,90.35,90.22,90.25999999999999,90.28,90.24249999999999,833,2020-12-16 16:00:00
21,_DXY,90.34,90.15,90.14,90.63,90.38499999999999,90.30666666666666,90.26749999999998,90.315,1119,2020-12-16 20:00:00
22,_DXY,90.16,90.11,90.06,90.18,90.12,90.11666666666667,90.11500000000001,90.1275,96,2020-12-17 00:00:00
23,_DXY,90.11,89.95,89.91,90.11,90.00999999999999,89.99,89.97999999999999,90.02,278,2020-12-17 04:00:00
24,_DXY,89.95,89.85,89.78,89.95,89.86500000000001,89.86000000000001,89.85750000000002,89.88250000000001,570,2020-12-17 08:00:00
25,_DXY,89.84,89.75,89.69,89.88,89.785,89.77333333333333,89.7675,89.78999999999999,695,2020-12-17 12:00:00
26,_DXY,89.74,89.67,89.65,89.82,89.735,89.71333333333332,89.7025,89.72,857,2020-12-17 16:00:00
27,_DXY,89.68,89.67,89.64,89.78,89.71000000000001,89.69666666666667,89.69000000000001,89.69250000000001,435,2020-12-17 20:00:00
28,_DXY,89.81,89.78,89.78,89.83,89.805,89.79666666666667,89.79249999999999,89.8,78,2020-12-18 00:00:00
29,_DXY,89.79,89.94,89.78,89.94,89.86,89.88666666666666,89.89999999999999,89.8625,237,2020-12-18 04:00:00
30,_DXY,89.93,89.93,89.81,89.94,89.875,89.89333333333333,89.9025,89.9025,558,2020-12-18 08:00:00
31,_DXY,89.92,89.9,89.75,89.95,89.85,89.86666666666667,89.875,89.88000000000001,713,2020-12-18 12:00:00
32,_DXY,89.89,89.95,89.84,90.05,89.945,89.94666666666666,89.94749999999999,89.93249999999999,946,2020-12-18 16:00:00
33,_DXY,89.96,89.86,89.86,89.98,89.92,89.89999999999999,89.89,89.91499999999999,368,2020-12-18 20:00:00
34,_DXY,90.15,90.22,90.11,90.22,90.16499999999999,90.18333333333332,90.1925,90.17499999999998,105,2020-12-21 00:00:00
35,_DXY,90.23,90.36,90.19,90.41,90.3,90.32,90.33,90.2975,385,2020-12-21 04:00:00
36,_DXY,90.37,90.62,90.29,90.63,90.46000000000001,90.51333333333334,90.54,90.4775,922,2020-12-21 08:00:00
37,_DXY,90.61,90.31,90.31,90.94,90.625,90.52,90.4675,90.5425,1559,2020-12-21 12:00:00
38,_DXY,90.31,90.14,90.13,90.4,90.265,90.22333333333334,90.2025,90.245,1106,2020-12-21 16:00:00
39,_DXY,90.14,90.03,89.92,90.14,90.03,90.03000000000002,90.03,90.0575,686,2020-12-21 20:00:00
40,_DXY,89.99,90.1,89.99,90.11,90.05,90.06666666666666,90.07499999999999,90.0475,97,2020-12-22 00:00:00
41,_DXY,90.11,90.22,90.07,90.22,90.145,90.17,90.1825,90.155,284,2020-12-22 04:00:00
42,_DXY,90.2,90.19,90.11,90.23,90.17,90.17666666666666,90.17999999999999,90.18249999999999,712,2020-12-22 08:00:00
43,_DXY,90.19,90.12,89.95,90.27,90.11,90.11333333333334,90.11500000000001,90.13250000000001,816,2020-12-22 12:00:00
44,_DXY,90.13,90.52,90.1,90.62,90.36,90.41333333333334,90.44,90.3425,1149,2020-12-22 16:00:00
45,_DXY,90.52,90.52,90.48,90.61,90.545,90.53666666666668,90.5325,90.5325,378,2020-12-22 20:00:00
46,_DXY,90.5,90.43,90.42,90.58,90.5,90.47666666666667,90.465,90.4825,109,2020-12-23 00:00:00
47,_DXY,90.44,90.36,90.33,90.48,90.405,90.39,90.38250000000001,90.4025,326,2020-12-23 04:00:00
48,_DXY,90.36,90.3,90.25,90.43,90.34,90.32666666666667,90.32000000000001,90.33500000000001,546,2020-12-23 08:00:00
49,_DXY,90.3,90.33,90.26,90.51,90.385,90.36666666666667,90.3575,90.35000000000001,684,2020-12-23 12:00:00
50,_DXY,90.34,90.3,90.05,90.39,90.22,90.24666666666667,90.26,90.27000000000001,1292,2020-12-23 16:00:00
51,_DXY,90.31,90.25,90.21,90.38,90.29499999999999,90.27999999999999,90.2725,90.2875,482,2020-12-23 20:00:00
52,_DXY,90.25,90.11,90.11,90.25,90.18,90.15666666666668,90.14500000000001,90.18,136,2020-12-24 00:00:00
