,XAGUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XAGUSD_i,24.465,24.492,24.302,24.504,24.403,24.432666666666666,24.4475,24.44075,6170,2020-12-15 16:00:00
1,XAGUSD_i,24.492,24.492,24.465,24.553,24.509,24.503333333333334,24.500500000000002,24.500500000000002,1902,2020-12-15 20:00:00
2,XAGUSD_i,24.516,24.445,24.432,24.518,24.475,24.465000000000003,24.46,24.47775,1999,2020-12-16 00:00:00
3,XAGUSD_i,24.447,24.633,24.442,24.732,24.587,24.602333333333334,24.61,24.5635,4958,2020-12-16 04:00:00
4,XAGUSD_i,24.633,25.141,24.618,25.172,24.895,24.977,25.018,24.891,6992,2020-12-16 08:00:00
5,XAGUSD_i,25.139,24.887,24.826999999999998,25.291,25.058999999999997,25.001666666666665,24.973,25.035999999999998,8579,2020-12-16 12:00:00
6,XAGUSD_i,24.887,24.926,24.686,25.065,24.875500000000002,24.892333333333337,24.900750000000002,24.891000000000002,6593,2020-12-16 16:00:00
7,XAGUSD_i,24.926,25.352,24.696,25.487,25.0915,25.17833333333333,25.22175,25.11525,5533,2020-12-16 20:00:00
8,XAGUSD_i,25.291,25.216,25.167,25.391,25.279,25.258,25.247500000000002,25.26625,3583,2020-12-17 00:00:00
9,XAGUSD_i,25.218,25.461,25.143,25.47,25.3065,25.358,25.38375,25.323,3715,2020-12-17 04:00:00
10,XAGUSD_i,25.461,25.708,25.447,25.779,25.613,25.644666666666666,25.6605,25.59875,6446,2020-12-17 08:00:00
11,XAGUSD_i,25.708,25.911,25.565,26.006,25.7855,25.827333333333332,25.84825,25.7975,8096,2020-12-17 12:00:00
12,XAGUSD_i,25.911,26.017,25.748,26.092,25.92,25.952333333333332,25.9685,25.942,9161,2020-12-17 16:00:00
13,XAGUSD_i,26.017,26.057,25.912,26.072,25.991999999999997,26.013666666666666,26.0245,26.014499999999998,3156,2020-12-17 20:00:00
14,XAGUSD_i,25.996,25.815,25.769,25.997,25.883,25.860333333333333,25.849,25.89425,3128,2020-12-18 00:00:00
15,XAGUSD_i,25.815,25.701999999999998,25.691,25.859,25.775,25.750666666666664,25.7385,25.76675,3736,2020-12-18 04:00:00
16,XAGUSD_i,25.704,25.737,25.645,25.853,25.749000000000002,25.745,25.743,25.73475,5175,2020-12-18 08:00:00
17,XAGUSD_i,25.741,25.932,25.72,25.999,25.859499999999997,25.883666666666667,25.89575,25.848,6765,2020-12-18 12:00:00
18,XAGUSD_i,25.932,25.884,25.666,26.121,25.8935,25.89033333333333,25.888749999999998,25.90075,8354,2020-12-18 16:00:00
19,XAGUSD_i,25.884,25.77,25.694,25.894,25.793999999999997,25.785999999999998,25.781999999999996,25.810499999999998,2456,2020-12-18 20:00:00
20,XAGUSD_i,25.806,26.595,25.803,26.708,26.255499999999998,26.368666666666666,26.42525,26.227999999999998,6030,2020-12-21 00:00:00
21,XAGUSD_i,26.594,27.081,26.478,27.092,26.785,26.883666666666667,26.933,26.81125,8015,2020-12-21 04:00:00
22,XAGUSD_i,27.071,26.431,26.275,27.398,26.8365,26.701333333333334,26.63375,26.79375,9832,2020-12-21 08:00:00
23,XAGUSD_i,26.44,26.031,24.939,26.44,25.689500000000002,25.80333333333333,25.86025,25.9625,14369,2020-12-21 12:00:00
24,XAGUSD_i,26.034,26.201,25.844,26.347,26.0955,26.130666666666666,26.148249999999997,26.106499999999997,11991,2020-12-21 16:00:00
25,XAGUSD_i,26.199,26.171,26.05,26.273,26.1615,26.164666666666665,26.166249999999998,26.17325,4217,2020-12-21 20:00:00
26,XAGUSD_i,26.218,26.237,26.079,26.361,26.22,26.225666666666665,26.228499999999997,26.22375,3896,2020-12-22 00:00:00
27,XAGUSD_i,26.237,26.101,25.918,26.566,26.241999999999997,26.194999999999997,26.171499999999998,26.205499999999997,7825,2020-12-22 04:00:00
28,XAGUSD_i,26.101,25.837,25.57,26.101,25.8355,25.836,25.83625,25.90225,8779,2020-12-22 08:00:00
29,XAGUSD_i,25.837,25.969,25.694,26.073,25.883499999999998,25.911999999999995,25.926249999999996,25.89325,8075,2020-12-22 12:00:00
30,XAGUSD_i,25.969,25.399,25.199,26.081,25.64,25.55966666666667,25.5195,25.662,12589,2020-12-22 16:00:00
31,XAGUSD_i,25.395,25.139,25.066,25.414,25.240000000000002,25.206333333333333,25.1895,25.2535,4697,2020-12-22 20:00:00
32,XAGUSD_i,25.22,25.306,25.137,25.468,25.302500000000002,25.30366666666667,25.30425,25.28275,4229,2020-12-23 00:00:00
33,XAGUSD_i,25.302,25.321,25.043,25.393,25.218,25.252333333333336,25.2695,25.26475,5671,2020-12-23 04:00:00
34,XAGUSD_i,25.317,25.521,25.196,25.669,25.4325,25.462,25.47675,25.42575,5653,2020-12-23 08:00:00
35,XAGUSD_i,25.523,25.557,25.174,25.644,25.409,25.458333333333332,25.483,25.4745,7684,2020-12-23 12:00:00
36,XAGUSD_i,25.55,25.635,25.465,25.737,25.601,25.612333333333336,25.618000000000002,25.59675,7664,2020-12-23 16:00:00
37,XAGUSD_i,25.636,25.525,25.475,25.783,25.629,25.594333333333335,25.576999999999998,25.60475,2969,2020-12-23 20:00:00
38,XAGUSD_i,25.528,25.789,25.504,25.891,25.697499999999998,25.727999999999998,25.74325,25.677999999999997,3624,2020-12-24 00:00:00
39,XAGUSD_i,25.792,25.735,25.662,25.872,25.767,25.756333333333334,25.751,25.76525,4006,2020-12-24 04:00:00
40,XAGUSD_i,25.735,25.797,25.685,25.902,25.7935,25.794666666666668,25.79525,25.77975,3937,2020-12-24 08:00:00
41,XAGUSD_i,25.801,25.666,25.574,25.823,25.698500000000003,25.68766666666667,25.68225,25.716,5019,2020-12-24 12:00:00
42,XAGUSD_i,25.659,25.761,25.405,25.839,25.622,25.668333333333333,25.691499999999998,25.665999999999997,5670,2020-12-24 16:00:00
43,XAGUSD_i,25.761,25.783,25.66,25.838,25.749000000000002,25.760333333333335,25.766000000000002,25.7605,367,2020-12-24 20:00:00
44,XAGUSD_i,25.909,26.677,25.88,26.761,26.3205,26.439333333333334,26.49875,26.30675,5594,2020-12-28 00:00:00
45,XAGUSD_i,26.677,26.505,26.354,26.729,26.5415,26.52933333333333,26.523249999999997,26.566249999999997,5517,2020-12-28 04:00:00
46,XAGUSD_i,26.507,26.414,26.092,26.51,26.301000000000002,26.33866666666667,26.3575,26.380750000000003,6483,2020-12-28 08:00:00
47,XAGUSD_i,26.414,26.553,26.117,26.649,26.383000000000003,26.439666666666668,26.468,26.43325,7862,2020-12-28 12:00:00
48,XAGUSD_i,26.553,26.311,26.294,26.705,26.499499999999998,26.436666666666667,26.405250000000002,26.46575,7807,2020-12-28 16:00:00
49,XAGUSD_i,26.311,26.221,26.176,26.386,26.281,26.261,26.251,26.2735,3215,2020-12-28 20:00:00
50,XAGUSD_i,26.302,26.499,26.285,26.597,26.441000000000003,26.460333333333335,26.47,26.420749999999998,3187,2020-12-29 00:00:00
51,XAGUSD_i,26.496,26.225,26.152,26.508,26.33,26.294999999999998,26.277499999999996,26.345249999999997,5687,2020-12-29 04:00:00
52,XAGUSD_i,26.223,26.297,25.982,26.382,26.182000000000002,26.220333333333333,26.2395,26.221,5221,2020-12-29 08:00:00
53,XAGUSD_i,26.293,26.113,26.078,26.341,26.2095,26.177333333333333,26.16125,26.206249999999997,6660,2020-12-29 12:00:00
54,XAGUSD_i,26.114,26.126,25.94,26.377,26.1585,26.147666666666666,26.14225,26.13925,8237,2020-12-29 16:00:00
55,XAGUSD_i,26.126,26.181,26.039,26.23,26.134500000000003,26.150000000000002,26.15775,26.144000000000002,2215,2020-12-29 20:00:00
56,XAGUSD_i,26.162,26.274,26.13,26.327,26.2285,26.243666666666666,26.25125,26.22325,2907,2020-12-30 00:00:00
57,XAGUSD_i,26.272,26.348,26.26,26.48,26.37,26.362666666666666,26.358999999999998,26.339999999999996,4662,2020-12-30 04:00:00
58,XAGUSD_i,26.349,26.21,26.169,26.351,26.259999999999998,26.24333333333333,26.235,26.26975,4411,2020-12-30 08:00:00
59,XAGUSD_i,26.21,26.296,26.176,26.372,26.274,26.281333333333333,26.284999999999997,26.2635,5146,2020-12-30 12:00:00
60,XAGUSD_i,26.296,26.405,26.203,26.412,26.307499999999997,26.34,26.35625,26.329,5978,2020-12-30 16:00:00
61,XAGUSD_i,26.405,26.617,26.405,26.626,26.515500000000003,26.549333333333337,26.566250000000004,26.513250000000003,2256,2020-12-30 20:00:00
62,XAGUSD_i,26.585,26.591,26.451,26.688,26.569499999999998,26.576666666666664,26.58025,26.57875,3623,2020-12-31 00:00:00
63,XAGUSD_i,26.588,26.399,26.306,26.687,26.4965,26.464,26.44775,26.494999999999997,4606,2020-12-31 04:00:00
64,XAGUSD_i,26.4,26.448,26.349,26.548000000000002,26.448500000000003,26.448333333333334,26.44825,26.43625,5007,2020-12-31 08:00:00
65,XAGUSD_i,26.448,26.453,26.335,26.517,26.426000000000002,26.435000000000002,26.439500000000002,26.438250000000004,3364,2020-12-31 12:00:00
66,XAGUSD_i,26.463,26.338,26.252,26.576999999999998,26.414499999999997,26.389,26.37625,26.4075,4914,2020-12-31 16:00:00
67,XAGUSD_i,26.336,26.302,26.202,26.35,26.276000000000003,26.28466666666667,26.289,26.297500000000003,841,2020-12-31 20:00:00
68,XAGUSD_i,26.649,26.985,26.594,27.13,26.862000000000002,26.903000000000002,26.9235,26.8395,5522,2021-01-04 00:00:00
69,XAGUSD_i,26.988,26.997,26.856,27.119,26.9875,26.99066666666667,26.992250000000002,26.990000000000002,6144,2021-01-04 04:00:00
70,XAGUSD_i,26.997,27.284,26.939,27.343,27.141,27.188666666666666,27.2125,27.14075,6144,2021-01-04 08:00:00
71,XAGUSD_i,27.28,27.44,27.105,27.557,27.331,27.367333333333335,27.3855,27.3455,6925,2021-01-04 12:00:00
72,XAGUSD_i,27.442,27.036,26.738,27.539,27.1385,27.104333333333333,27.08725,27.18875,11595,2021-01-04 16:00:00
73,XAGUSD_i,27.038,27.222,27.025,27.293,27.159,27.179999999999996,27.1905,27.144499999999997,4438,2021-01-04 20:00:00
74,XAGUSD_i,27.144,27.08,26.98,27.281,27.130499999999998,27.113666666666663,27.105249999999998,27.121249999999996,4072,2021-01-05 00:00:00
75,XAGUSD_i,27.08,27.254,27.074,27.451,27.262500000000003,27.25966666666667,27.258250000000004,27.214750000000002,5367,2021-01-05 04:00:00
76,XAGUSD_i,27.255,27.386,27.196,27.493,27.3445,27.358333333333334,27.36525,27.3325,6098,2021-01-05 08:00:00
77,XAGUSD_i,27.386,27.361,27.285,27.512,27.3985,27.386,27.37975,27.386,7149,2021-01-05 12:00:00
78,XAGUSD_i,27.362,27.486,27.189,27.499,27.344,27.391333333333336,27.415000000000003,27.384,8112,2021-01-05 16:00:00
79,XAGUSD_i,27.486,27.549,27.466,27.68,27.573,27.564999999999998,27.561,27.54525,4077,2021-01-05 20:00:00
80,XAGUSD_i,27.543,27.326,27.299,27.634,27.4665,27.419666666666668,27.396250000000002,27.450499999999998,4650,2021-01-06 00:00:00
