,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDHKD,7.7529900000000005,7.75254,7.75246,7.75307,7.752765,7.75269,7.7526525,7.752765,611,2020-12-21 16:00:00
1,USDHKD,7.7524999999999995,7.75269,7.75245,7.75289,7.75267,7.752676666666667,7.752680000000001,7.752632500000001,596,2020-12-21 20:00:00
2,USDHKD,7.7524999999999995,7.75313,7.75207,7.7533,7.752685,7.752833333333332,7.752907499999999,7.752749999999999,672,2020-12-22 00:00:00
3,USDHKD,7.7531,7.75305,7.753,7.75344,7.753220000000001,7.753163333333333,7.753135,7.7531475,704,2020-12-22 04:00:00
4,USDHKD,7.75305,7.7526,7.75245,7.75313,7.752789999999999,7.752726666666667,7.752695,7.752807499999999,771,2020-12-22 08:00:00
5,USDHKD,7.7526,7.7528,7.75254,7.75284,7.752689999999999,7.752726666666667,7.752745,7.752695,671,2020-12-22 12:00:00
6,USDHKD,7.75279,7.7524,7.7522400000000005,7.75291,7.752575,7.752516666666668,7.752487500000001,7.752585000000001,743,2020-12-22 16:00:00
7,USDHKD,7.7524,7.7524999999999995,7.75229,7.75292,7.752605,7.7525699999999995,7.7525525,7.752527499999999,829,2020-12-22 20:00:00
8,USDHKD,7.7524999999999995,7.75221,7.75162,7.75283,7.752225,7.75222,7.7522175,7.75229,666,2020-12-23 00:00:00
9,USDHKD,7.75221,7.7524999999999995,7.7522,7.75258,7.75239,7.7524266666666675,7.752445,7.7523725,888,2020-12-23 04:00:00
10,USDHKD,7.75245,7.75259,7.7522400000000005,7.7529,7.75257,7.752576666666667,7.75258,7.7525450000000005,844,2020-12-23 08:00:00
11,USDHKD,7.75259,7.75281,7.75255,7.7529900000000005,7.75277,7.752783333333333,7.75279,7.7527349999999995,655,2020-12-23 12:00:00
12,USDHKD,7.75283,7.753,7.75255,7.75332,7.752935000000001,7.752956666666667,7.7529675000000005,7.752925,598,2020-12-23 16:00:00
13,USDHKD,7.75297,7.7529,7.75284,7.75324,7.75304,7.752993333333333,7.75297,7.752987500000001,639,2020-12-23 20:00:00
14,USDHKD,7.75245,7.75261,7.75187,7.75277,7.75232,7.752416666666666,7.752465,7.752425,588,2020-12-24 00:00:00
15,USDHKD,7.75255,7.7529,7.75247,7.753,7.7527349999999995,7.75279,7.7528175,7.75273,585,2020-12-24 04:00:00
16,USDHKD,7.7529,7.7531,7.75282,7.75322,7.753019999999999,7.753046666666666,7.75306,7.75301,541,2020-12-24 08:00:00
17,USDHKD,7.7531,7.75289,7.7528500000000005,7.75322,7.753035000000001,7.752986666666668,7.752962500000001,7.753015,537,2020-12-24 12:00:00
18,USDHKD,7.75289,7.75358,7.75194,7.75358,7.75276,7.753033333333334,7.75317,7.7529975,737,2020-12-24 16:00:00
19,USDHKD,7.75352,7.75317,7.752,7.75402,7.75301,7.753063333333333,7.75309,7.7531775,1108,2020-12-24 20:00:00
