,CADJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CADJPY_i,80.347,80.567,80.328,80.598,80.463,80.49766666666666,80.515,80.46,9420,2020-12-21 16:00:00
1,CADJPY_i,80.568,80.346,80.305,80.586,80.44550000000001,80.41233333333334,80.39575,80.45125,6327,2020-12-21 20:00:00
2,CADJPY_i,80.343,80.404,80.292,80.435,80.3635,80.377,80.38374999999999,80.3685,3947,2020-12-22 00:00:00
3,CADJPY_i,80.404,80.309,80.262,80.451,80.3565,80.34066666666666,80.33275,80.3565,3773,2020-12-22 04:00:00
4,CADJPY_i,80.309,80.222,80.222,80.375,80.29849999999999,80.27299999999998,80.26024999999998,80.28199999999998,6836,2020-12-22 08:00:00
5,CADJPY_i,80.224,80.218,80.21,80.382,80.29599999999999,80.27,80.257,80.2585,7586,2020-12-22 12:00:00
6,CADJPY_i,80.22,80.263,80.127,80.294,80.2105,80.228,80.23675,80.226,8343,2020-12-22 16:00:00
7,CADJPY_i,80.261,80.275,80.212,80.358,80.285,80.28166666666667,80.28,80.2765,4134,2020-12-22 20:00:00
8,CADJPY_i,80.271,80.254,80.21,80.297,80.2535,80.25366666666667,80.25375000000001,80.25800000000001,4513,2020-12-23 00:00:00
9,CADJPY_i,80.253,80.209,80.206,80.306,80.256,80.24033333333334,80.2325,80.2435,3467,2020-12-23 04:00:00
10,CADJPY_i,80.206,80.328,80.181,80.35,80.2655,80.28633333333333,80.29675,80.26625,5675,2020-12-23 08:00:00
11,CADJPY_i,80.329,80.338,80.298,80.403,80.35050000000001,80.34633333333333,80.34425,80.342,5620,2020-12-23 12:00:00
12,CADJPY_i,80.334,80.666,80.329,80.692,80.5105,80.56233333333333,80.58824999999999,80.50524999999999,9033,2020-12-23 16:00:00
13,CADJPY_i,80.666,80.595,80.509,80.685,80.59700000000001,80.59633333333333,80.596,80.61375000000001,3694,2020-12-23 20:00:00
14,CADJPY_i,80.556,80.656,80.518,80.685,80.6015,80.61966666666667,80.62875,80.60375,3687,2020-12-24 00:00:00
15,CADJPY_i,80.656,80.576,80.542,80.675,80.60849999999999,80.59766666666665,80.59224999999999,80.61224999999999,3112,2020-12-24 04:00:00
16,CADJPY_i,80.578,80.715,80.566,80.734,80.65,80.67166666666667,80.6825,80.64825,4426,2020-12-24 08:00:00
17,CADJPY_i,80.715,80.74,80.648,80.788,80.71799999999999,80.72533333333332,80.729,80.72274999999999,4334,2020-12-24 12:00:00
18,CADJPY_i,80.736,80.876,80.639,80.879,80.759,80.798,80.8175,80.7825,4477,2020-12-24 16:00:00
19,CADJPY_i,80.876,80.691,80.677,80.89,80.7835,80.75266666666667,80.73725,80.7835,1241,2020-12-24 20:00:00
20,CADJPY_i,80.506,80.594,80.438,80.702,80.57,80.57799999999999,80.582,80.56,4646,2020-12-28 00:00:00
21,CADJPY_i,80.594,80.553,80.514,80.635,80.5745,80.56733333333334,80.56375,80.574,3202,2020-12-28 04:00:00
22,CADJPY_i,80.545,80.707,80.538,80.722,80.63,80.65566666666666,80.6685,80.628,3632,2020-12-28 08:00:00
23,CADJPY_i,80.705,80.724,80.629,80.759,80.694,80.70400000000001,80.709,80.70425,6161,2020-12-28 12:00:00
24,CADJPY_i,80.728,80.712,80.611,80.82,80.71549999999999,80.71433333333333,80.71374999999999,80.71775,6072,2020-12-28 16:00:00
25,CADJPY_i,80.712,80.754,80.669,80.844,80.75649999999999,80.75566666666667,80.75525,80.74475,3398,2020-12-28 20:00:00
26,CADJPY_i,80.72,80.836,80.681,80.844,80.76249999999999,80.78699999999999,80.79925,80.77025,4212,2020-12-29 00:00:00
27,CADJPY_i,80.842,80.848,80.771,80.864,80.8175,80.82766666666667,80.83275,80.83125,3488,2020-12-29 04:00:00
28,CADJPY_i,80.848,80.889,80.817,80.897,80.857,80.86766666666666,80.873,80.86275,4347,2020-12-29 08:00:00
29,CADJPY_i,80.89,80.987,80.863,81.037,80.95,80.96233333333333,80.9685,80.94425,5249,2020-12-29 12:00:00
30,CADJPY_i,80.987,80.773,80.764,81.023,80.89349999999999,80.85333333333332,80.83324999999999,80.88674999999999,8603,2020-12-29 16:00:00
31,CADJPY_i,80.773,80.79,80.754,80.835,80.7945,80.793,80.79225000000001,80.78800000000001,4284,2020-12-29 20:00:00
32,CADJPY_i,80.799,80.721,80.695,80.839,80.767,80.75166666666667,80.744,80.7635,4535,2020-12-30 00:00:00
33,CADJPY_i,80.722,80.76,80.69,80.812,80.751,80.754,80.7555,80.746,3676,2020-12-30 04:00:00
34,CADJPY_i,80.761,80.635,80.596,80.801,80.6985,80.67733333333332,80.66675,80.69825,4521,2020-12-30 08:00:00
35,CADJPY_i,80.635,80.54,80.516,80.738,80.62700000000001,80.59800000000001,80.58350000000002,80.60725000000001,5333,2020-12-30 12:00:00
36,CADJPY_i,80.543,80.865,80.531,81.02,80.7755,80.80533333333334,80.82025,80.73975,7656,2020-12-30 16:00:00
37,CADJPY_i,80.868,80.901,80.836,80.965,80.9005,80.90066666666667,80.90075,80.8925,3033,2020-12-30 20:00:00
38,CADJPY_i,80.837,80.925,80.773,80.937,80.85499999999999,80.87833333333333,80.89,80.868,2747,2020-12-31 00:00:00
39,CADJPY_i,80.925,80.918,80.863,80.944,80.90350000000001,80.90833333333335,80.91075000000001,80.91250000000001,2958,2020-12-31 04:00:00
40,CADJPY_i,80.916,80.775,80.758,80.994,80.876,80.84233333333334,80.8255,80.86075,4886,2020-12-31 08:00:00
41,CADJPY_i,80.778,80.912,80.778,80.969,80.8735,80.88633333333334,80.89275,80.85925,5261,2020-12-31 12:00:00
42,CADJPY_i,80.915,80.883,80.846,81.092,80.969,80.94033333333333,80.92599999999999,80.934,7328,2020-12-31 16:00:00
43,CADJPY_i,80.882,80.914,80.881,80.951,80.916,80.91533333333332,80.91499999999999,80.907,848,2020-12-31 20:00:00
44,CADJPY_i,81.011,81.082,80.871,81.18,81.0255,81.04433333333333,81.05375,81.036,5340,2021-01-04 00:00:00
45,CADJPY_i,81.082,81.045,81.018,81.104,81.061,81.05566666666668,81.05300000000001,81.06225,4109,2021-01-04 04:00:00
46,CADJPY_i,81.045,81.041,80.921,81.121,81.021,81.02766666666666,81.031,81.032,6898,2021-01-04 08:00:00
47,CADJPY_i,81.041,81.108,80.986,81.122,81.054,81.072,81.081,81.06425,7382,2021-01-04 12:00:00
48,CADJPY_i,81.108,80.706,80.586,81.152,80.869,80.81466666666667,80.78750000000001,80.888,12754,2021-01-04 16:00:00
49,CADJPY_i,80.706,80.695,80.626,80.765,80.69550000000001,80.69533333333334,80.69525,80.69800000000001,6271,2021-01-04 20:00:00
50,CADJPY_i,80.649,80.729,80.569,80.775,80.672,80.69099999999999,80.70049999999999,80.6805,5954,2021-01-05 00:00:00
51,CADJPY_i,80.729,80.72,80.678,80.901,80.7895,80.76633333333334,80.75475,80.757,7077,2021-01-05 04:00:00
52,CADJPY_i,80.72,80.714,80.613,80.752,80.6825,80.693,80.69825,80.69975,9565,2021-01-05 08:00:00
53,CADJPY_i,80.713,80.553,80.542,80.765,80.65350000000001,80.62,80.60325,80.64325,8781,2021-01-05 12:00:00
54,CADJPY_i,80.552,80.953,80.544,80.983,80.7635,80.82666666666667,80.85825,80.758,13270,2021-01-05 16:00:00
55,CADJPY_i,80.955,81.068,80.954,81.096,81.025,81.03933333333333,81.0465,81.01825,5644,2021-01-05 20:00:00
56,CADJPY_i,81.069,81.051,80.945,81.087,81.01599999999999,81.02766666666666,81.03349999999999,81.038,8737,2021-01-06 00:00:00
