,NZDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDUSD_i,0.70347,0.70919,0.70347,0.70951,0.7064900000000001,0.7073900000000001,0.70784,0.70641,10474,2020-12-21 16:00:00
1,NZDUSD_i,0.70916,0.70983,0.70906,0.71125,0.7101550000000001,0.7100466666666666,0.7099925,0.7098249999999999,4074,2020-12-21 20:00:00
2,NZDUSD_i,0.70973,0.70785,0.7077,0.71084,0.7092700000000001,0.7087966666666667,0.7085600000000001,0.70903,3901,2020-12-22 00:00:00
3,NZDUSD_i,0.70785,0.70592,0.70523,0.70812,0.7066749999999999,0.7064233333333333,0.7062974999999999,0.70678,4947,2020-12-22 04:00:00
4,NZDUSD_i,0.70592,0.70412,0.70404,0.7076,0.70582,0.7052533333333333,0.70497,0.7054199999999999,7980,2020-12-22 08:00:00
5,NZDUSD_i,0.70412,0.7062,0.7041,0.70759,0.7058450000000001,0.7059633333333334,0.7060225,0.7055025,7037,2020-12-22 12:00:00
6,NZDUSD_i,0.7062,0.7039,0.703,0.7071,0.70505,0.7046666666666667,0.704475,0.70505,9454,2020-12-22 16:00:00
7,NZDUSD_i,0.70389,0.70341,0.70341,0.70489,0.70415,0.7039033333333333,0.70378,0.7039,2582,2020-12-22 20:00:00
8,NZDUSD_i,0.70355,0.70448,0.7029,0.70555,0.704225,0.70431,0.7043524999999999,0.70412,5062,2020-12-23 00:00:00
9,NZDUSD_i,0.70449,0.705,0.70377,0.70557,0.70467,0.70478,0.704835,0.7047074999999999,4569,2020-12-23 04:00:00
10,NZDUSD_i,0.705,0.70799,0.70486,0.70862,0.70674,0.7071566666666667,0.707365,0.7066175,6134,2020-12-23 08:00:00
11,NZDUSD_i,0.70807,0.70724,0.70636,0.70925,0.707805,0.7076166666666667,0.7075225,0.70773,6028,2020-12-23 12:00:00
12,NZDUSD_i,0.70722,0.70894,0.70686,0.71037,0.708615,0.7087233333333334,0.7087775000000001,0.7083475,8712,2020-12-23 16:00:00
13,NZDUSD_i,0.70894,0.70934,0.70871,0.71031,0.70951,0.7094533333333333,0.709425,0.709325,2681,2020-12-23 20:00:00
14,NZDUSD_i,0.70908,0.70989,0.70882,0.71032,0.70957,0.7096766666666667,0.7097300000000001,0.7095275000000001,3869,2020-12-24 00:00:00
15,NZDUSD_i,0.70989,0.70947,0.70899,0.71061,0.7098,0.70969,0.709635,0.70974,4372,2020-12-24 04:00:00
16,NZDUSD_i,0.70947,0.71059,0.70909,0.71125,0.71017,0.7103100000000001,0.71038,0.7101000000000001,4795,2020-12-24 08:00:00
17,NZDUSD_i,0.7106,0.71067,0.70978,0.71162,0.7107,0.71069,0.710685,0.7106675,4327,2020-12-24 12:00:00
18,NZDUSD_i,0.71062,0.71128,0.70986,0.71166,0.7107600000000001,0.7109333333333333,0.71102,0.710855,4559,2020-12-24 16:00:00
19,NZDUSD_i,0.71128,0.71131,0.7083,0.71151,0.709905,0.7103733333333334,0.7106075000000001,0.7106,425,2020-12-24 20:00:00
20,NZDUSD_i,0.71063,0.71181,0.70965,0.71209,0.71087,0.7111833333333334,0.7113400000000001,0.711045,4481,2020-12-28 00:00:00
21,NZDUSD_i,0.71181,0.71283,0.71179,0.71292,0.7123550000000001,0.7125133333333333,0.7125925,0.7123375000000001,3944,2020-12-28 04:00:00
22,NZDUSD_i,0.71283,0.71305,0.71261,0.7138,0.713205,0.7131533333333332,0.7131274999999999,0.7130724999999999,3260,2020-12-28 08:00:00
23,NZDUSD_i,0.71305,0.71055,0.70983,0.71311,0.71147,0.7111633333333334,0.71101,0.711635,4747,2020-12-28 12:00:00
24,NZDUSD_i,0.71056,0.70936,0.70826,0.71213,0.710195,0.7099166666666666,0.7097775,0.7100775,6284,2020-12-28 16:00:00
25,NZDUSD_i,0.70936,0.70989,0.70909,0.71037,0.70973,0.7097833333333333,0.70981,0.7096775,2080,2020-12-28 20:00:00
26,NZDUSD_i,0.70989,0.71153,0.70885,0.71177,0.71031,0.7107166666666668,0.71092,0.7105100000000001,3471,2020-12-29 00:00:00
27,NZDUSD_i,0.71154,0.71209,0.7112,0.71216,0.7116800000000001,0.7118166666666667,0.711885,0.7117475,3405,2020-12-29 04:00:00
28,NZDUSD_i,0.71209,0.7131,0.71181,0.7136,0.712705,0.7128366666666667,0.7129025,0.71265,3397,2020-12-29 08:00:00
29,NZDUSD_i,0.71315,0.71523,0.71272,0.71523,0.713975,0.7143933333333333,0.7146025,0.7140825,3952,2020-12-29 12:00:00
30,NZDUSD_i,0.71525,0.71516,0.7145,0.71635,0.715425,0.7153366666666666,0.7152925,0.715315,8313,2020-12-29 16:00:00
31,NZDUSD_i,0.71518,0.71475,0.71427,0.71567,0.71497,0.7148966666666666,0.7148599999999999,0.7149675,2579,2020-12-29 20:00:00
32,NZDUSD_i,0.71475,0.7173,0.71386,0.71761,0.715735,0.7162566666666667,0.7165174999999999,0.71588,4478,2020-12-30 00:00:00
33,NZDUSD_i,0.71731,0.71813,0.71688,0.71881,0.717845,0.71794,0.7179875,0.7177825,4651,2020-12-30 04:00:00
34,NZDUSD_i,0.71813,0.7179,0.7174,0.71876,0.71808,0.7180200000000001,0.7179900000000001,0.7180475000000001,4504,2020-12-30 08:00:00
35,NZDUSD_i,0.71789,0.71946,0.71786,0.71985,0.718855,0.7190566666666666,0.7191574999999999,0.718765,4753,2020-12-30 12:00:00
36,NZDUSD_i,0.71952,0.72063,0.71802,0.72082,0.71942,0.7198233333333333,0.7200249999999999,0.7197475,8095,2020-12-30 16:00:00
