,EURRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURRUB_i,68.629,68.568,68.461,68.673,68.56700000000001,68.56733333333334,68.5675,68.58275,7740,2019-12-24 12:00:00
1,EURRUB_i,68.568,68.595,68.445,68.638,68.5415,68.55933333333333,68.56825,68.5615,6585,2019-12-24 16:00:00
2,EURRUB_i,68.366,68.352,68.267,68.397,68.332,68.33866666666667,68.342,68.3455,4582,2019-12-26 08:00:00
3,EURRUB_i,68.353,68.782,68.295,68.803,68.549,68.62666666666667,68.6655,68.55825,6945,2019-12-26 12:00:00
4,EURRUB_i,68.784,68.884,68.784,68.948,68.866,68.872,68.875,68.85,6235,2019-12-26 16:00:00
5,EURRUB_i,68.936,68.865,68.67,69.023,68.84649999999999,68.85266666666666,68.85575,68.8735,10618,2019-12-27 08:00:00
6,EURRUB_i,68.865,69.091,68.757,69.148,68.9525,68.99866666666667,69.02175,68.96525,10747,2019-12-27 12:00:00
7,EURRUB_i,69.093,69.284,69.062,69.29,69.176,69.212,69.23,69.18225000000001,10251,2019-12-27 16:00:00
8,EURRUB_i,69.308,69.067,68.889,69.428,69.1585,69.128,69.11275,69.173,11208,2019-12-30 08:00:00
9,EURRUB_i,69.067,69.257,68.957,69.259,69.108,69.15766666666667,69.1825,69.135,10694,2019-12-30 12:00:00
10,EURRUB_i,69.256,69.398,69.208,69.445,69.3265,69.35033333333332,69.36224999999999,69.32675,11959,2019-12-30 16:00:00
11,EURRUB_i,69.322,69.535,69.295,69.619,69.457,69.48299999999999,69.496,69.44274999999999,5044,2019-12-31 08:00:00
12,EURRUB_i,69.535,69.68,69.502,69.835,69.6685,69.67233333333333,69.67425,69.638,7007,2019-12-31 12:00:00
13,EURRUB_i,69.681,69.542,69.456,69.806,69.631,69.60133333333333,69.5865,69.62125,10976,2019-12-31 16:00:00
14,EURRUB_i,69.495,68.906,68.875,69.523,69.199,69.10133333333333,69.05250000000001,69.19975,5611,2020-01-02 08:00:00
15,EURRUB_i,68.906,69.036,68.881,69.087,68.98400000000001,69.00133333333333,69.01,68.9775,6344,2020-01-02 12:00:00
16,EURRUB_i,69.041,68.897,68.827,69.045,68.936,68.923,68.9165,68.9525,10562,2020-01-02 16:00:00
17,EURRUB_i,68.885,69.049,68.882,69.293,69.0875,69.07466666666667,69.06825,69.02725000000001,12918,2020-01-03 08:00:00
18,EURRUB_i,69.048,68.939,68.889,69.055,68.97200000000001,68.961,68.9555,68.98275000000001,10974,2020-01-03 12:00:00
19,EURRUB_i,68.937,69.116,68.905,69.123,69.01400000000001,69.048,69.065,69.02025,11788,2020-01-03 16:00:00
20,EURRUB_i,69.228,69.396,69.221,69.45,69.3355,69.35566666666666,69.36575,69.32375,10773,2020-01-06 08:00:00
21,EURRUB_i,69.398,69.21,69.192,69.442,69.317,69.28133333333334,69.2635,69.31049999999999,10270,2020-01-06 12:00:00
22,EURRUB_i,69.21,69.057,68.929,69.295,69.112,69.09366666666666,69.0845,69.12275,9571,2020-01-06 16:00:00
23,EURRUB_i,68.831,68.782,68.669,68.931,68.8,68.794,68.791,68.80325,13975,2020-01-08 08:00:00
24,EURRUB_i,68.782,68.501,68.433,68.868,68.6505,68.60066666666667,68.57575,68.646,14072,2020-01-08 12:00:00
25,EURRUB_i,68.502,67.786,67.759,68.525,68.142,68.02333333333333,67.964,68.143,14385,2020-01-08 16:00:00
26,EURRUB_i,68.026,67.762,67.758,68.09,67.924,67.87,67.843,67.909,11173,2020-01-09 08:00:00
27,EURRUB_i,67.763,67.98,67.759,67.982,67.87049999999999,67.907,67.92525,67.87100000000001,9234,2020-01-09 12:00:00
28,EURRUB_i,67.98,67.917,67.85,68.015,67.9325,67.92733333333334,67.92475,67.9405,9506,2020-01-09 16:00:00
29,EURRUB_i,67.919,67.937,67.807,68.006,67.9065,67.91666666666667,67.92175,67.91725,7369,2020-01-10 08:00:00
30,EURRUB_i,67.936,67.881,67.816,67.954,67.88499999999999,67.88366666666666,67.883,67.89675,10130,2020-01-10 12:00:00
31,EURRUB_i,67.881,67.709,67.509,67.962,67.7355,67.72666666666667,67.72225,67.76525000000001,14217,2020-01-10 16:00:00
32,EURRUB_i,67.775,67.649,67.585,67.789,67.687,67.67433333333334,67.668,67.6995,7947,2020-01-13 08:00:00
33,EURRUB_i,67.649,67.96,67.641,67.998,67.8195,67.86633333333333,67.88974999999999,67.812,8754,2020-01-13 12:00:00
34,EURRUB_i,67.961,68.063,67.945,68.264,68.1045,68.09066666666666,68.08375,68.05825,9523,2020-01-13 16:00:00
35,EURRUB_i,68.117,68.222,68.083,68.369,68.226,68.22466666666666,68.22399999999999,68.19775,7640,2020-01-14 08:00:00
36,EURRUB_i,68.222,68.019,67.937,68.271,68.104,68.07566666666666,68.0615,68.11225,10328,2020-01-14 12:00:00
37,EURRUB_i,68.015,68.255,67.957,68.316,68.1365,68.176,68.19575,68.13575,9416,2020-01-14 16:00:00
38,EURRUB_i,68.191,68.362,68.103,68.413,68.258,68.29266666666666,68.31,68.26724999999999,6906,2020-01-15 08:00:00
39,EURRUB_i,68.362,68.586,68.215,68.724,68.46950000000001,68.50833333333334,68.52775000000001,68.47175000000001,12036,2020-01-15 12:00:00
40,EURRUB_i,68.585,68.464,68.338,68.66,68.499,68.48733333333332,68.4815,68.51174999999999,11591,2020-01-15 16:00:00
41,EURRUB_i,68.31,68.582,68.302,68.658,68.48,68.514,68.531,68.463,7503,2020-01-16 08:00:00
42,EURRUB_i,68.582,68.578,68.514,68.786,68.65,68.626,68.614,68.61500000000001,10142,2020-01-16 12:00:00
43,EURRUB_i,68.577,68.454,68.437,68.662,68.5495,68.51766666666667,68.50175,68.5325,10287,2020-01-16 16:00:00
44,EURRUB_i,68.516,68.199,68.172,68.585,68.3785,68.31866666666667,68.28875000000001,68.36800000000001,7935,2020-01-17 08:00:00
45,EURRUB_i,68.204,68.115,67.977,68.245,68.111,68.11233333333332,68.113,68.13525,9647,2020-01-17 12:00:00
46,EURRUB_i,68.116,68.168,67.972,68.176,68.074,68.10533333333333,68.12100000000001,68.108,8948,2020-01-17 16:00:00
47,EURRUB_i,68.111,68.168,68.008,68.174,68.09100000000001,68.11666666666667,68.12950000000001,68.11525,6866,2020-01-20 08:00:00
48,EURRUB_i,68.166,68.117,68.078,68.204,68.14099999999999,68.133,68.129,68.14125,5010,2020-01-20 12:00:00
49,EURRUB_i,68.117,68.151,68.062,68.199,68.1305,68.13733333333333,68.14075,68.13225,3932,2020-01-20 16:00:00
50,EURRUB_i,68.307,68.459,68.307,68.592,68.4495,68.45266666666667,68.45425,68.41625,7683,2020-01-21 08:00:00
51,EURRUB_i,68.46,68.623,68.378,68.657,68.5175,68.55266666666667,68.57025,68.5295,8739,2020-01-21 12:00:00
52,EURRUB_i,68.622,68.376,68.374,68.636,68.505,68.462,68.4405,68.502,7861,2020-01-21 16:00:00
