,XBNUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XBNUSD_i,257.49,258.8,254.32,259.41,256.865,257.51,257.8325,257.505,124087,2020-12-11 12:00:00
1,XBNUSD_i,258.78,257.44,256.62,260.09,258.355,258.05,257.89750000000004,258.2325,108522,2020-12-11 16:00:00
2,XBNUSD_i,257.48,259.32,256.58,259.45,258.015,258.45,258.66749999999996,258.2075,57310,2020-12-11 20:00:00
3,XBNUSD_i,273.85,273.33,271.44,274.67,273.055,273.1466666666667,273.1925,273.3225,134200,2020-12-14 00:00:00
4,XBNUSD_i,273.33,271.61,269.98,276.3,273.14,272.63,272.375,272.805,195329,2020-12-14 04:00:00
5,XBNUSD_i,271.63,271.25,270.19,273.35,271.77,271.59666666666664,271.51,271.605,121762,2020-12-14 08:00:00
6,XBNUSD_i,271.25,269.08,266.34,272.66,269.5,269.35999999999996,269.28999999999996,269.8325,164237,2020-12-14 12:00:00
7,XBNUSD_i,269.08,266.85,263.46,272.12,267.78999999999996,267.47666666666663,267.32,267.8775,188162,2020-12-14 16:00:00
8,XBNUSD_i,266.86,268.88,266.62,269.97,268.295,268.49,268.5875,268.0825,88835,2020-12-14 20:00:00
9,XBNUSD_i,271.28,277.48,270.84,278.64,274.74,275.65333333333336,276.11,274.56,112462,2020-12-15 00:00:00
10,XBNUSD_i,277.48,271.22,268.53,280.57,274.54999999999995,273.44,272.885,274.45,120949,2020-12-15 04:00:00
11,XBNUSD_i,271.22,280.1,270.58,280.77,275.67499999999995,277.15,277.8875,275.6675,101132,2020-12-15 08:00:00
12,XBNUSD_i,280.1,288.45,278.72,291.67,285.19500000000005,286.28000000000003,286.82250000000005,284.735,201844,2020-12-15 12:00:00
13,XBNUSD_i,288.45,293.33,285.93,297.58,291.755,292.28,292.54249999999996,291.3225,186219,2020-12-15 16:00:00
14,XBNUSD_i,293.34,289.94,286.12,294.03,290.075,290.03,290.0075,290.85749999999996,91870,2020-12-15 20:00:00
15,XBNUSD_i,287.64,283.87,280.83,289.5,285.16499999999996,284.7333333333333,284.5175,285.46,139626,2020-12-16 00:00:00
16,XBNUSD_i,283.87,283.92,281.22,286.49,283.855,283.8766666666667,283.88750000000005,283.875,99160,2020-12-16 04:00:00
17,XBNUSD_i,283.92,284.15,281.97,286.89,284.43,284.33666666666664,284.28999999999996,284.2325,94699,2020-12-16 08:00:00
18,XBNUSD_i,284.15,297.07,283.9,297.44,290.66999999999996,292.8033333333333,293.86999999999995,290.64,186484,2020-12-16 12:00:00
19,XBNUSD_i,296.74,298.96,295.42,304.87,300.145,299.75,299.5525,298.9975,214568,2020-12-16 16:00:00
20,XBNUSD_i,298.96,300.12,297.77,301.42,299.595,299.77000000000004,299.8575,299.5675,65810,2020-12-16 20:00:00
21,XBNUSD_i,306.01,311.2,305.12,316.54,310.83000000000004,310.9533333333334,311.01500000000004,309.71750000000003,181785,2020-12-17 00:00:00
22,XBNUSD_i,311.2,311.62,305.4,314.3,309.85,310.44,310.735,310.63,144357,2020-12-17 04:00:00
23,XBNUSD_i,311.62,311.03,304.26,314.42,309.34000000000003,309.90333333333336,310.185,310.3325,232671,2020-12-17 08:00:00
24,XBNUSD_i,311.03,317.15,310.92,329.31,320.115,319.12666666666667,318.6325,317.10249999999996,363019,2020-12-17 12:00:00
25,XBNUSD_i,317.15,314.89,314.67,330.3,322.485,319.9533333333333,318.6875,319.2525,284575,2020-12-17 16:00:00
26,XBNUSD_i,314.89,305.64,299.76,318.88,309.32,308.0933333333333,307.48,309.7925,366659,2020-12-17 20:00:00
27,XBNUSD_i,311.18,311.05,303.41,314.07,308.74,309.51,309.895,309.9275,169276,2020-12-18 00:00:00
28,XBNUSD_i,311.05,313.51,308.95,318.47,313.71000000000004,313.6433333333334,313.61,312.995,228417,2020-12-18 04:00:00
