,XRPUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XRPUSD_i,0.49259,0.49988,0.48096,0.50011,0.49053500000000005,0.49365,0.4952075,0.49338499999999996,52268,2021-03-25 16:00:00
1,XRPUSD_i,0.49988,0.51251,0.49585,0.52155,0.5086999999999999,0.5099699999999999,0.510605,0.5074474999999999,38104,2021-03-25 20:00:00
2,XRPUSD_i,0.51758,0.53153,0.5053,0.53443,0.519865,0.5237533333333334,0.5256975,0.5222100000000001,51683,2021-03-26 00:00:00
3,XRPUSD_i,0.53153,0.52864,0.52194,0.535,0.52847,0.5285266666666667,0.528555,0.5292775,36216,2021-03-26 04:00:00
4,XRPUSD_i,0.52867,0.53101,0.52645,0.53851,0.5324800000000001,0.5319900000000001,0.531745,0.5311600000000001,33679,2021-03-26 08:00:00
5,XRPUSD_i,0.53101,0.55294,0.52835,0.57535,0.55185,0.5522133333333333,0.552395,0.5469124999999999,63582,2021-03-26 12:00:00
6,XRPUSD_i,0.55301,0.5539,0.54057,0.56579,0.55318,0.55342,0.55354,0.5533175,47823,2021-03-26 16:00:00
7,XRPUSD_i,0.5539,0.55722,0.54424,0.56134,0.5527899999999999,0.5542666666666666,0.555005,0.554175,27091,2021-03-26 20:00:00
8,XRPUSD_i,0.54301,0.54709,0.54142,0.55385,0.547635,0.5474533333333333,0.5473625,0.5463425,19063,2021-03-29 00:00:00
9,XRPUSD_i,0.54709,0.55427,0.54435,0.56298,0.5536650000000001,0.5538666666666667,0.5539675000000001,0.5521725000000001,29340,2021-03-29 04:00:00
10,XRPUSD_i,0.55427,0.5611,0.54785,0.56229,0.55507,0.55708,0.558085,0.5563775,24292,2021-03-29 08:00:00
11,XRPUSD_i,0.5611,0.56004,0.55863,0.56935,0.56399,0.5626733333333332,0.5620149999999999,0.56228,24124,2021-03-29 12:00:00
12,XRPUSD_i,0.56004,0.56136,0.55035,0.56144,0.555895,0.5577166666666667,0.5586275,0.5582975,27808,2021-03-29 16:00:00
13,XRPUSD_i,0.56136,0.55932,0.55685,0.56924,0.563045,0.5618033333333333,0.5611825,0.5616925,31866,2021-03-29 20:00:00
14,XRPUSD_i,0.56009,0.56249,0.55852,0.56836,0.5634399999999999,0.5631233333333333,0.5629649999999999,0.562365,19932,2021-03-30 00:00:00
15,XRPUSD_i,0.56249,0.57656,0.55785,0.58554,0.571695,0.5733166666666666,0.5741274999999999,0.57061,35562,2021-03-30 04:00:00
16,XRPUSD_i,0.57656,0.56951,0.56835,0.58122,0.574785,0.5730266666666667,0.5721475,0.5739099999999999,32983,2021-03-30 08:00:00
17,XRPUSD_i,0.56951,0.57536,0.56858,0.58124,0.57491,0.57506,0.575135,0.5736725,28454,2021-03-30 12:00:00
18,XRPUSD_i,0.57518,0.56301,0.55962,0.57732,0.56847,0.56665,0.56574,0.5687825,31152,2021-03-30 16:00:00
19,XRPUSD_i,0.56301,0.56121,0.55931,0.56656,0.562935,0.56236,0.5620725,0.5625225,17962,2021-03-30 20:00:00
20,XRPUSD_i,0.56432,0.56835,0.55985,0.57022,0.565035,0.56614,0.5666925,0.565685,14027,2021-03-31 00:00:00
21,XRPUSD_i,0.56835,0.55127,0.52455,0.57056,0.547555,0.5487933333333334,0.5494125000000001,0.5536825000000001,42262,2021-03-31 04:00:00
22,XRPUSD_i,0.55127,0.54632,0.53135,0.56424,0.547795,0.5473033333333334,0.5470575000000001,0.5482950000000001,44926,2021-03-31 08:00:00
