,EURNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURNZD_i,1.7323300000000001,1.7244899999999999,1.7240799999999998,1.7336,1.72884,1.7273899999999998,1.7266649999999997,1.7286249999999999,18309,2020-12-21 16:00:00
1,EURNZD_i,1.72457,1.72396,1.72131,1.7248,1.723055,1.7233566666666666,1.7235075,1.72366,6396,2020-12-21 20:00:00
2,EURNZD_i,1.7218,1.7273,1.7193,1.7279499999999999,1.723625,1.72485,1.7254625,1.7240875,6283,2020-12-22 00:00:00
3,EURNZD_i,1.7273,1.73028,1.7268,1.7322199999999999,1.7295099999999999,1.7297666666666665,1.729895,1.7291499999999997,5970,2020-12-22 04:00:00
4,EURNZD_i,1.73028,1.73284,1.7259799999999998,1.73324,1.7296099999999999,1.7306866666666665,1.7312249999999998,1.730585,13810,2020-12-22 08:00:00
5,EURNZD_i,1.7329599999999998,1.73126,1.72908,1.7344300000000001,1.7317550000000002,1.73159,1.7315075,1.7319325,14996,2020-12-22 12:00:00
6,EURNZD_i,1.73126,1.72838,1.7276,1.73447,1.7310349999999999,1.73015,1.7297075,1.7304275,18055,2020-12-22 16:00:00
7,EURNZD_i,1.72831,1.72681,1.7252999999999998,1.72893,1.727115,1.727013333333333,1.7269625,1.7273375,3713,2020-12-22 20:00:00
8,EURNZD_i,1.72556,1.72798,1.72556,1.7300499999999999,1.727805,1.7278633333333335,1.7278925000000003,1.7272875,8891,2020-12-23 00:00:00
9,EURNZD_i,1.72798,1.7282899999999999,1.72688,1.72875,1.727815,1.7279733333333336,1.7280525,1.7279750000000003,7838,2020-12-23 04:00:00
10,EURNZD_i,1.72827,1.72172,1.71969,1.72841,1.72405,1.7232733333333332,1.7228849999999998,1.7245225,11881,2020-12-23 08:00:00
11,EURNZD_i,1.7217099999999999,1.72091,1.71754,1.72213,1.719835,1.7201933333333332,1.7203724999999999,1.7205724999999998,13673,2020-12-23 12:00:00
12,EURNZD_i,1.7209699999999999,1.71811,1.71692,1.7221899999999999,1.719555,1.7190733333333332,1.7188325,1.7195475,18312,2020-12-23 16:00:00
13,EURNZD_i,1.71811,1.7171699999999999,1.71492,1.71836,1.71664,1.7168166666666664,1.7169049999999997,1.7171399999999999,4011,2020-12-23 20:00:00
14,EURNZD_i,1.7158600000000002,1.71914,1.71566,1.71993,1.717795,1.7182433333333333,1.7184675,1.7176475,7056,2020-12-24 00:00:00
15,EURNZD_i,1.71912,1.71962,1.71824,1.721,1.71962,1.71962,1.71962,1.719495,7363,2020-12-24 04:00:00
16,EURNZD_i,1.71964,1.7151100000000001,1.71485,1.72075,1.7178,1.7169033333333334,1.716455,1.7175875,8766,2020-12-24 08:00:00
17,EURNZD_i,1.71505,1.71447,1.71295,1.7172399999999999,1.7150949999999998,1.7148866666666667,1.7147825,1.7149275,8405,2020-12-24 12:00:00
18,EURNZD_i,1.71452,1.71184,1.71143,1.71587,1.71365,1.7130466666666664,1.712745,1.713415,8959,2020-12-24 16:00:00
19,EURNZD_i,1.71198,1.71182,1.71102,1.71861,1.714815,1.7138166666666665,1.7133175,1.7133574999999999,881,2020-12-24 20:00:00
20,EURNZD_i,1.7118799999999998,1.7139799999999998,1.7114500000000001,1.7154099999999999,1.71343,1.7136133333333332,1.713705,1.71318,8777,2020-12-28 00:00:00
21,EURNZD_i,1.71399,1.71414,1.71255,1.7147999999999999,1.7136749999999998,1.7138299999999997,1.7139075,1.7138699999999998,6458,2020-12-28 04:00:00
22,EURNZD_i,1.7141,1.7170299999999998,1.71181,1.7170299999999998,1.71442,1.7152900000000002,1.715725,1.7149925000000001,9256,2020-12-28 08:00:00
23,EURNZD_i,1.7170299999999998,1.7180900000000001,1.71494,1.71858,1.7167599999999998,1.7172033333333332,1.717425,1.7171599999999998,13523,2020-12-28 12:00:00
24,EURNZD_i,1.71808,1.71977,1.7172,1.7233800000000001,1.72029,1.7201166666666667,1.72003,1.7196075,13539,2020-12-28 16:00:00
25,EURNZD_i,1.71976,1.71942,1.7183899999999999,1.72095,1.7196699999999998,1.7195866666666664,1.7195449999999997,1.7196299999999998,4880,2020-12-28 20:00:00
26,EURNZD_i,1.7189299999999998,1.7177799999999999,1.71732,1.7207599999999998,1.71904,1.7186199999999998,1.71841,1.7186974999999998,5802,2020-12-29 00:00:00
27,EURNZD_i,1.71776,1.71774,1.71752,1.7197,1.71861,1.71832,1.718175,1.71818,6015,2020-12-29 04:00:00
28,EURNZD_i,1.71772,1.7172,1.71536,1.7193100000000001,1.717335,1.7172900000000002,1.7172675000000002,1.7173975000000001,8732,2020-12-29 08:00:00
29,EURNZD_i,1.7172,1.7125599999999999,1.7124700000000002,1.71802,1.7152450000000001,1.7143500000000003,1.7139025,1.7150625000000002,10366,2020-12-29 12:00:00
30,EURNZD_i,1.71246,1.71089,1.70892,1.71463,1.711775,1.71148,1.7113325,1.711725,16228,2020-12-29 16:00:00
31,EURNZD_i,1.71089,1.7137099999999998,1.71089,1.71509,1.71299,1.71323,1.71335,1.712645,5378,2020-12-29 20:00:00
32,EURNZD_i,1.7128100000000002,1.71289,1.71144,1.7146,1.71302,1.7129766666666668,1.712955,1.712935,7810,2020-12-30 00:00:00
33,EURNZD_i,1.71289,1.7100300000000002,1.70898,1.71325,1.711115,1.7107533333333336,1.7105725,1.7112875,6699,2020-12-30 04:00:00
34,EURNZD_i,1.7100300000000002,1.7083,1.70625,1.71078,1.708515,1.7084433333333333,1.7084074999999999,1.70884,10486,2020-12-30 08:00:00
35,EURNZD_i,1.7083,1.70784,1.70427,1.70841,1.70634,1.70684,1.70709,1.707205,12313,2020-12-30 12:00:00
36,EURNZD_i,1.70764,1.70443,1.70347,1.71041,1.70694,1.706103333333333,1.705685,1.7064874999999997,17487,2020-12-30 16:00:00
37,EURNZD_i,1.70428,1.70678,1.7037200000000001,1.70774,1.70573,1.70608,1.706255,1.70563,3686,2020-12-30 20:00:00
38,EURNZD_i,1.7063199999999998,1.70229,1.70106,1.70709,1.704075,1.70348,1.7031825,1.70419,5778,2020-12-31 00:00:00
39,EURNZD_i,1.70229,1.70134,1.70077,1.70397,1.70237,1.7020266666666668,1.7018550000000001,1.7020925,6452,2020-12-31 04:00:00
40,EURNZD_i,1.70134,1.70042,1.70035,1.7034099999999999,1.70188,1.7013933333333335,1.7011500000000002,1.7013800000000001,10986,2020-12-31 08:00:00
41,EURNZD_i,1.70046,1.6980499999999998,1.69456,1.70197,1.6982650000000001,1.6981933333333334,1.6981575000000002,1.69876,12959,2020-12-31 12:00:00
42,EURNZD_i,1.6981199999999999,1.7001,1.69381,1.70159,1.6977,1.6985,1.6988999999999999,1.6984049999999997,17259,2020-12-31 16:00:00
43,EURNZD_i,1.7001,1.69913,1.69809,1.7008299999999998,1.69946,1.69935,1.699295,1.6995375,1785,2020-12-31 20:00:00
44,EURNZD_i,1.69963,1.7009699999999999,1.69963,1.70437,1.702,1.7016566666666666,1.701485,1.70115,10036,2021-01-04 00:00:00
45,EURNZD_i,1.70096,1.70207,1.69966,1.70363,1.701645,1.7017866666666668,1.7018575,1.70158,8566,2021-01-04 04:00:00
46,EURNZD_i,1.70206,1.7025000000000001,1.69908,1.7027299999999999,1.700905,1.7014366666666667,1.7017025000000001,1.7015924999999998,13374,2021-01-04 08:00:00
47,EURNZD_i,1.7025000000000001,1.7048100000000002,1.69994,1.70771,1.7038250000000001,1.7041533333333334,1.7043175000000002,1.7037400000000003,16475,2021-01-04 12:00:00
48,EURNZD_i,1.70475,1.7100300000000002,1.70403,1.71254,1.708285,1.7088666666666665,1.7091574999999999,1.7078375,30224,2021-01-04 16:00:00
49,EURNZD_i,1.71006,1.7070400000000001,1.70505,1.7103000000000002,1.707675,1.7074633333333333,1.7073575,1.7081125,10528,2021-01-04 20:00:00
50,EURNZD_i,1.70635,1.7074099999999999,1.7056200000000001,1.7088100000000002,1.7072150000000001,1.7072800000000001,1.7073125,1.7070475000000003,10291,2021-01-05 00:00:00
51,EURNZD_i,1.7074099999999999,1.70003,1.69951,1.7074500000000001,1.70348,1.70233,1.701755,1.7035999999999998,15268,2021-01-05 04:00:00
52,EURNZD_i,1.7000199999999999,1.70127,1.69847,1.7023000000000001,1.700385,1.7006800000000002,1.7008275000000002,1.7005150000000002,17747,2021-01-05 08:00:00
53,EURNZD_i,1.7012800000000001,1.70468,1.70114,1.7058200000000001,1.70348,1.70388,1.70408,1.70323,17133,2021-01-05 12:00:00
54,EURNZD_i,1.70468,1.69503,1.6949100000000001,1.7049699999999999,1.69994,1.6983033333333335,1.6974850000000001,1.6998975,27183,2021-01-05 16:00:00
55,EURNZD_i,1.69503,1.69571,1.6938,1.69638,1.69509,1.6952966666666667,1.6954,1.69523,8516,2021-01-05 20:00:00
56,EURNZD_i,1.6949999999999998,1.6944,1.69368,1.69774,1.69571,1.6952733333333334,1.695055,1.695205,14415,2021-01-06 00:00:00
57,EURNZD_i,1.69441,1.69194,1.69163,1.69723,1.69443,1.6936,1.693185,1.6938024999999999,20961,2021-01-06 04:00:00
58,EURNZD_i,1.69192,1.68864,1.6881,1.69323,1.690665,1.6899899999999999,1.6896524999999998,1.6904724999999998,20535,2021-01-06 08:00:00
59,EURNZD_i,1.68864,1.69285,1.68662,1.6934200000000001,1.69002,1.6909633333333334,1.691435,1.6903825000000001,20670,2021-01-06 12:00:00
60,EURNZD_i,1.6928100000000001,1.6863299999999999,1.68629,1.69343,1.68986,1.6886833333333333,1.688095,1.689715,31980,2021-01-06 16:00:00
61,EURNZD_i,1.68634,1.68943,1.68606,1.69253,1.689295,1.6893399999999998,1.6893624999999999,1.68859,14785,2021-01-06 20:00:00
62,EURNZD_i,1.6888100000000001,1.69011,1.68731,1.6919499999999998,1.68963,1.6897900000000001,1.68987,1.689545,12310,2021-01-07 00:00:00
63,EURNZD_i,1.69011,1.69129,1.68934,1.6916,1.69047,1.690743333333333,1.69088,1.6905849999999998,12815,2021-01-07 04:00:00
64,EURNZD_i,1.69129,1.69034,1.68895,1.69259,1.69077,1.6906266666666667,1.690555,1.6907925000000001,19215,2021-01-07 08:00:00
65,EURNZD_i,1.6903000000000001,1.69348,1.68868,1.69374,1.6912099999999999,1.6919666666666666,1.692345,1.6915499999999999,20381,2021-01-07 12:00:00
66,EURNZD_i,1.69345,1.69248,1.6912099999999999,1.69678,1.693995,1.69349,1.6932375,1.69348,28096,2021-01-07 16:00:00
67,EURNZD_i,1.69251,1.69049,1.68872,1.69279,1.690755,1.6906666666666668,1.6906225,1.6911275,9369,2021-01-07 20:00:00
68,EURNZD_i,1.68977,1.68925,1.6879300000000002,1.69101,1.68947,1.6893966666666664,1.6893599999999998,1.68949,11212,2021-01-08 00:00:00
69,EURNZD_i,1.68925,1.68777,1.68744,1.69042,1.68893,1.6885433333333335,1.6883500000000002,1.68872,14588,2021-01-08 04:00:00
70,EURNZD_i,1.68777,1.6845400000000001,1.68421,1.6886700000000001,1.6864400000000002,1.685806666666667,1.6854900000000002,1.6862975000000002,19474,2021-01-08 08:00:00
71,EURNZD_i,1.6846,1.6857799999999998,1.68417,1.68803,1.6861,1.6859933333333332,1.68594,1.685645,18725,2021-01-08 12:00:00
72,EURNZD_i,1.68573,1.68973,1.68545,1.69085,1.6881499999999998,1.6886766666666666,1.6889399999999999,1.6879399999999998,32958,2021-01-08 16:00:00
73,EURNZD_i,1.6897199999999999,1.6878600000000001,1.68772,1.69225,1.689985,1.689276666666667,1.6889225000000003,1.6893875,14081,2021-01-08 20:00:00
74,EURNZD_i,1.6881,1.6928999999999998,1.68783,1.69363,1.6907299999999998,1.6914533333333333,1.6918149999999998,1.6906149999999998,8163,2021-01-11 00:00:00
75,EURNZD_i,1.69306,1.6939899999999999,1.69147,1.6942,1.692835,1.6932200000000002,1.6934125,1.6931800000000001,9235,2021-01-11 04:00:00
76,EURNZD_i,1.6939899999999999,1.69197,1.69189,1.6953399999999998,1.6936149999999999,1.6930666666666667,1.6927925,1.6932975,15030,2021-01-11 08:00:00
77,EURNZD_i,1.69192,1.69448,1.69005,1.6951399999999999,1.6925949999999998,1.6932233333333333,1.6935375000000001,1.6928975,15845,2021-01-11 12:00:00
78,EURNZD_i,1.69447,1.69397,1.69275,1.69802,1.695385,1.6949133333333333,1.6946775,1.6948025,22255,2021-01-11 16:00:00
79,EURNZD_i,1.69429,1.6959,1.6934900000000002,1.69651,1.695,1.6953000000000003,1.6954500000000001,1.6950475000000003,5497,2021-01-11 20:00:00
80,EURNZD_i,1.6964000000000001,1.6945999999999999,1.6940499999999998,1.69651,1.69528,1.6950533333333333,1.69494,1.6953900000000002,8410,2021-01-12 00:00:00
81,EURNZD_i,1.6945999999999999,1.69333,1.6930800000000001,1.69574,1.69441,1.69405,1.69387,1.6941875,6907,2021-01-12 04:00:00
82,EURNZD_i,1.69333,1.6914,1.69069,1.69556,1.693125,1.69255,1.6922625,1.692745,13546,2021-01-12 08:00:00
83,EURNZD_i,1.69135,1.69455,1.6891500000000002,1.69504,1.6920950000000001,1.6929133333333333,1.6933224999999998,1.6925225,14938,2021-01-12 12:00:00
84,EURNZD_i,1.6945700000000001,1.69226,1.69192,1.69628,1.6941000000000002,1.6934866666666668,1.6931800000000001,1.6937575000000002,18927,2021-01-12 16:00:00
85,EURNZD_i,1.69226,1.68898,1.68738,1.6929699999999999,1.690175,1.6897766666666667,1.6895775,1.6903975,8433,2021-01-12 20:00:00
86,EURNZD_i,1.68961,1.6887400000000001,1.687,1.6902,1.6886,1.6886466666666669,1.6886700000000001,1.6888875,6315,2021-01-13 00:00:00
87,EURNZD_i,1.6887400000000001,1.6898900000000001,1.68762,1.69078,1.6892,1.68943,1.689545,1.6892575,4725,2021-01-13 04:00:00
88,EURNZD_i,1.68988,1.69248,1.68871,1.69311,1.69091,1.6914333333333333,1.691695,1.691045,11538,2021-01-13 08:00:00
89,EURNZD_i,1.6924700000000001,1.69354,1.69199,1.69551,1.69375,1.6936799999999999,1.693645,1.6933775,15043,2021-01-13 12:00:00
90,EURNZD_i,1.69354,1.69051,1.69006,1.69631,1.693185,1.6922933333333334,1.6918475,1.692605,19118,2021-01-13 16:00:00
91,EURNZD_i,1.6907299999999998,1.6927699999999999,1.68986,1.69371,1.6917849999999999,1.6921133333333334,1.6922774999999999,1.6917675,6152,2021-01-13 20:00:00
92,EURNZD_i,1.6934,1.69163,1.69065,1.69421,1.6924299999999999,1.6921633333333332,1.69203,1.6924725,5101,2021-01-14 00:00:00
93,EURNZD_i,1.69164,1.68651,1.6861199999999998,1.69248,1.6892999999999998,1.68837,1.687905,1.6891875,9454,2021-01-14 04:00:00
94,EURNZD_i,1.68651,1.68929,1.6858300000000002,1.69036,1.6880950000000001,1.6884933333333334,1.6886925,1.6879975,12112,2021-01-14 08:00:00
95,EURNZD_i,1.6892800000000001,1.6869,1.6842899999999998,1.69086,1.6875749999999998,1.6873499999999997,1.6872374999999997,1.6878324999999998,14845,2021-01-14 12:00:00
96,EURNZD_i,1.6869,1.68153,1.68098,1.68792,1.68445,1.6834766666666667,1.6829900000000002,1.6843325,18841,2021-01-14 16:00:00
97,EURNZD_i,1.68153,1.68235,1.6808100000000001,1.68337,1.68209,1.6821766666666669,1.68222,1.6820150000000003,8514,2021-01-14 20:00:00
98,EURNZD_i,1.6829100000000001,1.6847400000000001,1.68119,1.6852,1.683195,1.6837100000000003,1.6839675,1.68351,7548,2021-01-15 00:00:00
99,EURNZD_i,1.6847400000000001,1.68668,1.68423,1.68739,1.68581,1.6861,1.686245,1.6857600000000001,6801,2021-01-15 04:00:00
100,EURNZD_i,1.68668,1.68808,1.6851,1.68968,1.6873900000000002,1.6876200000000001,1.6877350000000002,1.6873850000000001,11996,2021-01-15 08:00:00
101,EURNZD_i,1.68807,1.69093,1.68685,1.6913,1.6890749999999999,1.6896933333333333,1.6900024999999999,1.6892874999999998,14973,2021-01-15 12:00:00
102,EURNZD_i,1.69093,1.69051,1.68953,1.6973099999999999,1.69342,1.69245,1.691965,1.69207,22731,2021-01-15 16:00:00
103,EURNZD_i,1.6905000000000001,1.69318,1.6897799999999998,1.69343,1.691605,1.69213,1.6923925,1.6917225,6443,2021-01-15 20:00:00
104,EURNZD_i,1.6905999999999999,1.69436,1.6905999999999999,1.69573,1.693165,1.6935633333333335,1.6937625,1.6928225000000001,8006,2021-01-18 00:00:00
105,EURNZD_i,1.69414,1.6947,1.69284,1.6951100000000001,1.693975,1.6942166666666667,1.6943375,1.6941975,7343,2021-01-18 04:00:00
