,USDSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDSGD_i,1.33606,1.33222,1.33201,1.33608,1.334045,1.3334366666666666,1.3331325,1.3340925,4463,2020-12-21 16:00:00
1,USDSGD_i,1.33222,1.33202,1.33105,1.3331,1.3320750000000001,1.3320566666666667,1.3320475,1.3320975000000002,2339,2020-12-21 20:00:00
2,USDSGD_i,1.33202,1.33261,1.33107,1.33352,1.332295,1.3324,1.3324525,1.332305,2162,2020-12-22 00:00:00
3,USDSGD_i,1.33261,1.33716,1.3323800000000001,1.3372,1.33479,1.33558,1.335975,1.3348375,2429,2020-12-22 04:00:00
4,USDSGD_i,1.33716,1.33592,1.33368,1.33751,1.335595,1.3357033333333332,1.3357575,1.3360675,3113,2020-12-22 08:00:00
5,USDSGD_i,1.33592,1.33388,1.33266,1.33598,1.33432,1.3341733333333332,1.3340999999999998,1.3346099999999999,2596,2020-12-22 12:00:00
6,USDSGD_i,1.33384,1.33617,1.33357,1.33656,1.335065,1.3354333333333333,1.3356175,1.335035,4270,2020-12-22 16:00:00
7,USDSGD_i,1.3361399999999999,1.3357,1.33568,1.33712,1.3364,1.3361666666666665,1.33605,1.33616,1465,2020-12-22 20:00:00
8,USDSGD_i,1.3357,1.33563,1.33459,1.3364,1.3354949999999999,1.33554,1.3355625,1.33558,2810,2020-12-23 00:00:00
9,USDSGD_i,1.33565,1.33441,1.3343,1.33633,1.335315,1.3350133333333334,1.3348625,1.3351725,2123,2020-12-23 04:00:00
10,USDSGD_i,1.33442,1.33277,1.33228,1.33521,1.333745,1.33342,1.3332575,1.33367,2023,2020-12-23 08:00:00
11,USDSGD_i,1.33277,1.33335,1.33271,1.33438,1.333545,1.33348,1.3334475000000001,1.3333025,1502,2020-12-23 12:00:00
12,USDSGD_i,1.3333300000000001,1.33219,1.3309199999999999,1.33362,1.3322699999999998,1.3322433333333332,1.3322299999999998,1.332515,4054,2020-12-23 16:00:00
