,IBEX35_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,IBEX35_i,7088.3,6981.3,6892.3,7107.3,6999.8,6993.633333333334,6990.55,7017.3,27240,2020-04-07 16:00:00
1,IBEX35_i,6982.3,6977.3,6972.3,6999.3,6985.8,6982.966666666667,6981.55,6982.8,2130,2020-04-07 20:00:00
2,IBEX35_i,6861.2,6869.2,6851.2,6946.2,6898.7,6888.866666666666,6883.95,6881.95,15953,2020-04-08 08:00:00
3,IBEX35_i,6870.2,6924.2,6851.2,6943.2,6897.2,6906.2,6910.7,6897.2,14180,2020-04-08 12:00:00
4,IBEX35_i,6923.2,6933.2,6875.2,6949.2,6912.2,6919.2,6922.7,6920.2,18042,2020-04-08 16:00:00
5,IBEX35_i,6933.2,6934.2,6920.2,6951.2,6935.7,6935.2,6934.95,6934.7,1739,2020-04-08 20:00:00
6,IBEX35_i,6978.1,6915.1,6915.1,7062.1,6988.6,6964.100000000001,6951.85,6967.6,11428,2020-04-09 08:00:00
7,IBEX35_i,6914.1,7051.1,6904.1,7068.1,6986.1,7007.766666666667,7018.6,6984.35,21880,2020-04-09 12:00:00
8,IBEX35_i,7055.1,7049.1,7010.1,7102.1,7056.1,7053.766666666667,7052.6,7054.1,23850,2020-04-09 16:00:00
9,IBEX35_i,7051.1,7061.1,7049.1,7065.1,7057.1,7058.433333333334,7059.1,7056.6,1608,2020-04-09 20:00:00
10,IBEX35_i,7098.8,7117.3,7087.8,7199.8,7143.8,7134.966666666667,7130.55,7125.925,10072,2020-04-14 08:00:00
11,IBEX35_i,7119.3,7102.3,7067.3,7128.3,7097.8,7099.3,7100.05,7104.3,8638,2020-04-14 12:00:00
12,IBEX35_i,7102.3,7100.3,7058.3,7168.3,7113.3,7108.966666666667,7106.8,7107.3,18009,2020-04-14 16:00:00
13,IBEX35_i,7100.3,7097.3,7090.3,7100.3,7095.3,7095.966666666667,7096.3,7097.05,295,2020-04-14 20:00:00
14,IBEX35_i,7029.2,6932.2,6925.2,7077.2,7001.2,6978.2,6966.7,6990.95,12965,2020-04-15 08:00:00
15,IBEX35_i,6933.2,6847.2,6845.2,6943.2,6894.2,6878.533333333333,6870.7,6892.2,14307,2020-04-15 12:00:00
16,IBEX35_i,6846.2,6827.2,6808.2,6874.2,6841.2,6836.533333333333,6834.2,6838.95,17348,2020-04-15 16:00:00
