,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDNZD_i,1.06879,1.06782,1.06766,1.06998,1.06882,1.0684866666666668,1.0683200000000002,1.0685625,14123,2020-12-21 16:00:00
1,AUDNZD_i,1.06785,1.06732,1.06708,1.06879,1.0679349999999999,1.0677299999999998,1.0676275,1.0677599999999998,7003,2020-12-21 20:00:00
2,AUDNZD_i,1.06788,1.06909,1.06583,1.06925,1.0675400000000002,1.0680566666666669,1.0683150000000001,1.0680125,6266,2020-12-22 00:00:00
3,AUDNZD_i,1.06909,1.07046,1.06903,1.07116,1.0700949999999998,1.0702166666666664,1.0702774999999998,1.0699349999999999,4909,2020-12-22 04:00:00
4,AUDNZD_i,1.07046,1.06891,1.06763,1.07119,1.06941,1.0692433333333333,1.0691599999999999,1.0695474999999999,7759,2020-12-22 08:00:00
5,AUDNZD_i,1.06892,1.06907,1.06755,1.07005,1.0688,1.06889,1.068935,1.0688975,8020,2020-12-22 12:00:00
6,AUDNZD_i,1.06908,1.06903,1.0674,1.07012,1.06876,1.06885,1.068895,1.0689075,13035,2020-12-22 16:00:00
7,AUDNZD_i,1.06905,1.06792,1.0679,1.06977,1.068835,1.06853,1.0683775,1.06866,7119,2020-12-22 20:00:00
8,AUDNZD_i,1.06796,1.06964,1.06705,1.0707200000000001,1.068885,1.0691366666666668,1.0692625,1.0688425000000001,5994,2020-12-23 00:00:00
9,AUDNZD_i,1.06965,1.0703,1.06929,1.07092,1.070105,1.07017,1.0702025000000002,1.07004,4248,2020-12-23 04:00:00
10,AUDNZD_i,1.07029,1.0683,1.06775,1.07077,1.0692599999999999,1.0689399999999998,1.0687799999999998,1.0692774999999999,6638,2020-12-23 08:00:00
11,AUDNZD_i,1.06832,1.0689,1.06628,1.06897,1.067625,1.0680500000000002,1.0682625000000001,1.0681175,7300,2020-12-23 12:00:00
12,AUDNZD_i,1.06887,1.06776,1.06732,1.06931,1.0683150000000001,1.06813,1.0680375,1.0683150000000001,11711,2020-12-23 16:00:00
13,AUDNZD_i,1.06776,1.0671599999999999,1.06666,1.06823,1.067445,1.06735,1.0673024999999998,1.0674525,4493,2020-12-23 20:00:00
14,AUDNZD_i,1.0671599999999999,1.06832,1.06668,1.0689,1.06779,1.0679666666666667,1.068055,1.067765,4511,2020-12-24 00:00:00
15,AUDNZD_i,1.06832,1.06874,1.06808,1.0689899999999999,1.0685349999999998,1.0686033333333331,1.0686375,1.0685324999999999,4038,2020-12-24 04:00:00
16,AUDNZD_i,1.06872,1.06833,1.06805,1.06987,1.0689600000000001,1.06875,1.068645,1.0687425,6187,2020-12-24 08:00:00
17,AUDNZD_i,1.06833,1.06894,1.06735,1.07022,1.068785,1.0688366666666667,1.0688625,1.06871,5514,2020-12-24 12:00:00
18,AUDNZD_i,1.06896,1.06812,1.06802,1.06936,1.0686900000000001,1.0685,1.068405,1.068615,6607,2020-12-24 16:00:00
19,AUDNZD_i,1.06813,1.06725,1.06664,1.07058,1.06861,1.0681566666666666,1.06793,1.0681500000000002,678,2020-12-24 20:00:00
20,AUDNZD_i,1.06798,1.06779,1.06646,1.06963,1.0680450000000001,1.06796,1.0679175,1.067965,5195,2020-12-28 00:00:00
21,AUDNZD_i,1.0678,1.06775,1.06731,1.06844,1.067875,1.0678333333333334,1.0678125,1.067825,4168,2020-12-28 04:00:00
22,AUDNZD_i,1.06772,1.06701,1.06652,1.06799,1.0672549999999998,1.067173333333333,1.0671324999999998,1.06731,4453,2020-12-28 08:00:00
23,AUDNZD_i,1.06701,1.06747,1.06649,1.06749,1.06699,1.06715,1.0672300000000001,1.067115,6983,2020-12-28 12:00:00
24,AUDNZD_i,1.06747,1.06682,1.06605,1.06753,1.0667900000000001,1.0668,1.066805,1.0669675,7897,2020-12-28 16:00:00
25,AUDNZD_i,1.06681,1.06675,1.06634,1.0674,1.06687,1.0668300000000002,1.06681,1.0668250000000001,4111,2020-12-28 20:00:00
26,AUDNZD_i,1.06659,1.06644,1.06603,1.06772,1.066875,1.06673,1.0666575,1.066695,3936,2020-12-29 00:00:00
27,AUDNZD_i,1.06645,1.06637,1.06598,1.067,1.06649,1.06645,1.06643,1.06645,3441,2020-12-29 04:00:00
28,AUDNZD_i,1.06638,1.06507,1.0648,1.06652,1.0656599999999998,1.0654633333333332,1.065365,1.0656925,5248,2020-12-29 08:00:00
29,AUDNZD_i,1.06507,1.06374,1.06366,1.06555,1.064605,1.0643166666666666,1.0641725,1.064505,5404,2020-12-29 12:00:00
30,AUDNZD_i,1.06366,1.06394,1.06262,1.0645,1.0635599999999998,1.0636866666666667,1.06375,1.06368,11063,2020-12-29 16:00:00
31,AUDNZD_i,1.06384,1.06398,1.06339,1.06479,1.06409,1.0640533333333333,1.064035,1.064,4461,2020-12-29 20:00:00
32,AUDNZD_i,1.06398,1.06365,1.06279,1.06474,1.063765,1.0637266666666667,1.0637075,1.06379,4911,2020-12-30 00:00:00
33,AUDNZD_i,1.06365,1.06577,1.06359,1.06597,1.06478,1.06511,1.0652750000000002,1.064745,4473,2020-12-30 04:00:00
34,AUDNZD_i,1.06577,1.06493,1.06463,1.0661100000000001,1.0653700000000002,1.0652233333333334,1.06515,1.06536,6186,2020-12-30 08:00:00
35,AUDNZD_i,1.06493,1.06467,1.0642800000000001,1.06577,1.065025,1.0649066666666667,1.0648475,1.0649125000000002,6535,2020-12-30 12:00:00
36,AUDNZD_i,1.06467,1.06521,1.06459,1.0673,1.065945,1.0656999999999999,1.0655774999999998,1.0654425,9585,2020-12-30 16:00:00
37,AUDNZD_i,1.06523,1.06625,1.0648900000000001,1.06686,1.0658750000000001,1.066,1.0660625000000001,1.0658075,3812,2020-12-30 20:00:00
38,AUDNZD_i,1.06687,1.06581,1.06469,1.06687,1.06578,1.06579,1.065795,1.06606,3410,2020-12-31 00:00:00
39,AUDNZD_i,1.0658,1.06638,1.06528,1.06656,1.06592,1.0660733333333334,1.06615,1.066005,3673,2020-12-31 04:00:00
40,AUDNZD_i,1.06638,1.06671,1.06574,1.06738,1.06656,1.06661,1.066635,1.0665525,6192,2020-12-31 08:00:00
41,AUDNZD_i,1.0667,1.06859,1.06648,1.06919,1.067835,1.0680866666666666,1.0682125,1.0677400000000001,6163,2020-12-31 12:00:00
42,AUDNZD_i,1.06859,1.07005,1.06847,1.07185,1.07016,1.0701233333333333,1.070105,1.06974,7491,2020-12-31 16:00:00
43,AUDNZD_i,1.07005,1.0708,1.0695999999999999,1.0713300000000001,1.070465,1.0705766666666667,1.0706325,1.070445,1239,2020-12-31 20:00:00
44,AUDNZD_i,1.07023,1.07121,1.06926,1.07185,1.0705550000000001,1.0707733333333334,1.0708825,1.0706375000000001,9807,2021-01-04 00:00:00
45,AUDNZD_i,1.0712,1.07035,1.06994,1.07125,1.070595,1.0705133333333332,1.0704725,1.0706849999999999,5714,2021-01-04 04:00:00
