,WSt30_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,WSt30_m_i,30099.0,30011.0,29992.0,30119.0,30055.5,30040.666666666668,30033.25,30055.25,3527,2020-12-07 20:00:00
1,WSt30_m_i,30011.0,30071.0,29968.0,30079.0,30023.5,30039.333333333332,30047.25,30032.25,1951,2020-12-08 00:00:00
2,WSt30_m_i,29995.0,29991.0,29961.0,30026.0,29993.5,29992.666666666668,29992.25,29993.25,1964,2020-12-08 04:00:00
3,WSt30_m_i,29991.0,29993.0,29959.0,30042.0,30000.5,29998.0,29996.75,29996.25,1615,2020-12-08 08:00:00
4,WSt30_m_i,29993.0,29987.0,29943.0,30059.0,30001.0,29996.333333333332,29994.0,29995.5,2641,2020-12-08 12:00:00
5,WSt30_m_i,29987.0,30049.0,29864.0,30064.0,29964.0,29992.333333333332,30006.5,29991.0,3531,2020-12-08 16:00:00
6,WSt30_m_i,30048.0,30178.0,30014.0,30213.0,30113.5,30135.0,30145.75,30113.25,3444,2020-12-08 20:00:00
7,WSt30_m_i,30177.0,30178.0,30152.0,30246.0,30199.0,30192.0,30188.5,30188.25,1712,2020-12-09 00:00:00
8,WSt30_m_i,30217.0,30254.0,30194.0,30275.0,30234.5,30241.0,30244.25,30235.0,2184,2020-12-09 04:00:00
9,WSt30_m_i,30255.0,30270.0,30246.0,30283.0,30264.5,30266.333333333332,30267.25,30263.5,1417,2020-12-09 08:00:00
10,WSt30_m_i,30272.0,30267.0,30207.0,30299.0,30253.0,30257.666666666668,30260.0,30261.25,2540,2020-12-09 12:00:00
11,WSt30_m_i,30267.0,30224.0,30224.0,30314.0,30269.0,30254.0,30246.5,30257.25,2260,2020-12-09 16:00:00
12,WSt30_m_i,30222.0,29960.0,29953.0,30223.0,30088.0,30045.333333333332,30024.0,30089.5,5354,2020-12-09 20:00:00
13,WSt30_m_i,29959.0,30040.0,29959.0,30124.0,30041.5,30041.0,30040.75,30020.5,3289,2020-12-10 00:00:00
14,WSt30_m_i,30095.0,30106.0,30070.0,30115.0,30092.5,30097.0,30099.25,30096.5,1889,2020-12-10 04:00:00
15,WSt30_m_i,30106.0,30044.0,30039.0,30112.0,30075.5,30065.0,30059.75,30075.25,1859,2020-12-10 08:00:00
16,WSt30_m_i,30044.0,30117.0,30020.0,30150.0,30085.0,30095.666666666668,30101.0,30082.75,2688,2020-12-10 12:00:00
17,WSt30_m_i,30116.0,30047.0,29870.0,30127.0,29998.5,30014.666666666668,30022.75,30040.0,4146,2020-12-10 16:00:00
18,WSt30_m_i,30050.0,29971.0,29945.0,30066.0,30005.5,29994.0,29988.25,30008.0,4801,2020-12-10 20:00:00
19,WSt30_m_i,29971.0,30001.0,29910.0,30057.0,29983.5,29989.333333333332,29992.25,29984.75,2490,2020-12-11 00:00:00
20,WSt30_m_i,30053.0,30008.0,29995.0,30091.0,30043.0,30031.333333333332,30025.5,30036.75,1957,2020-12-11 04:00:00
21,WSt30_m_i,30007.0,30006.0,29952.0,30017.0,29984.5,29991.666666666668,29995.25,29995.5,1463,2020-12-11 08:00:00
22,WSt30_m_i,30006.0,29781.0,29770.0,30050.0,29910.0,29867.0,29845.5,29901.75,3547,2020-12-11 12:00:00
23,WSt30_m_i,29780.0,29908.0,29722.0,29920.0,29821.0,29850.0,29864.5,29832.5,3991,2020-12-11 16:00:00
24,WSt30_m_i,29903.0,30037.0,29817.0,30059.0,29938.0,29971.0,29987.5,29954.0,4295,2020-12-11 20:00:00
25,WSt30_m_i,30196.0,30203.0,30152.0,30220.0,30186.0,30191.666666666668,30194.5,30192.75,1890,2020-12-14 04:00:00
26,WSt30_m_i,30205.0,30202.0,30170.0,30224.0,30197.0,30198.666666666668,30199.5,30200.25,1379,2020-12-14 08:00:00
27,WSt30_m_i,30202.0,30238.0,30189.0,30262.0,30225.5,30229.666666666668,30231.75,30222.75,2505,2020-12-14 12:00:00
28,WSt30_m_i,30237.0,30264.0,30216.0,30295.0,30255.5,30258.333333333332,30259.75,30253.0,2523,2020-12-14 16:00:00
29,WSt30_m_i,30266.0,30035.0,30009.0,30323.0,30166.0,30122.333333333332,30100.5,30158.25,4680,2020-12-14 20:00:00
30,WSt30_m_i,30035.0,29849.0,29848.0,30050.0,29949.0,29915.666666666668,29899.0,29945.5,2434,2020-12-15 00:00:00
31,WSt30_m_i,29935.0,29917.0,29872.0,29969.0,29920.5,29919.333333333332,29918.75,29923.25,2168,2020-12-15 04:00:00
32,WSt30_m_i,29916.0,29909.0,29837.0,29928.0,29882.5,29891.333333333332,29895.75,29897.5,1994,2020-12-15 08:00:00
33,WSt30_m_i,29910.0,30021.0,29902.0,30051.0,29976.5,29991.333333333332,29998.75,29971.0,2563,2020-12-15 12:00:00
34,WSt30_m_i,30019.0,29945.0,29929.0,30065.0,29997.0,29979.666666666668,29971.0,29989.5,2856,2020-12-15 16:00:00
35,WSt30_m_i,29946.0,30216.0,29893.0,30225.0,30059.0,30111.333333333332,30137.5,30070.0,4245,2020-12-15 20:00:00
36,WSt30_m_i,30216.0,30203.0,30149.0,30238.0,30193.5,30196.666666666668,30198.25,30201.5,1895,2020-12-16 00:00:00
37,WSt30_m_i,30227.0,30186.0,30156.0,30247.0,30201.5,30196.333333333332,30193.75,30204.0,1674,2020-12-16 04:00:00
38,WSt30_m_i,30187.0,30187.0,30148.0,30206.0,30177.0,30180.333333333332,30182.0,30182.0,1389,2020-12-16 08:00:00
39,WSt30_m_i,30185.0,30288.0,30170.0,30289.0,30229.5,30249.0,30258.75,30233.0,2275,2020-12-16 12:00:00
40,WSt30_m_i,30287.0,30190.0,30132.0,30316.0,30224.0,30212.666666666668,30207.0,30231.25,2752,2020-12-16 16:00:00
41,WSt30_m_i,30190.0,30132.0,30098.0,30219.0,30158.5,30149.666666666668,30145.25,30159.75,3066,2020-12-16 20:00:00
42,WSt30_m_i,30148.0,30167.0,30079.0,30237.0,30158.0,30161.0,30162.5,30157.75,2483,2020-12-17 00:00:00
43,WSt30_m_i,30178.0,30202.0,30148.0,30207.0,30177.5,30185.666666666668,30189.75,30183.75,1557,2020-12-17 04:00:00
44,WSt30_m_i,30203.0,30245.0,30201.0,30259.0,30230.0,30235.0,30237.5,30227.0,1320,2020-12-17 08:00:00
45,WSt30_m_i,30247.0,30287.0,30245.0,30330.0,30287.5,30287.333333333332,30287.25,30277.25,2135,2020-12-17 12:00:00
46,WSt30_m_i,30287.0,30270.0,30224.0,30318.0,30271.0,30270.666666666668,30270.5,30274.75,2299,2020-12-17 16:00:00
47,WSt30_m_i,30271.0,30272.0,30221.0,30306.0,30263.5,30266.333333333332,30267.75,30267.5,2985,2020-12-17 20:00:00
48,WSt30_m_i,30272.0,30293.0,30251.0,30294.0,30272.5,30279.333333333332,30282.75,30277.5,1422,2020-12-18 00:00:00
49,WSt30_m_i,30290.0,30197.0,30193.0,30293.0,30243.0,30227.666666666668,30220.0,30243.25,1401,2020-12-18 04:00:00
50,WSt30_m_i,30196.0,30212.0,30155.0,30235.0,30195.0,30200.666666666668,30203.5,30199.5,1513,2020-12-18 08:00:00
51,WSt30_m_i,30212.0,30301.0,30201.0,30346.0,30273.5,30282.666666666668,30287.25,30265.0,2141,2020-12-18 12:00:00
52,WSt30_m_i,30301.0,30204.0,30161.0,30317.0,30239.0,30227.333333333332,30221.5,30245.75,2883,2020-12-18 16:00:00
53,WSt30_m_i,30206.0,30103.0,30032.0,30216.0,30124.0,30117.0,30113.5,30139.25,4032,2020-12-18 20:00:00
54,WSt30_m_i,30266.0,30217.0,30168.0,30297.0,30232.5,30227.333333333332,30224.75,30237.0,3200,2020-12-21 04:00:00
55,WSt30_m_i,30217.0,30231.0,30170.0,30283.0,30226.5,30228.0,30228.75,30225.25,2018,2020-12-21 08:00:00
56,WSt30_m_i,30229.0,29494.0,29406.0,30229.0,29817.5,29709.666666666668,29655.75,29839.5,6761,2020-12-21 12:00:00
57,WSt30_m_i,29498.0,29949.0,29474.0,30046.0,29760.0,29823.0,29854.5,29741.75,8263,2020-12-21 16:00:00
58,WSt30_m_i,29950.0,30220.0,29730.0,30255.0,29992.5,30068.333333333332,30106.25,30038.75,6376,2020-12-21 20:00:00
59,WSt30_m_i,30224.0,30197.0,30096.0,30286.0,30191.0,30193.0,30194.0,30200.75,2702,2020-12-22 00:00:00
60,WSt30_m_i,30176.0,30192.0,30101.0,30203.0,30152.0,30165.333333333332,30172.0,30168.0,2501,2020-12-22 04:00:00
61,WSt30_m_i,30192.0,30019.0,30010.0,30194.0,30102.0,30074.333333333332,30060.5,30103.75,3061,2020-12-22 08:00:00
62,WSt30_m_i,30019.0,30174.0,30012.0,30238.0,30125.0,30141.333333333332,30149.5,30110.75,4036,2020-12-22 12:00:00
63,WSt30_m_i,30174.0,30056.0,30034.0,30229.0,30131.5,30106.333333333332,30093.75,30123.25,3216,2020-12-22 16:00:00
64,WSt30_m_i,30057.0,30097.0,30002.0,30143.0,30072.5,30080.666666666668,30084.75,30074.75,4313,2020-12-22 20:00:00
65,WSt30_m_i,30096.0,30009.0,29977.0,30104.0,30040.5,30030.0,30024.75,30046.5,2180,2020-12-23 00:00:00
66,WSt30_m_i,30018.0,29875.0,29827.0,30074.0,29950.5,29925.333333333332,29912.75,29948.5,3833,2020-12-23 04:00:00
67,WSt30_m_i,29875.0,29971.0,29864.0,30001.0,29932.5,29945.333333333332,29951.75,29927.75,2270,2020-12-23 08:00:00
68,WSt30_m_i,29972.0,30093.0,29966.0,30106.0,30036.0,30055.0,30064.5,30034.25,2651,2020-12-23 12:00:00
69,WSt30_m_i,30093.0,30207.0,30036.0,30227.0,30131.5,30156.666666666668,30169.25,30140.75,2619,2020-12-23 16:00:00
70,WSt30_m_i,30204.0,30248.0,30145.0,30272.0,30208.5,30221.666666666668,30228.25,30217.25,2950,2020-12-23 20:00:00
71,WSt30_m_i,30249.0,30119.0,30107.0,30261.0,30184.0,30162.333333333332,30151.5,30184.0,1598,2020-12-24 00:00:00
72,WSt30_m_i,30174.0,30193.0,30125.0,30219.0,30172.0,30179.0,30182.5,30177.75,2061,2020-12-24 04:00:00
73,WSt30_m_i,30193.0,30194.0,30159.0,30207.0,30183.0,30186.666666666668,30188.5,30188.25,1656,2020-12-24 08:00:00
74,WSt30_m_i,30194.0,30196.0,30173.0,30240.0,30206.5,30203.0,30201.25,30200.75,1874,2020-12-24 12:00:00
75,WSt30_m_i,30196.0,30172.0,30128.0,30199.0,30163.5,30166.333333333332,30167.75,30173.75,2130,2020-12-24 16:00:00
76,WSt30_m_i,30173.0,30106.0,30104.0,30185.0,30144.5,30131.666666666668,30125.25,30142.0,1364,2020-12-24 20:00:00
77,WSt30_m_i,30254.0,30334.0,30208.0,30345.0,30276.5,30295.666666666668,30305.25,30285.25,2682,2020-12-28 04:00:00
78,WSt30_m_i,30334.0,30345.0,30320.0,30362.0,30341.0,30342.333333333332,30343.0,30340.25,1610,2020-12-28 08:00:00
79,WSt30_m_i,30345.0,30348.0,30303.0,30377.0,30340.0,30342.666666666668,30344.0,30343.25,1976,2020-12-28 12:00:00
80,WSt30_m_i,30348.0,30389.0,30331.0,30417.0,30374.0,30379.0,30381.5,30371.25,2410,2020-12-28 16:00:00
81,WSt30_m_i,30388.0,30407.0,30373.0,30513.0,30443.0,30431.0,30425.0,30420.25,2539,2020-12-28 20:00:00
82,WSt30_m_i,30407.0,30403.0,30376.0,30438.0,30407.0,30405.666666666668,30405.0,30406.0,1239,2020-12-29 00:00:00
83,WSt30_m_i,30433.0,30531.0,30429.0,30540.0,30484.5,30500.0,30507.75,30483.25,1694,2020-12-29 04:00:00
84,WSt30_m_i,30531.0,30579.0,30510.0,30589.0,30549.5,30559.333333333332,30564.25,30552.25,1723,2020-12-29 08:00:00
85,WSt30_m_i,30583.0,30548.0,30528.0,30589.0,30558.5,30555.0,30553.25,30562.0,1972,2020-12-29 12:00:00
86,WSt30_m_i,30549.0,30430.0,30410.0,30572.0,30491.0,30470.666666666668,30460.5,30490.25,2141,2020-12-29 16:00:00
87,WSt30_m_i,30430.0,30322.0,30261.0,30471.0,30366.0,30351.333333333332,30344.0,30371.0,3972,2020-12-29 20:00:00
88,WSt30_m_i,30322.0,30341.0,30266.0,30378.0,30322.0,30328.333333333332,30331.5,30326.75,1830,2020-12-30 00:00:00
89,WSt30_m_i,30336.0,30387.0,30304.0,30391.0,30347.5,30360.666666666668,30367.25,30354.5,2027,2020-12-30 04:00:00
90,WSt30_m_i,30387.0,30393.0,30361.0,30443.0,30402.0,30399.0,30397.5,30396.0,1845,2020-12-30 08:00:00
91,WSt30_m_i,30393.0,30445.0,30386.0,30469.0,30427.5,30433.333333333332,30436.25,30423.25,2190,2020-12-30 12:00:00
92,WSt30_m_i,30444.0,30462.0,30362.0,30465.0,30413.5,30429.666666666668,30437.75,30433.25,2407,2020-12-30 16:00:00
93,WSt30_m_i,30462.0,30435.0,30429.0,30510.0,30469.5,30458.0,30452.25,30459.0,2782,2020-12-30 20:00:00
94,WSt30_m_i,30435.0,30406.0,30375.0,30461.0,30418.0,30414.0,30412.0,30419.25,1680,2020-12-31 00:00:00
95,WSt30_m_i,30443.0,30425.0,30412.0,30456.0,30434.0,30431.0,30429.5,30434.0,1352,2020-12-31 04:00:00
96,WSt30_m_i,30425.0,30413.0,30388.0,30434.0,30411.0,30411.666666666668,30412.0,30415.0,1331,2020-12-31 08:00:00
97,WSt30_m_i,30413.0,30396.0,30330.0,30418.0,30374.0,30381.333333333332,30385.0,30389.25,1866,2020-12-31 12:00:00
98,WSt30_m_i,30396.0,30368.0,30327.0,30423.0,30375.0,30372.666666666668,30371.5,30378.5,2113,2020-12-31 16:00:00
99,WSt30_m_i,30368.0,30377.0,30337.0,30413.0,30375.0,30375.666666666668,30376.0,30373.75,1387,2020-12-31 20:00:00
100,WSt30_m_i,30603.0,30589.0,30511.0,30628.0,30569.5,30576.0,30579.25,30582.75,2852,2021-01-04 04:00:00
101,WSt30_m_i,30588.0,30613.0,30565.0,30625.0,30595.0,30601.0,30604.0,30597.75,1875,2021-01-04 08:00:00
102,WSt30_m_i,30613.0,30755.0,30613.0,30788.0,30700.5,30718.666666666668,30727.75,30692.25,3101,2021-01-04 12:00:00
103,WSt30_m_i,30756.0,30491.0,30447.0,30786.0,30616.5,30574.666666666668,30553.75,30620.0,3136,2021-01-04 16:00:00
104,WSt30_m_i,30493.0,30129.0,29857.0,30512.0,30184.5,30166.0,30156.75,30247.75,8074,2021-01-04 20:00:00
105,WSt30_m_i,30128.0,30222.0,30018.0,30239.0,30128.5,30159.666666666668,30175.25,30151.75,3648,2021-01-05 00:00:00
106,WSt30_m_i,30152.0,30250.0,30152.0,30278.0,30215.0,30226.666666666668,30232.5,30208.0,2754,2021-01-05 04:00:00
107,WSt30_m_i,30250.0,30247.0,30119.0,30269.0,30194.0,30211.666666666668,30220.5,30221.25,3177,2021-01-05 08:00:00
108,WSt30_m_i,30247.0,30248.0,30067.0,30295.0,30181.0,30203.333333333332,30214.5,30214.25,4243,2021-01-05 12:00:00
109,WSt30_m_i,30249.0,30291.0,30079.0,30373.0,30226.0,30247.666666666668,30258.5,30248.0,4883,2021-01-05 16:00:00
110,WSt30_m_i,30291.0,30363.0,30117.0,30365.0,30241.0,30281.666666666668,30302.0,30284.0,5036,2021-01-05 20:00:00
111,WSt30_m_i,30363.0,30372.0,30357.0,30483.0,30420.0,30404.0,30396.0,30393.75,2439,2021-01-06 00:00:00
112,WSt30_m_i,30368.0,30320.0,30283.0,30509.0,30396.0,30370.666666666668,30358.0,30370.0,5637,2021-01-06 04:00:00
113,WSt30_m_i,30319.0,30429.0,30267.0,30442.0,30354.5,30379.333333333332,30391.75,30364.25,4610,2021-01-06 08:00:00
