,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURJPY_i,126.208,126.497,126.19,126.548,126.369,126.41166666666668,126.433,126.36075,14744,2020-12-21 16:00:00
1,EURJPY_i,126.497,126.47,126.316,126.602,126.459,126.46266666666668,126.46450000000002,126.47125000000001,9139,2020-12-21 20:00:00
2,EURJPY_i,126.487,126.482,126.335,126.541,126.43799999999999,126.45266666666664,126.45999999999998,126.46124999999998,6407,2020-12-22 00:00:00
3,EURJPY_i,126.482,126.399,126.327,126.488,126.4075,126.40466666666667,126.40325,126.424,5854,2020-12-22 04:00:00
4,EURJPY_i,126.4,126.204,126.173,126.466,126.3195,126.281,126.26175,126.31075000000001,11577,2020-12-22 08:00:00
5,EURJPY_i,126.206,126.535,126.175,126.646,126.4105,126.452,126.47274999999999,126.3905,13435,2020-12-22 12:00:00
6,EURJPY_i,126.534,126.173,126.097,126.614,126.3555,126.29466666666667,126.26425,126.3545,15958,2020-12-22 16:00:00
7,EURJPY_i,126.175,126.034,125.976,126.178,126.077,126.06266666666666,126.0555,126.09075,7756,2020-12-22 20:00:00
8,EURJPY_i,126.039,126.101,125.925,126.154,126.0395,126.06,126.07025,126.05475,7964,2020-12-23 00:00:00
9,EURJPY_i,126.1,126.062,125.96,126.15,126.055,126.05733333333335,126.05850000000001,126.06800000000001,5549,2020-12-23 04:00:00
10,EURJPY_i,126.062,126.128,125.959,126.134,126.04650000000001,126.07366666666667,126.08725,126.07075,9416,2020-12-23 08:00:00
11,EURJPY_i,126.128,126.022,125.927,126.159,126.043,126.036,126.0325,126.059,11495,2020-12-23 12:00:00
12,EURJPY_i,126.02,126.242,126.02,126.365,126.1925,126.209,126.21725,126.16175,17173,2020-12-23 16:00:00
13,EURJPY_i,126.242,126.172,126.122,126.259,126.1905,126.18433333333333,126.18125,126.19875,7632,2020-12-23 20:00:00
14,EURJPY_i,126.177,126.443,126.113,126.473,126.293,126.343,126.368,126.3015,6163,2020-12-24 00:00:00
15,EURJPY_i,126.443,126.38,126.336,126.466,126.401,126.394,126.3905,126.40625,4945,2020-12-24 04:00:00
16,EURJPY_i,126.379,126.356,126.31,126.486,126.398,126.384,126.377,126.38275,6874,2020-12-24 08:00:00
17,EURJPY_i,126.354,126.357,126.305,126.432,126.36850000000001,126.36466666666668,126.36275,126.36200000000001,6066,2020-12-24 12:00:00
18,EURJPY_i,126.354,126.27,126.208,126.449,126.32849999999999,126.30899999999998,126.29924999999999,126.32024999999999,7453,2020-12-24 16:00:00
19,EURJPY_i,126.27,126.251,126.154,126.324,126.239,126.24300000000001,126.245,126.24975,2107,2020-12-24 20:00:00
20,EURJPY_i,126.192,126.384,126.032,126.461,126.2465,126.29233333333333,126.31525,126.26725,8221,2020-12-28 00:00:00
21,EURJPY_i,126.383,126.448,126.359,126.519,126.439,126.442,126.44349999999999,126.42724999999999,5408,2020-12-28 04:00:00
22,EURJPY_i,126.441,126.712,126.423,126.717,126.57,126.61733333333332,126.64099999999999,126.57325,7495,2020-12-28 08:00:00
23,EURJPY_i,126.712,126.524,126.355,126.725,126.53999999999999,126.53466666666667,126.532,126.579,12263,2020-12-28 12:00:00
24,EURJPY_i,126.526,126.747,126.49,126.945,126.7175,126.72733333333333,126.73225000000001,126.677,11575,2020-12-28 16:00:00
25,EURJPY_i,126.747,126.771,126.682,126.809,126.74549999999999,126.754,126.75825,126.75225,6296,2020-12-28 20:00:00
26,EURJPY_i,126.766,126.884,126.671,126.945,126.80799999999999,126.83333333333333,126.846,126.8165,7165,2020-12-29 00:00:00
27,EURJPY_i,126.891,126.902,126.847,126.978,126.9125,126.90899999999999,126.90724999999999,126.9045,6084,2020-12-29 04:00:00
28,EURJPY_i,126.902,127.024,126.869,127.06,126.9645,126.98433333333332,126.99425,126.96374999999999,7917,2020-12-29 08:00:00
29,EURJPY_i,127.022,127.068,126.896,127.221,127.05850000000001,127.06166666666667,127.06325,127.05175,8614,2020-12-29 12:00:00
30,EURJPY_i,127.066,126.775,126.757,127.118,126.9375,126.88333333333333,126.85624999999999,126.929,11551,2020-12-29 16:00:00
31,EURJPY_i,126.775,126.884,126.748,126.943,126.8455,126.85833333333333,126.86475,126.8375,5650,2020-12-29 20:00:00
32,EURJPY_i,126.852,127.018,126.806,127.123,126.9645,126.98233333333333,126.99125000000001,126.94975,8299,2020-12-30 00:00:00
33,EURJPY_i,127.021,126.932,126.877,127.037,126.957,126.94866666666667,126.9445,126.96675,6728,2020-12-30 04:00:00
34,EURJPY_i,126.932,126.642,126.525,126.945,126.735,126.704,126.68849999999999,126.761,9394,2020-12-30 08:00:00
35,EURJPY_i,126.642,126.645,126.453,126.698,126.5755,126.59866666666666,126.61025,126.6095,10870,2020-12-30 12:00:00
36,EURJPY_i,126.645,126.865,126.528,127.009,126.7685,126.80066666666666,126.81675,126.76174999999999,14714,2020-12-30 16:00:00
37,EURJPY_i,126.867,126.903,126.817,127.018,126.91749999999999,126.91266666666667,126.91025,126.90125,5420,2020-12-30 20:00:00
38,EURJPY_i,126.903,126.904,126.752,126.967,126.8595,126.87433333333333,126.88175,126.8815,4328,2020-12-31 00:00:00
39,EURJPY_i,126.904,126.737,126.722,126.914,126.818,126.791,126.7775,126.81925,5359,2020-12-31 04:00:00
40,EURJPY_i,126.737,126.479,126.441,126.872,126.6565,126.59733333333332,126.56774999999999,126.63225,9879,2020-12-31 08:00:00
41,EURJPY_i,126.477,126.597,126.359,126.647,126.503,126.53433333333334,126.55,126.52000000000001,10532,2020-12-31 12:00:00
42,EURJPY_i,126.604,126.261,126.137,126.627,126.382,126.34166666666665,126.32149999999999,126.40724999999999,13692,2020-12-31 16:00:00
43,EURJPY_i,126.258,126.127,126.109,126.279,126.19399999999999,126.17166666666667,126.1605,126.19324999999999,1032,2020-12-31 20:00:00
44,EURJPY_i,126.184,126.256,126.08,126.513,126.29650000000001,126.28300000000002,126.27625,126.25825,10820,2021-01-04 00:00:00
45,EURJPY_i,126.255,126.224,126.106,126.311,126.2085,126.21366666666667,126.21625,126.224,7105,2021-01-04 04:00:00
46,EURJPY_i,126.222,126.293,126.116,126.337,126.2265,126.24866666666667,126.25975,126.24199999999999,12078,2021-01-04 08:00:00
47,EURJPY_i,126.292,126.696,126.247,126.74,126.4935,126.56099999999999,126.59475,126.49375,13454,2021-01-04 12:00:00
48,EURJPY_i,126.696,126.409,126.348,126.783,126.5655,126.51333333333334,126.48725,126.559,20257,2021-01-04 16:00:00
49,EURJPY_i,126.407,126.284,126.262,126.434,126.348,126.32666666666667,126.316,126.34675,10427,2021-01-04 20:00:00
50,EURJPY_i,126.283,126.39,126.24,126.465,126.35249999999999,126.365,126.37124999999999,126.3445,10096,2021-01-05 00:00:00
51,EURJPY_i,126.39,126.335,126.274,126.542,126.408,126.38366666666667,126.3715,126.38525,10397,2021-01-05 04:00:00
52,EURJPY_i,126.336,126.191,126.143,126.35,126.2465,126.228,126.21875,126.255,14071,2021-01-05 08:00:00
53,EURJPY_i,126.192,126.188,126.156,126.338,126.247,126.22733333333333,126.2175,126.2185,13723,2021-01-05 12:00:00
54,EURJPY_i,126.189,126.243,126.038,126.287,126.1625,126.18933333333332,126.20275,126.18924999999999,17820,2021-01-05 16:00:00
55,EURJPY_i,126.241,126.255,126.179,126.328,126.2535,126.254,126.25425,126.25075,8650,2021-01-05 20:00:00
56,EURJPY_i,126.312,126.29,126.126,126.467,126.29650000000001,126.29433333333334,126.29325000000001,126.29875000000001,15859,2021-01-06 00:00:00
57,EURJPY_i,126.289,126.38,126.234,126.465,126.3495,126.35966666666667,126.36475,126.342,17079,2021-01-06 04:00:00
