,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDCAD_i,0.96878,0.97192,0.96815,0.97357,0.9708600000000001,0.9712133333333334,0.97139,0.9706049999999999,16031,2020-12-21 16:00:00
1,AUDCAD_i,0.97192,0.97503,0.97176,0.97565,0.973705,0.9741466666666666,0.9743674999999999,0.97359,8822,2020-12-21 20:00:00
2,AUDCAD_i,0.97386,0.97332,0.97288,0.97494,0.97391,0.9737133333333334,0.9736150000000001,0.9737500000000001,6054,2020-12-22 00:00:00
3,AUDCAD_i,0.97332,0.97342,0.97194,0.97376,0.97285,0.97304,0.973135,0.9731099999999999,6747,2020-12-22 04:00:00
4,AUDCAD_i,0.97343,0.97009,0.96998,0.97437,0.972175,0.97148,0.9711325,0.9719675,10372,2020-12-22 08:00:00
5,AUDCAD_i,0.97011,0.97385,0.97011,0.97386,0.971985,0.9726066666666666,0.9729175,0.9719825,9029,2020-12-22 12:00:00
6,AUDCAD_i,0.97387,0.97216,0.97124,0.97457,0.972905,0.9726566666666666,0.9725325,0.97296,13707,2020-12-22 16:00:00
7,AUDCAD_i,0.97216,0.97051,0.97051,0.97248,0.971495,0.9711666666666666,0.9710025,0.971415,6728,2020-12-22 20:00:00
8,AUDCAD_i,0.9705,0.97238,0.97018,0.97371,0.9719450000000001,0.97209,0.9721625,0.9716925,7014,2020-12-23 00:00:00
9,AUDCAD_i,0.97239,0.97298,0.9718,0.97352,0.9726600000000001,0.9727666666666668,0.97282,0.9726725,4993,2020-12-23 04:00:00
10,AUDCAD_i,0.973,0.97402,0.97284,0.97565,0.974245,0.97417,0.9741325,0.9738775,8032,2020-12-23 08:00:00
11,AUDCAD_i,0.97404,0.97408,0.97159,0.97481,0.9732,0.9734933333333333,0.97364,0.97363,7622,2020-12-23 12:00:00
12,AUDCAD_i,0.97407,0.9723,0.97213,0.97549,0.9738100000000001,0.9733066666666668,0.9730550000000001,0.9734975000000001,12341,2020-12-23 16:00:00
13,AUDCAD_i,0.9723,0.973,0.97218,0.97439,0.973285,0.9731899999999999,0.9731424999999999,0.9729675,5181,2020-12-23 20:00:00
14,AUDCAD_i,0.97319,0.97392,0.97192,0.97471,0.9733149999999999,0.9735166666666667,0.9736175,0.973435,5525,2020-12-24 00:00:00
15,AUDCAD_i,0.97392,0.97452,0.97373,0.97518,0.9744550000000001,0.9744766666666668,0.9744875000000001,0.9743375000000001,6053,2020-12-24 04:00:00
