,EURAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURAUD_i,1.6206,1.6145100000000001,1.61267,1.62149,1.61708,1.6162233333333333,1.615795,1.6173175,16453,2020-12-21 16:00:00
1,EURAUD_i,1.6145,1.61303,1.6112600000000001,1.6152,1.6132300000000002,1.6131633333333335,1.6131300000000002,1.6134975000000003,9920,2020-12-21 20:00:00
2,EURAUD_i,1.61281,1.61541,1.61199,1.61636,1.614175,1.6145866666666666,1.6147924999999999,1.6141424999999998,7759,2020-12-22 00:00:00
3,EURAUD_i,1.61541,1.61608,1.61449,1.61796,1.616225,1.6161766666666668,1.6161525,1.615985,7202,2020-12-22 04:00:00
4,EURAUD_i,1.6160700000000001,1.62092,1.61509,1.62103,1.6180599999999998,1.6190133333333332,1.6194899999999999,1.6182775,11538,2020-12-22 08:00:00
5,EURAUD_i,1.62086,1.61907,1.61844,1.62183,1.620135,1.6197800000000002,1.6196025,1.62005,10661,2020-12-22 12:00:00
6,EURAUD_i,1.61903,1.61625,1.61511,1.6231499999999999,1.61913,1.6181699999999999,1.6176899999999999,1.618385,16580,2020-12-22 16:00:00
7,EURAUD_i,1.61625,1.6164,1.61433,1.61685,1.61559,1.6158600000000003,1.6159950000000003,1.6159575000000002,8340,2020-12-22 20:00:00
8,EURAUD_i,1.6162800000000002,1.6150600000000002,1.61266,1.61755,1.615105,1.6150900000000001,1.6150825000000002,1.6153875000000002,13220,2020-12-23 00:00:00
9,EURAUD_i,1.6150600000000002,1.6145,1.61295,1.61566,1.614305,1.61437,1.6144025000000002,1.6145425000000002,6711,2020-12-23 04:00:00
10,EURAUD_i,1.6144699999999998,1.61125,1.60919,1.61456,1.611875,1.6116666666666666,1.6115625,1.6123675,9629,2020-12-23 08:00:00
11,EURAUD_i,1.61125,1.60971,1.6086399999999998,1.6126399999999999,1.6106399999999998,1.61033,1.610175,1.61056,9852,2020-12-23 12:00:00
12,EURAUD_i,1.60974,1.6087500000000001,1.60636,1.6118999999999999,1.60913,1.6090033333333331,1.60894,1.6091875,15015,2020-12-23 16:00:00
13,EURAUD_i,1.60876,1.60757,1.6061100000000001,1.6089099999999998,1.60751,1.60753,1.60754,1.6078375,7267,2020-12-23 20:00:00
14,EURAUD_i,1.60846,1.60888,1.6067,1.60981,1.608255,1.6084633333333336,1.6085675000000001,1.6084625000000001,5935,2020-12-24 00:00:00
15,EURAUD_i,1.60892,1.60873,1.60784,1.61003,1.608935,1.6088666666666667,1.6088325,1.60888,6033,2020-12-24 04:00:00
16,EURAUD_i,1.60873,1.60508,1.60436,1.60873,1.6065450000000001,1.6060566666666667,1.6058125,1.606725,8119,2020-12-24 08:00:00
17,EURAUD_i,1.60508,1.60358,1.60332,1.60663,1.604975,1.60451,1.6042775,1.6046525,7380,2020-12-24 12:00:00
18,EURAUD_i,1.60357,1.60244,1.60228,1.6047799999999999,1.60353,1.6031666666666666,1.6029849999999999,1.6032674999999998,8368,2020-12-24 16:00:00
19,EURAUD_i,1.60244,1.6037,1.60212,1.60405,1.603085,1.60329,1.6033925,1.6030775,1695,2020-12-24 20:00:00
